name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 Indianapolis 500 🇺🇸,8,24,1950-05-30T00:00:00.000Z,15,1950,George Connor 🇺🇸,Lesovsky 🇺🇸,3,4,130,,0.0
1951 Indianapolis 500 🇺🇸,3,6,1951-05-30T00:00:00.000Z,R,1951,Manny Ayulo 🇺🇸,Kurtis Kraft 🇺🇸,2,3,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,18,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,2,13,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,28,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,2,10,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Carl Scarborough 🇺🇸,Kurtis Kraft 🇺🇸,2,15,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,11,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Bill Schindler 🇺🇸,Kurtis Kraft 🇺🇸,2,16,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,12,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Gene Force 🇺🇸,Kurtis Kraft 🇺🇸,2,22,78,,0.0
1951 Indianapolis 500 🇺🇸,R,6,1951-05-30T00:00:00.000Z,R,1951,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,1,78,,0.0
1951 Indianapolis 500 🇺🇸,7,6,1951-05-30T00:00:00.000Z,R,1951,Carl Forberg 🇺🇸,Kurtis Kraft 🇺🇸,2,24,78,,0.0
1951 Indianapolis 500 🇺🇸,3,6,1951-05-30T00:00:00.000Z,R,1951,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,78,,0.0
1951 Indianapolis 500 🇺🇸,2,6,1951-05-30T00:00:00.000Z,R,1951,Mike Nazaruk 🇺🇸,Kurtis Kraft 🇺🇸,2,7,78,,0.0
