name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1988 Australian Grand Prix 🇦🇺,7,21,1988-11-13,R,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,16,14,41,,0.0
1988 Belgian Grand Prix 🇧🇪,F,0,1988-08-28,F,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,11,0,0,,0.0
1988 Brazilian Grand Prix 🇧🇷,R,20,1988-04-03,R,1988,Adrián Campos 🇪🇸,Minardi 🇮🇹,1,23,46,,0.0
1988 British Grand Prix 🇬🇧,15,18,1988-07-10,R,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,8,19,0,,0.0
1988 Canadian Grand Prix 🇨🇦,F,21,1988-06-12,13,1988,Adrián Campos 🇪🇸,Minardi 🇮🇹,5,0,64,,0.0
1988 Detroit Grand Prix 🇺🇸,6,25,1988-06-19,R,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,6,16,54,,0.0
1988 French Grand Prix 🇫🇷,15,25,1988-07-03,N,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,7,22,70,,0.0
1988 German Grand Prix 🇩🇪,F,0,1988-07-24,F,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,9,0,0,,0.0
1988 Hungarian Grand Prix 🇭🇺,R,11,1988-08-07,10,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,10,16,72,,0.0
1988 Italian Grand Prix 🇮🇹,R,19,1988-09-11,R,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,12,14,12,,0.0
1988 Japanese Grand Prix 🇯🇵,13,22,1988-10-30,15,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,15,17,49,,0.0
1988 Mexican Grand Prix 🇲🇽,F,25,1988-05-29,11,1988,Adrián Campos 🇪🇸,Minardi 🇮🇹,4,0,63,,0.0
1988 Monaco Grand Prix 🇲🇨,F,15,1988-05-15,R,1988,Adrián Campos 🇪🇸,Minardi 🇮🇹,3,0,36,,0.0
1988 Portuguese Grand Prix 🇵🇹,R,19,1988-09-25,8,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,13,14,68,,0.0
1988 San Marino Grand Prix 🇮🇹,16,18,1988-05-01,11,1988,Adrián Campos 🇪🇸,Minardi 🇮🇹,2,22,58,,0.0
1988 Spanish Grand Prix 🇪🇸,R,24,1988-10-02,12,1988,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,14,20,70,,0.0
1989 Australian Grand Prix 🇦🇺,6,0,1989-11-05,F,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,16,3,0,,0.0
1989 Belgian Grand Prix 🇧🇪,9,25,1989-08-27,15,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,11,14,41,,0.0
1989 Brazilian Grand Prix 🇧🇷,R,23,1989-03-26,R,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,1,16,0,,0.0
1989 British Grand Prix 🇬🇧,5,15,1989-07-16,6,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,8,11,63,,1.0
1989 Canadian Grand Prix 🇨🇦,R,24,1989-06-18,R,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,6,11,11,,0.0
1989 French Grand Prix 🇫🇷,R,0,1989-07-09,F,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,7,23,0,,0.0
1989 German Grand Prix 🇩🇪,9,0,1989-07-30,F,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,9,13,0,,0.0
1989 Hungarian Grand Prix 🇭🇺,R,23,1989-08-13,R,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,10,10,57,,0.0
1989 Italian Grand Prix 🇮🇹,7,26,1989-09-10,8,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,12,15,51,,0.0
1989 Japanese Grand Prix 🇯🇵,R,14,1989-10-22,R,1989,Paolo Barilla 🇮🇹,Minardi 🇮🇹,15,19,0,,0.0
1989 Mexican Grand Prix 🇲🇽,R,0,1989-05-28,F,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,4,22,0,,0.0
1989 Monaco Grand Prix 🇲🇨,R,26,1989-05-07,R,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,3,11,48,,0.0
1989 Portuguese Grand Prix 🇵🇹,5,9,1989-09-24,12,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,13,5,69,,0.0
1989 San Marino Grand Prix 🇮🇹,R,15,1989-04-23,R,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,2,11,43,,0.0
1989 Spanish Grand Prix 🇪🇸,R,20,1989-10-01,R,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,14,4,47,,0.0
1989 United States Grand Prix 🇺🇸,R,20,1989-06-04,R,1989,Pierluigi Martini 🇮🇹,Minardi 🇮🇹,5,15,46,,0.0
