name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1994 Australian Grand Prix 🇦🇺,R,22,1994-11-13,R,1994,Alessandro Zanardi 🇮🇹,Team Lotus 🇬🇧,16,14,49,,0.0
1994 Japanese Grand Prix 🇯🇵,13,25,1994-11-06,10,1994,Alessandro Zanardi 🇮🇹,Team Lotus 🇬🇧,15,17,49,,0.0
1995 Argentine Grand Prix 🇦🇷,8,7,1995-04-09,R,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,2,15,48,,0.0
1995 Australian Grand Prix 🇦🇺,R,14,1995-11-12,5,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,17,16,78,,2.0
1995 Belgian Grand Prix 🇧🇪,R,11,1995-08-27,8,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,11,15,44,+54.548,0.0
1995 Brazilian Grand Prix 🇧🇷,R,12,1995-03-26,7,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,1,11,69,,0.0
1995 British Grand Prix 🇬🇧,R,23,1995-07-16,8,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,8,14,60,,0.0
1995 Canadian Grand Prix 🇨🇦,R,15,1995-06-11,7,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,6,16,67,,0.0
1995 European Grand Prix 🇩🇪,14,15,1995-10-01,10,1995,Gabriele Tarquini 🇮🇹,Tyrrell 🇬🇧,14,19,64,,0.0
1995 French Grand Prix 🇫🇷,R,14,1995-07-02,15,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,7,19,69,,0.0
1995 German Grand Prix 🇩🇪,7,13,1995-07-30,R,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,9,17,0,,0.0
1995 Hungarian Grand Prix 🇭🇺,R,16,1995-08-13,R,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,10,17,58,,0.0
1995 Italian Grand Prix 🇮🇹,10,16,1995-09-10,5,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,12,17,52,,2.0
1995 Japanese Grand Prix 🇯🇵,R,12,1995-10-29,6,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,16,13,52,,1.0
1995 Monaco Grand Prix 🇲🇨,R,17,1995-05-28,R,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,5,15,63,,0.0
1995 Pacific Grand Prix 🇯🇵,14,18,1995-10-22,12,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,15,17,80,,0.0
1995 Portuguese Grand Prix 🇵🇹,R,15,1995-09-24,13,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,13,16,69,,0.0
1995 San Marino Grand Prix 🇮🇹,R,13,1995-04-30,R,1995,Ukyo Katayama 🇯🇵,Tyrrell 🇬🇧,3,15,19,,0.0
