name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1952 British Grand Prix 🇬🇧,5,19,82,Ferrari 🇮🇹,1952-07-19,8,,1952,Alberto Ascari 🇮🇹
1953 British Grand Prix 🇬🇧,6,28,50,Ferrari 🇮🇹,1953-07-18,R,,1953,Alberto Ascari 🇮🇹
1953 Dutch Grand Prix 🇳🇱,3,11,14,Ferrari 🇮🇹,1953-06-07,R,,1953,Alberto Ascari 🇮🇹
1953 French Grand Prix 🇫🇷,5,19,2,Ferrari 🇮🇹,1953-07-05,R,,1953,Mike Hawthorn 🇬🇧
1953 German Grand Prix 🇩🇪,7,13,1,Ferrari 🇮🇹,1953-08-02,R,,1953,Nino Farina 🇮🇹
1953 Italian Grand Prix 🇮🇹,9,14,33,Maserati 🇮🇹,1953-09-13,R,,1953,Juan Fangio 🇦🇷
1954 British Grand Prix 🇬🇧,5,7,53,Ferrari 🇮🇹,1954-07-17,R,,1954,José Froilán González 🇦🇷
1954 French Grand Prix 🇫🇷,4,10,15,Mercedes 🇩🇪,1954-07-04,R,,1954,Juan Fangio 🇦🇷
1955 British Grand Prix 🇬🇧,6,20,23,Mercedes 🇩🇪,1955-07-16,R,,1955,Stirling Moss 🇬🇧
1956 British Grand Prix 🇬🇧,6,7,59,Ferrari 🇮🇹,1956-07-14,R,,1956,Juan Fangio 🇦🇷
1956 German Grand Prix 🇩🇪,7,9,2,Ferrari 🇮🇹,1956-08-05,R,,1956,Juan Fangio 🇦🇷
1956 Italian Grand Prix 🇮🇹,8,14,41,Maserati 🇮🇹,1956-09-02,11,,1956,Stirling Moss 🇬🇧
1957 British Grand Prix 🇬🇧,5,15,85,Vanwall 🇬🇧,1957-07-20,5,,1957,Stirling Moss 🇬🇧
1957 French Grand Prix 🇫🇷,4,6,25,Maserati 🇮🇹,1957-07-07,R,,1957,Juan Fangio 🇦🇷
1957 German Grand Prix 🇩🇪,6,14,11,Maserati 🇮🇹,1957-08-04,R,,1957,Juan Fangio 🇦🇷
1957 Monaco Grand Prix 🇲🇨,2,0,0,Maserati 🇮🇹,1957-05-19,F,,1957,Juan Fangio 🇦🇷
1957 Pescara Grand Prix 🇮🇹,7,15,3,Vanwall 🇬🇧,1957-08-18,R,,1957,Stirling Moss 🇬🇧
1958 Belgian Grand Prix 🇧🇪,5,13,23,Vanwall 🇬🇧,1958-06-15,8,,1958,Tony Brooks 🇬🇧
1958 British Grand Prix 🇬🇧,7,3,75,Ferrari 🇮🇹,1958-07-19,3,+50.6,1958,Peter Collins 🇬🇧
1958 Dutch Grand Prix 🇳🇱,3,9,74,Vanwall 🇬🇧,1958-05-26,4,,1958,Stirling Moss 🇬🇧
1958 French Grand Prix 🇫🇷,6,14,37,Ferrari 🇮🇹,1958-07-06,11,,1958,Mike Hawthorn 🇬🇧
1958 German Grand Prix 🇩🇪,8,6,15,Vanwall 🇬🇧,1958-08-03,2,+3:29.7,1958,Tony Brooks 🇬🇧
1958 Italian Grand Prix 🇮🇹,10,14,62,Vanwall 🇬🇧,1958-09-07,5,,1958,Tony Brooks 🇬🇧
1958 Monaco Grand Prix 🇲🇨,2,4,56,Cooper 🇬🇧,1958-05-18,R,,1958,Maurice Trintignant 🇫🇷
