name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1987 Australian Grand Prix 🇦🇺,D,14,1987-11-15T00:00:00.000Z,R,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,16,4,22,,0.0
1987 Austrian Grand Prix 🇦🇹,5,13,1987-08-16T00:00:00.000Z,13,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,10,7,49,,0.0
1987 Belgian Grand Prix 🇧🇪,R,15,1987-05-17T00:00:00.000Z,5,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,3,3,42,,2.0
1987 Brazilian Grand Prix 🇧🇷,R,12,1987-04-12T00:00:00.000Z,7,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,1,3,59,,0.0
1987 British Grand Prix 🇬🇧,3,12,1987-07-12T00:00:00.000Z,4,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,7,3,63,,3.0
1987 Detroit Grand Prix 🇺🇸,1,24,1987-06-21T00:00:00.000Z,R,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,5,2,0,,0.0
1987 French Grand Prix 🇫🇷,4,16,1987-07-05T00:00:00.000Z,N,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,6,3,71,,0.0
1987 German Grand Prix 🇩🇪,3,14,1987-07-26T00:00:00.000Z,R,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,8,2,9,,0.0
1987 Hungarian Grand Prix 🇭🇺,2,17,1987-08-09T00:00:00.000Z,R,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,9,6,1,,0.0
1987 Italian Grand Prix 🇮🇹,2,14,1987-09-06T00:00:00.000Z,11,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,11,4,47,,0.0
1987 Japanese Grand Prix 🇯🇵,2,11,1987-11-01T00:00:00.000Z,6,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,15,7,51,+1:36.479,1.0
1987 Mexican Grand Prix 🇲🇽,R,16,1987-10-18T00:00:00.000Z,R,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,14,7,1,,0.0
1987 Monaco Grand Prix 🇲🇨,1,17,1987-05-31T00:00:00.000Z,10,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,4,2,75,,0.0
1987 Portuguese Grand Prix 🇵🇹,7,15,1987-09-20T00:00:00.000Z,8,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,12,5,68,,0.0
1987 San Marino Grand Prix 🇮🇹,2,12,1987-05-03T00:00:00.000Z,6,1987,Ayrton Senna 🇧🇷,Team Lotus 🇬🇧,2,1,57,,1.0
