name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1951 Indianapolis 500 🇺🇸,3,15,1951-05-30T00:00:00.000Z,R,1951,Manny Ayulo 🇺🇸,Kurtis Kraft 🇺🇸,2,3,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,18,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,2,13,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,28,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,2,6,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,2,10,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,11,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Bill Schindler 🇺🇸,Kurtis Kraft 🇺🇸,2,16,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,12,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Gene Force 🇺🇸,Kurtis Kraft 🇺🇸,2,22,93,,0.0
1951 Indianapolis 500 🇺🇸,R,15,1951-05-30T00:00:00.000Z,R,1951,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,1,93,,0.0
1951 Indianapolis 500 🇺🇸,7,15,1951-05-30T00:00:00.000Z,R,1951,Carl Forberg 🇺🇸,Kurtis Kraft 🇺🇸,2,24,93,,0.0
1951 Indianapolis 500 🇺🇸,3,15,1951-05-30T00:00:00.000Z,R,1951,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,93,,0.0
1951 Indianapolis 500 🇺🇸,2,15,1951-05-30T00:00:00.000Z,R,1951,Mike Nazaruk 🇺🇸,Kurtis Kraft 🇺🇸,2,7,93,,0.0
1951 Indianapolis 500 🇺🇸,1,15,1951-05-30T00:00:00.000Z,R,1951,Lee Wallard 🇺🇸,Kurtis Kraft 🇺🇸,2,2,93,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,13,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Cal Niday 🇺🇸,Kurtis Kraft 🇺🇸,2,30,190,,0.0
1953 Indianapolis 500 🇺🇸,3,19,1953-05-30T00:00:00.000Z,12,1953,Duane Carter 🇺🇸,Kurtis Kraft 🇺🇸,2,9,190,,0.0
1953 Indianapolis 500 🇺🇸,4,19,1953-05-30T00:00:00.000Z,12,1953,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,2,2,190,,0.0
1953 Indianapolis 500 🇺🇸,7,19,1953-05-30T00:00:00.000Z,12,1953,Eddie Johnson 🇺🇸,Kurtis Kraft 🇺🇸,2,25,190,,0.0
1953 Indianapolis 500 🇺🇸,12,19,1953-05-30T00:00:00.000Z,12,1953,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,19,190,,0.0
1953 Indianapolis 500 🇺🇸,1,19,1953-05-30T00:00:00.000Z,12,1953,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,1,190,,0.0
1953 Indianapolis 500 🇺🇸,16,19,1953-05-30T00:00:00.000Z,12,1953,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,10,190,,0.0
1953 Indianapolis 500 🇺🇸,17,19,1953-05-30T00:00:00.000Z,12,1953,Johnny Mantz 🇺🇸,Kurtis Kraft 🇺🇸,2,14,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Johnny Thomson 🇺🇸,Kurtis Kraft 🇺🇸,2,18,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Jackie Holmes 🇺🇸,Kurtis Kraft 🇺🇸,2,18,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Chuck Stevenson 🇺🇸,Kurtis Kraft 🇺🇸,2,7,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,7,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,2,17,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Jerry Hoyt 🇺🇸,Kurtis Kraft 🇺🇸,2,7,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Travis Webb 🇺🇸,Kurtis Kraft 🇺🇸,2,18,190,,0.0
1953 Indianapolis 500 🇺🇸,R,19,1953-05-30T00:00:00.000Z,12,1953,Marshall Teague 🇺🇸,Kurtis Kraft 🇺🇸,2,22,190,,0.0
1953 Indianapolis 500 🇺🇸,17,19,1953-05-30T00:00:00.000Z,12,1953,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,2,14,190,,0.0
1953 Indianapolis 500 🇺🇸,16,19,1953-05-30T00:00:00.000Z,12,1953,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,10,190,,0.0
1953 Indianapolis 500 🇺🇸,15,19,1953-05-30T00:00:00.000Z,12,1953,Bill Holland 🇺🇸,Kurtis Kraft 🇺🇸,2,28,190,,0.0
1953 Indianapolis 500 🇺🇸,11,19,1953-05-30T00:00:00.000Z,12,1953,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,26,190,,0.0
1953 Indianapolis 500 🇺🇸,10,19,1953-05-30T00:00:00.000Z,12,1953,Jimmy Davies 🇺🇸,Kurtis Kraft 🇺🇸,2,32,190,,0.0
1953 Indianapolis 500 🇺🇸,7,19,1953-05-30T00:00:00.000Z,12,1953,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,25,190,,0.0
1953 Indianapolis 500 🇺🇸,6,19,1953-05-30T00:00:00.000Z,12,1953,Jimmy Daywalt 🇺🇸,Kurtis Kraft 🇺🇸,2,21,190,,0.0
