name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1956 German Grand Prix 🇩🇪,R,17,1956-08-05T00:00:00.000Z,R,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,7,3,0,,0.0
1956 German Grand Prix 🇩🇪,R,17,1956-08-05T00:00:00.000Z,R,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,7,2,0,,0.0
1956 German Grand Prix 🇩🇪,R,17,1956-08-05T00:00:00.000Z,R,1956,Luigi Musso 🇮🇹,Ferrari 🇮🇹,7,5,0,,0.0
1956 German Grand Prix 🇩🇪,R,17,1956-08-05T00:00:00.000Z,R,1956,Alfonso de Portago 🇪🇸,Ferrari 🇮🇹,7,10,0,,0.0
1956 German Grand Prix 🇩🇪,1,17,1956-08-05T00:00:00.000Z,R,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,7,1,0,,0.0
1956 Monaco Grand Prix 🇲🇨,4,0,1956-05-13T00:00:00.000Z,F,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,2,1,0,,0.0
1956 Monaco Grand Prix 🇲🇨,2,0,1956-05-13T00:00:00.000Z,F,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,2,9,0,,0.0
1956 Monaco Grand Prix 🇲🇨,R,0,1956-05-13T00:00:00.000Z,F,1956,Luigi Musso 🇮🇹,Ferrari 🇮🇹,2,8,0,,0.0
1956 Monaco Grand Prix 🇲🇨,R,0,1956-05-13T00:00:00.000Z,F,1956,Eugenio Castellotti 🇮🇹,Ferrari 🇮🇹,2,3,0,,0.0
1956 Monaco Grand Prix 🇲🇨,4,0,1956-05-13T00:00:00.000Z,F,1956,Juan Fangio 🇦🇷,Ferrari 🇮🇹,2,1,0,,0.0
1956 Monaco Grand Prix 🇲🇨,2,0,1956-05-13T00:00:00.000Z,F,1956,Peter Collins 🇬🇧,Ferrari 🇮🇹,2,9,0,,0.0
1957 German Grand Prix 🇩🇪,R,13,1957-08-04T00:00:00.000Z,10,1957,Horace Gould 🇬🇧,Maserati 🇮🇹,6,19,21,,0.0
1957 German Grand Prix 🇩🇪,R,13,1957-08-04T00:00:00.000Z,10,1957,Paco Godia 🇪🇸,Maserati 🇮🇹,6,21,21,,0.0
1957 German Grand Prix 🇩🇪,R,13,1957-08-04T00:00:00.000Z,10,1957,Hans Herrmann 🇩🇪,Maserati 🇮🇹,6,11,21,,0.0
1957 German Grand Prix 🇩🇪,11,13,1957-08-04T00:00:00.000Z,10,1957,Bruce Halford 🇬🇧,Maserati 🇮🇹,6,16,21,,0.0
1957 German Grand Prix 🇩🇪,8,13,1957-08-04T00:00:00.000Z,10,1957,Masten Gregory 🇺🇸,Maserati 🇮🇹,6,10,21,,0.0
1957 German Grand Prix 🇩🇪,7,13,1957-08-04T00:00:00.000Z,10,1957,Harry Schell 🇺🇸,Maserati 🇮🇹,6,6,21,,0.0
1957 German Grand Prix 🇩🇪,6,13,1957-08-04T00:00:00.000Z,10,1957,Jean Behra 🇫🇷,Maserati 🇮🇹,6,3,21,,0.0
1957 German Grand Prix 🇩🇪,1,13,1957-08-04T00:00:00.000Z,10,1957,Juan Fangio 🇦🇷,Maserati 🇮🇹,6,1,21,,0.0
1957 Italian Grand Prix 🇮🇹,5,12,1957-09-08T00:00:00.000Z,5,1957,Harry Schell 🇺🇸,Maserati 🇮🇹,8,12,84,,1.0
1957 Italian Grand Prix 🇮🇹,11,12,1957-09-08T00:00:00.000Z,5,1957,Ottorino Volonterio 🇨🇭,Maserati 🇮🇹,8,16,84,,1.0
1957 Italian Grand Prix 🇮🇹,R,12,1957-09-08T00:00:00.000Z,5,1957,Luigi Piotti 🇮🇹,Maserati 🇮🇹,8,17,84,,1.0
1957 Italian Grand Prix 🇮🇹,R,12,1957-09-08T00:00:00.000Z,5,1957,Jo Bonnier 🇸🇪,Maserati 🇮🇹,8,13,84,,1.0
1957 Italian Grand Prix 🇮🇹,R,12,1957-09-08T00:00:00.000Z,5,1957,Harry Schell 🇺🇸,Maserati 🇮🇹,8,6,84,,1.0
1957 Italian Grand Prix 🇮🇹,R,12,1957-09-08T00:00:00.000Z,5,1957,Bruce Halford 🇬🇧,Maserati 🇮🇹,8,14,84,,1.0
1957 Italian Grand Prix 🇮🇹,2,12,1957-09-08T00:00:00.000Z,5,1957,Juan Fangio 🇦🇷,Maserati 🇮🇹,8,4,84,,1.0
1957 Italian Grand Prix 🇮🇹,4,12,1957-09-08T00:00:00.000Z,5,1957,Masten Gregory 🇺🇸,Maserati 🇮🇹,8,11,84,,1.0
1957 Italian Grand Prix 🇮🇹,9,12,1957-09-08T00:00:00.000Z,5,1957,Paco Godia 🇪🇸,Maserati 🇮🇹,8,15,84,,1.0
1957 Italian Grand Prix 🇮🇹,10,12,1957-09-08T00:00:00.000Z,5,1957,Horace Gould 🇬🇧,Maserati 🇮🇹,8,18,84,,1.0
1957 Italian Grand Prix 🇮🇹,11,12,1957-09-08T00:00:00.000Z,5,1957,André Simon 🇫🇷,Maserati 🇮🇹,8,16,84,,1.0
1957 Italian Grand Prix 🇮🇹,R,12,1957-09-08T00:00:00.000Z,5,1957,Jean Behra 🇫🇷,Maserati 🇮🇹,8,5,84,,1.0
1957 Monaco Grand Prix 🇲🇨,R,14,1957-05-19T00:00:00.000Z,R,1957,Horace Gould 🇬🇧,Maserati 🇮🇹,2,12,64,,0.0
1957 Monaco Grand Prix 🇲🇨,F,14,1957-05-19T00:00:00.000Z,R,1957,Hans Herrmann 🇩🇪,Maserati 🇮🇹,2,0,64,,0.0
1957 Monaco Grand Prix 🇲🇨,F,14,1957-05-19T00:00:00.000Z,R,1957,André Simon 🇫🇷,Maserati 🇮🇹,2,0,64,,0.0
1957 Monaco Grand Prix 🇲🇨,F,14,1957-05-19T00:00:00.000Z,R,1957,Luigi Piotti 🇮🇹,Maserati 🇮🇹,2,0,64,,0.0
1957 Monaco Grand Prix 🇲🇨,1,14,1957-05-19T00:00:00.000Z,R,1957,Juan Fangio 🇦🇷,Maserati 🇮🇹,2,1,64,,0.0
1957 Monaco Grand Prix 🇲🇨,R,14,1957-05-19T00:00:00.000Z,R,1957,Harry Schell 🇺🇸,Maserati 🇮🇹,2,14,64,,0.0
1957 Monaco Grand Prix 🇲🇨,3,14,1957-05-19T00:00:00.000Z,R,1957,Masten Gregory 🇺🇸,Maserati 🇮🇹,2,10,64,,0.0
