name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1970 Austrian Grand Prix 🇦🇹,9,19,25,Ferrari 🇮🇹,1970-08-16,R,,1970,Jacky Ickx 🇧🇪
1970 Canadian Grand Prix 🇨🇦,11,17,79,Ferrari 🇮🇹,1970-09-20,N,,1970,Jacky Ickx 🇧🇪
1970 Italian Grand Prix 🇮🇹,10,19,17,Ferrari 🇮🇹,1970-09-06,R,,1970,Clay Regazzoni 🇨🇭
1970 United States Grand Prix 🇺🇸,12,20,61,Team Lotus 🇬🇧,1970-10-04,R,,1970,Emerson Fittipaldi 🇧🇷
1971 Austrian Grand Prix 🇦🇹,8,7,54,BRM 🇬🇧,1971-08-15,3,+19.77,1971,Jo Siffert 🇨🇭
1971 British Grand Prix 🇬🇧,6,7,63,Tyrrell 🇬🇧,1971-07-17,12,,1971,Jackie Stewart 🇬🇧
1971 Canadian Grand Prix 🇨🇦,10,17,1,Tyrrell 🇬🇧,1971-09-19,R,,1971,Jackie Stewart 🇬🇧
1971 Dutch Grand Prix 🇳🇱,4,19,39,Ferrari 🇮🇹,1971-06-20,R,,1971,Jacky Ickx 🇧🇪
1971 French Grand Prix 🇫🇷,5,14,50,Tyrrell 🇬🇧,1971-07-04,12,,1971,Jackie Stewart 🇬🇧
1971 German Grand Prix 🇩🇪,7,9,12,Tyrrell 🇬🇧,1971-08-01,6,+2:58.6,1971,Jackie Stewart 🇬🇧
1971 Italian Grand Prix 🇮🇹,9,9,5,BRM 🇬🇧,1971-09-05,R,,1971,Peter Gethin 🇬🇧
1971 Monaco Grand Prix 🇲🇨,3,18,76,Tyrrell 🇬🇧,1971-05-23,10,,1971,Jackie Stewart 🇬🇧
1971 Spanish Grand Prix 🇪🇸,2,21,72,Tyrrell 🇬🇧,1971-04-18,9,,1971,Jackie Stewart 🇬🇧
1971 United States Grand Prix 🇺🇸,11,15,41,Tyrrell 🇬🇧,1971-10-03,R,,1971,François Cevert 🇫🇷
1972 Argentine Grand Prix 🇦🇷,1,11,95,Tyrrell 🇬🇧,1972-01-23,5,+1:09.11,1972,Jackie Stewart 🇬🇧
1972 Austrian Grand Prix 🇦🇹,9,8,52,Team Lotus 🇬🇧,1972-08-13,11,,1972,Emerson Fittipaldi 🇧🇷
1972 Belgian Grand Prix 🇧🇪,5,21,11,Team Lotus 🇬🇧,1972-06-04,R,,1972,Emerson Fittipaldi 🇧🇷
1972 British Grand Prix 🇬🇧,7,5,64,Team Lotus 🇬🇧,1972-07-15,R,,1972,Emerson Fittipaldi 🇧🇷
1972 Canadian Grand Prix 🇨🇦,11,13,79,Tyrrell 🇬🇧,1972-09-24,7,,1972,Jackie Stewart 🇬🇧
1972 French Grand Prix 🇫🇷,6,5,36,Tyrrell 🇬🇧,1972-07-02,17,,1972,Jackie Stewart 🇬🇧
1972 German Grand Prix 🇩🇪,8,12,13,Ferrari 🇮🇹,1972-07-30,14,,1972,Jacky Ickx 🇧🇪
1972 Italian Grand Prix 🇮🇹,10,15,20,Team Lotus 🇬🇧,1972-09-10,R,,1972,Emerson Fittipaldi 🇧🇷
1972 Monaco Grand Prix 🇲🇨,4,13,31,BRM 🇬🇧,1972-05-14,R,,1972,Jean-Pierre Beltoise 🇫🇷
1972 South African Grand Prix 🇿🇦,2,10,9,McLaren 🇬🇧,1972-03-04,R,,1972,Denny Hulme 🇳🇿
1972 Spanish Grand Prix 🇪🇸,3,18,88,Team Lotus 🇬🇧,1972-05-01,8,,1972,Emerson Fittipaldi 🇧🇷
1972 United States Grand Prix 🇺🇸,12,31,22,Tyrrell 🇬🇧,1972-10-08,R,,1972,Jackie Stewart 🇬🇧
1973 Canadian Grand Prix 🇨🇦,14,24,75,McLaren 🇬🇧,1973-09-23,14,,1973,Peter Revson 🇺🇸
1974 Austrian Grand Prix 🇦🇹,12,19,50,Brabham 🇬🇧,1974-08-18,10,,1974,Carlos Reutemann 🇦🇷
1974 Belgian Grand Prix 🇧🇪,5,23,83,McLaren 🇬🇧,1974-05-12,10,,1974,Emerson Fittipaldi 🇧🇷
1974 British Grand Prix 🇬🇧,10,25,6,Tyrrell 🇬🇧,1974-07-20,R,,1974,Jody Scheckter 🇿🇦
1974 Dutch Grand Prix 🇳🇱,8,0,0,Ferrari 🇮🇹,1974-06-23,F,,1974,Niki Lauda 🇦🇹
1974 German Grand Prix 🇩🇪,11,0,0,Ferrari 🇮🇹,1974-08-04,F,,1974,Clay Regazzoni 🇨🇭
1974 Italian Grand Prix 🇮🇹,13,20,15,Team Lotus 🇬🇧,1974-09-08,R,,1974,Ronnie Peterson 🇸🇪
1974 Monaco Grand Prix 🇲🇨,6,24,0,Team Lotus 🇬🇧,1974-05-26,R,,1974,Ronnie Peterson 🇸🇪
1974 Spanish Grand Prix 🇪🇸,4,25,76,Ferrari 🇮🇹,1974-04-28,14,,1974,Niki Lauda 🇦🇹
1974 United States Grand Prix 🇺🇸,15,27,6,Brabham 🇬🇧,1974-10-06,D,,1974,Carlos Reutemann 🇦🇷
