name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1951 Indianapolis 500 🇺🇸,1,16,1951-05-30,R,1951,Lee Wallard 🇺🇸,Kurtis Kraft 🇺🇸,2,2,129,,0.0
1951 Indianapolis 500 🇺🇸,2,16,1951-05-30,R,1951,Mike Nazaruk 🇺🇸,Kurtis Kraft 🇺🇸,2,7,129,,0.0
1951 Indianapolis 500 🇺🇸,3,16,1951-05-30,R,1951,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,129,,0.0
1951 Indianapolis 500 🇺🇸,7,16,1951-05-30,R,1951,Carl Forberg 🇺🇸,Kurtis Kraft 🇺🇸,2,24,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,1,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Gene Force 🇺🇸,Kurtis Kraft 🇺🇸,2,22,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,12,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,11,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Carl Scarborough 🇺🇸,Kurtis Kraft 🇺🇸,2,15,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,2,10,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,2,6,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,28,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,2,13,129,,0.0
1951 Indianapolis 500 🇺🇸,R,16,1951-05-30,R,1951,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,18,129,,0.0
1951 Indianapolis 500 🇺🇸,3,16,1951-05-30,R,1951,Manny Ayulo 🇺🇸,Kurtis Kraft 🇺🇸,2,3,129,,0.0
1952 Indianapolis 500 🇺🇸,R,15,1952-05-30,14,1952,Bobby Ball 🇺🇸,Stevens 🇺🇸,2,17,200,+18:48.66,0.0
