name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1962 British Grand Prix 🇬🇧,1,18,1962-07-21T00:00:00.000Z,R,1962,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,5,1,6,,0.0
1962 British Grand Prix 🇬🇧,5,18,1962-07-21T00:00:00.000Z,R,1962,Jack Brabham 🇦🇺,Lotus-Climax 🇬🇧,5,9,6,,0.0
1962 British Grand Prix 🇬🇧,7,18,1962-07-21T00:00:00.000Z,R,1962,Masten Gregory 🇺🇸,Lotus-Climax 🇬🇧,5,14,6,,0.0
1962 British Grand Prix 🇬🇧,8,18,1962-07-21T00:00:00.000Z,R,1962,Trevor Taylor 🇬🇧,Lotus-Climax 🇬🇧,5,10,6,,0.0
1962 British Grand Prix 🇬🇧,15,18,1962-07-21T00:00:00.000Z,R,1962,Jay Chamberlain 🇺🇸,Lotus-Climax 🇬🇧,5,20,6,,0.0
1962 British Grand Prix 🇬🇧,16,18,1962-07-21T00:00:00.000Z,R,1962,Innes Ireland 🇬🇧,Lotus-Climax 🇬🇧,5,3,6,,0.0
1962 British Grand Prix 🇬🇧,W,18,1962-07-21T00:00:00.000Z,R,1962,Keith Greene 🇬🇧,Lotus-Climax 🇬🇧,5,0,6,,0.0
1962 British Grand Prix 🇬🇧,W,18,1962-07-21T00:00:00.000Z,R,1962,Maurice Trintignant 🇫🇷,Lotus-Climax 🇬🇧,5,0,6,,0.0
1962 German Grand Prix 🇩🇪,4,0,1962-08-05T00:00:00.000Z,F,1962,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,6,3,0,,0.0
1962 German Grand Prix 🇩🇪,12,0,1962-08-05T00:00:00.000Z,F,1962,Jo Siffert 🇨🇭,Lotus-Climax 🇬🇧,6,17,0,,0.0
1962 German Grand Prix 🇩🇪,R,0,1962-08-05T00:00:00.000Z,F,1962,Maurice Trintignant 🇫🇷,Lotus-Climax 🇬🇧,6,11,0,,0.0
1962 German Grand Prix 🇩🇪,R,0,1962-08-05T00:00:00.000Z,F,1962,Trevor Taylor 🇬🇧,Lotus-Climax 🇬🇧,6,26,0,,0.0
1962 German Grand Prix 🇩🇪,F,0,1962-08-05T00:00:00.000Z,F,1962,Jay Chamberlain 🇺🇸,Lotus-Climax 🇬🇧,6,0,0,,0.0
1962 Italian Grand Prix 🇮🇹,12,0,1962-09-16T00:00:00.000Z,F,1962,Masten Gregory 🇺🇸,Lotus-BRM 🇬🇧,7,6,0,,0.0
1962 Italian Grand Prix 🇮🇹,F,0,1962-09-16T00:00:00.000Z,F,1962,Jo Siffert 🇨🇭,Lotus-BRM 🇬🇧,7,0,0,,0.0
