name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1962 Belgian Grand Prix 🇧🇪,3,17,29,Lotus-Climax 🇬🇧,1962-06-17,10,,1962,Jim Clark 🇬🇧
1962 British Grand Prix 🇬🇧,5,0,0,Lotus-Climax 🇬🇧,1962-07-21,W,,1962,Jim Clark 🇬🇧
1962 French Grand Prix 🇫🇷,4,15,6,Porsche 🇩🇪,1962-07-08,R,,1962,Dan Gurney 🇺🇸
1962 German Grand Prix 🇩🇪,6,17,15,BRM 🇬🇧,1962-08-05,12,+8:15.5,1962,Graham Hill 🇬🇧
1962 Italian Grand Prix 🇮🇹,7,0,0,BRM 🇬🇧,1962-09-16,F,,1962,Graham Hill 🇬🇧
1962 Monaco Grand Prix 🇲🇨,2,0,0,Cooper-Climax 🇬🇧,1962-06-03,F,,1962,Bruce McLaren 🇳🇿
1963 Belgian Grand Prix 🇧🇪,2,14,16,Lotus-Climax 🇬🇧,1963-06-09,R,,1963,Jim Clark 🇬🇧
1963 British Grand Prix 🇬🇧,5,15,66,Lotus-Climax 🇬🇧,1963-07-20,R,,1963,Jim Clark 🇬🇧
1963 Dutch Grand Prix 🇳🇱,3,17,77,Lotus-Climax 🇬🇧,1963-06-23,7,,1963,Jim Clark 🇬🇧
1963 French Grand Prix 🇫🇷,4,10,52,Lotus-Climax 🇬🇧,1963-06-30,6,,1963,Jim Clark 🇬🇧
1963 German Grand Prix 🇩🇪,6,9,10,Ferrari 🇮🇹,1963-08-04,9,,1963,John Surtees 🇬🇧
1963 Italian Grand Prix 🇮🇹,7,16,40,Lotus-Climax 🇬🇧,1963-09-08,R,,1963,Jim Clark 🇬🇧
1963 Mexican Grand Prix 🇲🇽,9,9,59,Lotus-Climax 🇬🇧,1963-10-27,9,,1963,Jim Clark 🇬🇧
1963 Monaco Grand Prix 🇲🇨,1,12,3,BRM 🇬🇧,1963-05-26,R,,1963,Graham Hill 🇬🇧
1963 United States Grand Prix 🇺🇸,8,14,56,BRM 🇬🇧,1963-10-06,R,,1963,Graham Hill 🇬🇧
1964 Austrian Grand Prix 🇦🇹,7,12,18,Ferrari 🇮🇹,1964-08-23,R,,1964,Lorenzo Bandini 🇮🇹
1964 Belgian Grand Prix 🇧🇪,3,13,14,Lotus-Climax 🇬🇧,1964-06-14,R,,1964,Jim Clark 🇬🇧
1964 British Grand Prix 🇬🇧,5,16,76,Lotus-Climax 🇬🇧,1964-07-11,11,,1964,Jim Clark 🇬🇧
1964 Dutch Grand Prix 🇳🇱,2,18,55,Lotus-Climax 🇬🇧,1964-05-24,13,,1964,Jim Clark 🇬🇧
1964 French Grand Prix 🇫🇷,4,17,4,Brabham-Climax 🇬🇧,1964-06-28,R,,1964,Dan Gurney 🇺🇸
1964 German Grand Prix 🇩🇪,6,10,15,Ferrari 🇮🇹,1964-08-02,4,+5:23.1,1964,John Surtees 🇬🇧
1964 Italian Grand Prix 🇮🇹,8,6,77,Ferrari 🇮🇹,1964-09-06,7,,1964,John Surtees 🇬🇧
1964 Mexican Grand Prix 🇲🇽,10,13,11,Brabham-Climax 🇬🇧,1964-10-25,R,,1964,Dan Gurney 🇺🇸
1964 Monaco Grand Prix 🇲🇨,1,16,78,BRM 🇬🇧,1964-05-10,8,,1964,Graham Hill 🇬🇧
1964 United States Grand Prix 🇺🇸,9,12,109,BRM 🇬🇧,1964-10-04,3,,1964,Graham Hill 🇬🇧
1965 Belgian Grand Prix 🇧🇪,3,8,31,Lotus-Climax 🇬🇧,1965-06-13,8,,1965,Jim Clark 🇬🇧
1965 British Grand Prix 🇬🇧,5,18,78,Lotus-Climax 🇬🇧,1965-07-10,9,,1965,Jim Clark 🇬🇧
1965 Dutch Grand Prix 🇳🇱,6,10,55,Lotus-Climax 🇬🇧,1965-07-18,13,,1965,Jim Clark 🇬🇧
1965 French Grand Prix 🇫🇷,4,14,39,Lotus-Climax 🇬🇧,1965-06-27,6,,1965,Jim Clark 🇬🇧
1965 German Grand Prix 🇩🇪,7,11,9,Lotus-Climax 🇬🇧,1965-08-01,R,,1965,Jim Clark 🇬🇧
1965 Italian Grand Prix 🇮🇹,8,10,43,BRM 🇬🇧,1965-09-12,R,,1965,Jackie Stewart 🇬🇧
1965 Mexican Grand Prix 🇲🇽,10,11,65,Honda 🇯🇵,1965-10-24,4,+1:54.42,1965,Richie Ginther 🇺🇸
1965 Monaco Grand Prix 🇲🇨,2,10,98,BRM 🇬🇧,1965-05-30,6,,1965,Graham Hill 🇬🇧
1965 South African Grand Prix 🇿🇦,1,14,83,Lotus-Climax 🇬🇧,1965-01-01,7,,1965,Jim Clark 🇬🇧
1965 United States Grand Prix 🇺🇸,9,11,99,BRM 🇬🇧,1965-10-03,11,,1965,Graham Hill 🇬🇧
1966 Belgian Grand Prix 🇧🇪,2,14,0,Ferrari 🇮🇹,1966-06-12,R,,1966,John Surtees 🇬🇧
1966 British Grand Prix 🇬🇧,4,11,70,Brabham-Repco 🇬🇧,1966-07-16,N,,1966,Jack Brabham 🇦🇺
1966 Dutch Grand Prix 🇳🇱,5,11,79,Brabham-Repco 🇬🇧,1966-07-24,R,,1966,Jack Brabham 🇦🇺
1966 French Grand Prix 🇫🇷,3,6,10,Brabham-Repco 🇬🇧,1966-07-03,R,,1966,Jack Brabham 🇦🇺
1966 Italian Grand Prix 🇮🇹,7,17,46,Ferrari 🇮🇹,1966-09-04,R,,1966,Ludovico Scarfiotti 🇮🇹
1966 Mexican Grand Prix 🇲🇽,9,11,33,Cooper-Maserati 🇬🇧,1966-10-23,R,,1966,John Surtees 🇬🇧
1966 Monaco Grand Prix 🇲🇨,1,13,35,BRM 🇬🇧,1966-05-22,R,,1966,Jackie Stewart 🇬🇧
1966 United States Grand Prix 🇺🇸,8,13,105,Lotus-BRM 🇬🇧,1966-10-02,4,,1966,Jim Clark 🇬🇧
1967 Belgian Grand Prix 🇧🇪,4,16,27,Eagle-Weslake 🇺🇸,1967-06-18,7,,1967,Dan Gurney 🇺🇸
1967 British Grand Prix 🇬🇧,6,18,10,Lotus-Ford 🇬🇧,1967-07-15,R,,1967,Jim Clark 🇬🇧
1967 Dutch Grand Prix 🇳🇱,3,16,83,Lotus-Ford 🇬🇧,1967-06-04,10,,1967,Jim Clark 🇬🇧
1967 French Grand Prix 🇫🇷,5,11,77,Brabham-Repco 🇬🇧,1967-07-02,4,,1967,Jack Brabham 🇦🇺
1967 German Grand Prix 🇩🇪,7,12,12,Brabham-Repco 🇬🇧,1967-08-06,R,,1967,Denny Hulme 🇳🇿
1967 Italian Grand Prix 🇮🇹,9,13,50,Honda 🇯🇵,1967-09-10,R,,1967,John Surtees 🇬🇧
1967 Mexican Grand Prix 🇲🇽,11,10,59,Lotus-Ford 🇬🇧,1967-10-22,12,,1967,Jim Clark 🇬🇧
1967 Monaco Grand Prix 🇲🇨,2,9,31,Brabham-Repco 🇬🇧,1967-05-07,R,,1967,Denny Hulme 🇳🇿
1967 South African Grand Prix 🇿🇦,1,16,41,Cooper-Maserati 🇬🇧,1967-01-02,R,,1967,Pedro Rodríguez 🇲🇽
1967 United States Grand Prix 🇺🇸,10,12,106,Lotus-Ford 🇬🇧,1967-10-01,4,,1967,Jim Clark 🇬🇧
