name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1963 Mexican Grand Prix 🇲🇽,3,11,1963-10-27T00:00:00.000Z,11,1963,Richie Ginther 🇺🇸,BRM 🇬🇧,9,5,57,,0.0
1963 Mexican Grand Prix 🇲🇽,4,11,1963-10-27T00:00:00.000Z,11,1963,Graham Hill 🇬🇧,BRM 🇬🇧,9,3,57,,0.0
1964 Mexican Grand Prix 🇲🇽,4,14,1964-10-25T00:00:00.000Z,10,1964,Mike Spence 🇬🇧,Lotus-Climax 🇬🇧,10,5,63,,0.0
1964 Mexican Grand Prix 🇲🇽,5,14,1964-10-25T00:00:00.000Z,10,1964,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,10,1,63,,0.0
1965 Mexican Grand Prix 🇲🇽,3,9,1965-10-24T00:00:00.000Z,R,1965,Mike Spence 🇬🇧,Lotus-Climax 🇬🇧,10,6,55,,0.0
1965 Mexican Grand Prix 🇲🇽,R,9,1965-10-24T00:00:00.000Z,R,1965,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,10,1,55,,0.0
1965 United States Grand Prix 🇺🇸,R,17,1965-10-03T00:00:00.000Z,12,1965,Jim Clark 🇬🇧,Lotus-Climax 🇬🇧,9,9,95,,0.0
1965 United States Grand Prix 🇺🇸,R,17,1965-10-03T00:00:00.000Z,12,1965,Mike Spence 🇬🇧,Lotus-Climax 🇬🇧,9,4,95,,0.0
1966 Mexican Grand Prix 🇲🇽,1,15,1966-10-23T00:00:00.000Z,R,1966,John Surtees 🇬🇧,Cooper-Maserati 🇬🇧,9,1,9,,0.0
1966 Mexican Grand Prix 🇲🇽,6,15,1966-10-23T00:00:00.000Z,R,1966,Jo Bonnier 🇸🇪,Cooper-Maserati 🇬🇧,9,12,9,,0.0
1966 Mexican Grand Prix 🇲🇽,R,15,1966-10-23T00:00:00.000Z,R,1966,Jo Siffert 🇨🇭,Cooper-Maserati 🇬🇧,9,11,9,,0.0
1966 Mexican Grand Prix 🇲🇽,R,15,1966-10-23T00:00:00.000Z,R,1966,Jochen Rindt 🇦🇹,Cooper-Maserati 🇬🇧,9,5,9,,0.0
1967 Mexican Grand Prix 🇲🇽,R,9,1967-10-22T00:00:00.000Z,R,1967,Mike Fisher 🇺🇸,Lotus-BRM 🇬🇧,11,10,12,,0.0
1967 United States Grand Prix 🇺🇸,1,7,1967-10-01T00:00:00.000Z,R,1967,Jim Clark 🇬🇧,Lotus-Ford 🇬🇧,10,2,7,,0.0
1967 United States Grand Prix 🇺🇸,2,7,1967-10-01T00:00:00.000Z,R,1967,Graham Hill 🇬🇧,Lotus-Ford 🇬🇧,10,1,7,,0.0
1968 Mexican Grand Prix 🇲🇽,1,11,1968-11-03T00:00:00.000Z,R,1968,Graham Hill 🇬🇧,Lotus-Ford 🇬🇧,12,3,14,,0.0
1968 Mexican Grand Prix 🇲🇽,3,11,1968-11-03T00:00:00.000Z,R,1968,Jackie Oliver 🇬🇧,Lotus-Ford 🇬🇧,12,14,14,,0.0
1968 Mexican Grand Prix 🇲🇽,6,11,1968-11-03T00:00:00.000Z,R,1968,Jo Siffert 🇨🇭,Lotus-Ford 🇬🇧,12,1,14,,0.0
