name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 Belgian Grand Prix 🇧🇪,R,5,1950-06-18,R,1950,Yves Cabantous 🇫🇷,Talbot-Lago 🇫🇷,5,9,20,,0.0
1950 Belgian Grand Prix 🇧🇪,R,5,1950-06-18,R,1950,Philippe Étancelin 🇫🇷,Talbot-Lago 🇫🇷,5,6,20,,0.0
1950 Belgian Grand Prix 🇧🇪,R,5,1950-06-18,R,1950,Eugène Chaboud 🇫🇷,Talbot-Lago 🇫🇷,5,13,20,,0.0
1950 Belgian Grand Prix 🇧🇪,8,5,1950-06-18,R,1950,Johnny Claes 🇧🇪,Talbot-Lago 🇫🇷,5,14,20,,0.0
1950 Belgian Grand Prix 🇧🇪,7,5,1950-06-18,R,1950,Pierre Levegh 🇫🇷,Talbot-Lago 🇫🇷,5,10,20,,0.0
1950 Belgian Grand Prix 🇧🇪,3,5,1950-06-18,R,1950,Louis Rosier 🇫🇷,Talbot-Lago 🇫🇷,5,8,20,,0.0
1950 French Grand Prix 🇫🇷,5,16,1950-07-02,R,1950,Eugène Chaboud 🇫🇷,Talbot-Lago 🇫🇷,6,4,4,,0.0
1950 French Grand Prix 🇫🇷,5,16,1950-07-02,R,1950,Philippe Étancelin 🇫🇷,Talbot-Lago 🇫🇷,6,4,4,,0.0
1950 French Grand Prix 🇫🇷,6,16,1950-07-02,R,1950,Charles Pozzi 🇫🇷,Talbot-Lago 🇫🇷,6,15,4,,0.0
1950 French Grand Prix 🇫🇷,8,16,1950-07-02,R,1950,Yves Cabantous 🇫🇷,Talbot-Lago 🇫🇷,6,5,4,,0.0
1950 French Grand Prix 🇫🇷,R,16,1950-07-02,R,1950,Pierre Levegh 🇫🇷,Talbot-Lago 🇫🇷,6,9,4,,0.0
1950 French Grand Prix 🇫🇷,R,16,1950-07-02,R,1950,Johnny Claes 🇧🇪,Talbot-Lago 🇫🇷,6,14,4,,0.0
1950 French Grand Prix 🇫🇷,R,16,1950-07-02,R,1950,Louis Rosier 🇫🇷,Talbot-Lago 🇫🇷,6,6,4,,0.0
1950 French Grand Prix 🇫🇷,6,16,1950-07-02,R,1950,Louis Rosier 🇫🇷,Talbot-Lago 🇫🇷,6,15,4,,0.0
1950 Italian Grand Prix 🇮🇹,4,8,1950-09-03,R,1950,Louis Rosier 🇫🇷,Talbot-Lago 🇫🇷,7,13,48,,0.0
1950 Italian Grand Prix 🇮🇹,R,8,1950-09-03,R,1950,Henri Louveau 🇫🇷,Talbot-Lago 🇫🇷,7,16,48,,0.0
1950 Italian Grand Prix 🇮🇹,R,8,1950-09-03,R,1950,Johnny Claes 🇧🇪,Talbot-Lago 🇫🇷,7,22,48,,0.0
1950 Italian Grand Prix 🇮🇹,R,8,1950-09-03,R,1950,Pierre Levegh 🇫🇷,Talbot-Lago 🇫🇷,7,20,48,,0.0
1950 Italian Grand Prix 🇮🇹,R,8,1950-09-03,R,1950,Guy Mairesse 🇫🇷,Talbot-Lago 🇫🇷,7,11,48,,0.0
1950 Italian Grand Prix 🇮🇹,5,8,1950-09-03,R,1950,Philippe Étancelin 🇫🇷,Talbot-Lago 🇫🇷,7,16,48,,0.0
1950 Monaco Grand Prix 🇲🇨,2,9,1950-05-21,4,1950,Alberto Ascari 🇮🇹,Ferrari 🇮🇹,2,7,97,,3.0
1950 Monaco Grand Prix 🇲🇨,R,9,1950-05-21,4,1950,Luigi Villoresi 🇮🇹,Ferrari 🇮🇹,2,6,97,,3.0
1950 Monaco Grand Prix 🇲🇨,W,9,1950-05-21,4,1950,Peter Whitehead 🇬🇧,Ferrari 🇮🇹,2,21,97,,3.0
1950 Swiss Grand Prix 🇨🇭,R,13,1950-06-04,R,1950,Luigi Villoresi 🇮🇹,Ferrari 🇮🇹,4,4,19,,0.0
1950 Swiss Grand Prix 🇨🇭,R,13,1950-06-04,R,1950,Alberto Ascari 🇮🇹,Ferrari 🇮🇹,4,5,19,,0.0
