name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1952 Indianapolis 500 🇺🇸,R,11,1952-05-30,18,1952,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,2,2,187,,0.0
1952 Indianapolis 500 🇺🇸,R,11,1952-05-30,18,1952,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,27,187,,0.0
1952 Indianapolis 500 🇺🇸,R,11,1952-05-30,18,1952,Bob Scott 🇺🇸,Kurtis Kraft 🇺🇸,2,25,187,,0.0
1952 Indianapolis 500 🇺🇸,R,11,1952-05-30,18,1952,Gene Hartley 🇺🇸,Kurtis Kraft 🇺🇸,2,18,187,,0.0
1952 Indianapolis 500 🇺🇸,R,11,1952-05-30,18,1952,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,1,187,,0.0
1952 Indianapolis 500 🇺🇸,R,11,1952-05-30,18,1952,Bob Sweikert 🇺🇸,Kurtis Kraft 🇺🇸,2,32,187,,0.0
1952 Indianapolis 500 🇺🇸,R,11,1952-05-30,18,1952,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,4,187,,0.0
1952 Indianapolis 500 🇺🇸,R,11,1952-05-30,18,1952,Rodger Ward 🇺🇸,Kurtis Kraft 🇺🇸,2,22,187,,0.0
1952 Indianapolis 500 🇺🇸,21,11,1952-05-30,18,1952,Johnny McDowell 🇺🇸,Kurtis Kraft 🇺🇸,2,33,187,,0.0
1952 Indianapolis 500 🇺🇸,17,11,1952-05-30,18,1952,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,2,8,187,,0.0
1952 Indianapolis 500 🇺🇸,13,11,1952-05-30,18,1952,Joe James 🇺🇸,Kurtis Kraft 🇺🇸,2,16,187,,0.0
1952 Indianapolis 500 🇺🇸,11,11,1952-05-30,18,1952,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,187,,0.0
1952 Indianapolis 500 🇺🇸,10,11,1952-05-30,18,1952,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,31,187,,0.0
1952 Indianapolis 500 🇺🇸,9,11,1952-05-30,18,1952,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,9,187,,0.0
1952 Indianapolis 500 🇺🇸,8,11,1952-05-30,18,1952,George Connor 🇺🇸,Kurtis Kraft 🇺🇸,2,14,187,,0.0
1952 Indianapolis 500 🇺🇸,7,11,1952-05-30,18,1952,Jimmy Reece 🇺🇸,Kurtis Kraft 🇺🇸,2,23,187,,0.0
1952 Indianapolis 500 🇺🇸,6,11,1952-05-30,18,1952,Jimmy Bryan 🇺🇸,Kurtis Kraft 🇺🇸,2,21,187,,0.0
1952 Indianapolis 500 🇺🇸,5,11,1952-05-30,18,1952,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,2,20,187,,0.0
1952 Indianapolis 500 🇺🇸,3,11,1952-05-30,18,1952,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,5,187,,0.0
1952 Indianapolis 500 🇺🇸,2,11,1952-05-30,18,1952,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,2,10,187,,0.0
1953 Indianapolis 500 🇺🇸,1,16,1953-05-30,R,1953,Bill Vukovich 🇺🇸,Kuzma 🇺🇸,2,1,42,,0.0
1953 Indianapolis 500 🇺🇸,2,16,1953-05-30,R,1953,Art Cross 🇺🇸,Kuzma 🇺🇸,2,12,42,,0.0
1953 Indianapolis 500 🇺🇸,3,16,1953-05-30,R,1953,Sam Hanks 🇺🇸,Kuzma 🇺🇸,2,9,42,,0.0
1953 Indianapolis 500 🇺🇸,4,16,1953-05-30,R,1953,Fred Agabashian 🇺🇸,Kuzma 🇺🇸,2,2,42,,0.0
1953 Indianapolis 500 🇺🇸,5,16,1953-05-30,R,1953,Jack McGrath 🇺🇸,Kuzma 🇺🇸,2,3,42,,0.0
1953 Indianapolis 500 🇺🇸,6,16,1953-05-30,R,1953,Jimmy Daywalt 🇺🇸,Kuzma 🇺🇸,2,21,42,,0.0
1953 Indianapolis 500 🇺🇸,7,16,1953-05-30,R,1953,Jim Rathmann 🇺🇸,Kuzma 🇺🇸,2,25,42,,0.0
1953 Indianapolis 500 🇺🇸,10,16,1953-05-30,R,1953,Jimmy Davies 🇺🇸,Kuzma 🇺🇸,2,32,42,,0.0
1953 Indianapolis 500 🇺🇸,11,16,1953-05-30,R,1953,Duke Nalon 🇺🇸,Kuzma 🇺🇸,2,26,42,,0.0
1953 Indianapolis 500 🇺🇸,12,16,1953-05-30,R,1953,Carl Scarborough 🇺🇸,Kuzma 🇺🇸,2,19,42,,0.0
1953 Indianapolis 500 🇺🇸,15,16,1953-05-30,R,1953,Bill Holland 🇺🇸,Kuzma 🇺🇸,2,28,42,,0.0
1953 Indianapolis 500 🇺🇸,16,16,1953-05-30,R,1953,Rodger Ward 🇺🇸,Kuzma 🇺🇸,2,10,42,,0.0
1953 Indianapolis 500 🇺🇸,17,16,1953-05-30,R,1953,Walt Faulkner 🇺🇸,Kuzma 🇺🇸,2,14,42,,0.0
1953 Indianapolis 500 🇺🇸,R,16,1953-05-30,R,1953,Travis Webb 🇺🇸,Kuzma 🇺🇸,2,18,42,,0.0
1953 Indianapolis 500 🇺🇸,17,6,1953-05-30,9,1953,Johnny Mantz 🇺🇸,Kuzma 🇺🇸,2,14,196,,0.0
1953 Indianapolis 500 🇺🇸,R,16,1953-05-30,R,1953,Paul Russo 🇺🇸,Kuzma 🇺🇸,2,17,42,,0.0
1953 Indianapolis 500 🇺🇸,R,16,1953-05-30,R,1953,Johnnie Parsons 🇺🇸,Kuzma 🇺🇸,2,8,42,,0.0
1953 Indianapolis 500 🇺🇸,9,6,1953-05-30,9,1953,Gene Hartley 🇺🇸,Kuzma 🇺🇸,2,6,196,,0.0
1953 Indianapolis 500 🇺🇸,R,16,1953-05-30,R,1953,Cal Niday 🇺🇸,Kuzma 🇺🇸,2,30,42,,0.0
1953 Indianapolis 500 🇺🇸,3,16,1953-05-30,R,1953,Duane Carter 🇺🇸,Kuzma 🇺🇸,2,9,42,,0.0
1953 Indianapolis 500 🇺🇸,4,16,1953-05-30,R,1953,Paul Russo 🇺🇸,Kuzma 🇺🇸,2,2,42,,0.0
1953 Indianapolis 500 🇺🇸,7,16,1953-05-30,R,1953,Eddie Johnson 🇺🇸,Kuzma 🇺🇸,2,25,42,,0.0
1953 Indianapolis 500 🇺🇸,12,16,1953-05-30,R,1953,Bob Scott 🇺🇸,Kuzma 🇺🇸,2,19,42,,0.0
1953 Indianapolis 500 🇺🇸,15,16,1953-05-30,R,1953,Jim Rathmann 🇺🇸,Kuzma 🇺🇸,2,28,42,,0.0
1953 Indianapolis 500 🇺🇸,R,16,1953-05-30,R,1953,Gene Hartley 🇺🇸,Kuzma 🇺🇸,2,13,42,,0.0
1953 Indianapolis 500 🇺🇸,R,6,1953-05-30,9,1953,Johnny Thomson 🇺🇸,Kuzma 🇺🇸,2,18,196,,0.0
1953 Indianapolis 500 🇺🇸,1,6,1953-05-30,9,1953,Bill Vukovich 🇺🇸,Kuzma 🇺🇸,2,1,196,,0.0
1953 Indianapolis 500 🇺🇸,R,16,1953-05-30,R,1953,Johnny Thomson 🇺🇸,Kuzma 🇺🇸,2,18,42,,0.0
1953 Indianapolis 500 🇺🇸,R,16,1953-05-30,R,1953,Jackie Holmes 🇺🇸,Kuzma 🇺🇸,2,18,42,,0.0
1953 Indianapolis 500 🇺🇸,R,16,1953-05-30,R,1953,Andy Linden 🇺🇸,Kuzma 🇺🇸,2,7,42,,0.0
1953 Indianapolis 500 🇺🇸,9,6,1953-05-30,9,1953,Tony Bettenhausen 🇺🇸,Kuzma 🇺🇸,2,6,196,,0.0
1953 Indianapolis 500 🇺🇸,13,6,1953-05-30,9,1953,Manny Ayulo 🇺🇸,Kuzma 🇺🇸,2,4,196,,0.0
1953 Indianapolis 500 🇺🇸,R,6,1953-05-30,9,1953,Bob Sweikert 🇺🇸,Kuzma 🇺🇸,2,29,196,,0.0
1953 Indianapolis 500 🇺🇸,R,6,1953-05-30,9,1953,Pat Flaherty 🇺🇸,Kuzma 🇺🇸,2,24,196,,0.0
1953 Indianapolis 500 🇺🇸,9,6,1953-05-30,9,1953,Gene Hartley 🇺🇸,Kuzma 🇺🇸,2,6,196,,0.0
