name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1974 Argentine Grand Prix 🇦🇷,1,23,31,McLaren 🇬🇧,1974-01-13,R,,1974,Denny Hulme 🇳🇿
1974 Austrian Grand Prix 🇦🇹,12,15,48,Brabham 🇬🇧,1974-08-18,11,,1974,Carlos Reutemann 🇦🇷
1974 Belgian Grand Prix 🇧🇪,5,10,6,McLaren 🇬🇧,1974-05-12,R,,1974,Emerson Fittipaldi 🇧🇷
1974 Brazilian Grand Prix 🇧🇷,2,13,24,McLaren 🇬🇧,1974-01-27,R,,1974,Emerson Fittipaldi 🇧🇷
1974 British Grand Prix 🇬🇧,10,9,36,Tyrrell 🇬🇧,1974-07-20,R,,1974,Jody Scheckter 🇿🇦
1974 Canadian Grand Prix 🇨🇦,14,23,12,McLaren 🇬🇧,1974-09-22,R,,1974,Emerson Fittipaldi 🇧🇷
1974 Dutch Grand Prix 🇳🇱,8,22,0,Ferrari 🇮🇹,1974-06-23,R,,1974,Niki Lauda 🇦🇹
1974 French Grand Prix 🇫🇷,9,0,0,Team Lotus 🇬🇧,1974-07-07,F,,1974,Ronnie Peterson 🇸🇪
1974 German Grand Prix 🇩🇪,11,20,14,Ferrari 🇮🇹,1974-08-04,7,+2:58.7,1974,Clay Regazzoni 🇨🇭
1974 Italian Grand Prix 🇮🇹,13,18,11,Team Lotus 🇬🇧,1974-09-08,R,,1974,Ronnie Peterson 🇸🇪
1974 Monaco Grand Prix 🇲🇨,6,9,3,Team Lotus 🇬🇧,1974-05-26,R,,1974,Ronnie Peterson 🇸🇪
1974 South African Grand Prix 🇿🇦,3,7,78,Brabham 🇬🇧,1974-03-30,5,+46.23,1974,Carlos Reutemann 🇦🇷
1974 Spanish Grand Prix 🇪🇸,4,13,82,Ferrari 🇮🇹,1974-04-28,4,,1974,Niki Lauda 🇦🇹
1974 United States Grand Prix 🇺🇸,15,0,0,Brabham 🇬🇧,1974-10-06,F,,1974,Carlos Reutemann 🇦🇷
1975 Austrian Grand Prix 🇦🇹,12,4,10,March 🇬🇧,1975-08-17,R,,1975,Vittorio Brambilla 🇮🇹
1975 British Grand Prix 🇬🇧,10,14,45,McLaren 🇬🇧,1975-07-19,R,,1975,Emerson Fittipaldi 🇧🇷
1975 German Grand Prix 🇩🇪,11,7,3,Brabham 🇬🇧,1975-08-03,R,,1975,Carlos Reutemann 🇦🇷
1975 Italian Grand Prix 🇮🇹,13,16,15,Ferrari 🇮🇹,1975-09-07,R,,1975,Clay Regazzoni 🇨🇭
1975 United States Grand Prix 🇺🇸,14,13,58,Ferrari 🇮🇹,1975-10-05,8,,1975,Niki Lauda 🇦🇹
1976 Austrian Grand Prix 🇦🇹,11,11,26,Penske 🇺🇸,1976-08-15,R,,1976,John Watson 🇬🇧
1976 Belgian Grand Prix 🇧🇪,5,15,33,Ferrari 🇮🇹,1976-05-16,R,,1976,Niki Lauda 🇦🇹
1976 Brazilian Grand Prix 🇧🇷,1,14,40,Ferrari 🇮🇹,1976-01-25,4,+1:28.17,1976,Niki Lauda 🇦🇹
1976 British Grand Prix 🇬🇧,9,17,0,Ferrari 🇮🇹,1976-07-18,R,,1976,Niki Lauda 🇦🇹
1976 Canadian Grand Prix 🇨🇦,14,8,36,McLaren 🇬🇧,1976-10-03,R,,1976,James Hunt 🇬🇧
1976 Dutch Grand Prix 🇳🇱,12,26,9,McLaren 🇬🇧,1976-08-29,R,,1976,James Hunt 🇬🇧
1976 French Grand Prix 🇫🇷,8,17,54,McLaren 🇬🇧,1976-07-04,7,+1:21.55,1976,James Hunt 🇬🇧
1976 German Grand Prix 🇩🇪,10,4,0,McLaren 🇬🇧,1976-08-01,R,,1976,James Hunt 🇬🇧
1976 Italian Grand Prix 🇮🇹,13,6,23,March 🇬🇧,1976-09-12,R,,1976,Ronnie Peterson 🇸🇪
1976 Japanese Grand Prix 🇯🇵,16,18,37,Team Lotus 🇬🇧,1976-10-24,R,,1976,Mario Andretti 🇺🇸
1976 Monaco Grand Prix 🇲🇨,6,6,77,Ferrari 🇮🇹,1976-05-30,4,,1976,Niki Lauda 🇦🇹
1976 South African Grand Prix 🇿🇦,2,17,76,Ferrari 🇮🇹,1976-03-06,12,,1976,Niki Lauda 🇦🇹
