name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1960 British Grand Prix 🇬🇧,7,11,77,Cooper-Climax 🇬🇧,1960-07-16,2,+49.6,1960,Jack Brabham 🇦🇺
1960 Monaco Grand Prix 🇲🇨,2,15,17,Team Lotus 🇬🇧,1960-05-29,R,,1960,Stirling Moss 🇬🇧
1960 Portuguese Grand Prix 🇵🇹,8,1,37,Cooper-Climax 🇬🇧,1960-08-14,R,,1960,Jack Brabham 🇦🇺
1960 United States Grand Prix 🇺🇸,10,6,3,Team Lotus 🇬🇧,1960-11-20,R,,1960,Stirling Moss 🇬🇧
1961 Belgian Grand Prix 🇧🇪,3,4,30,Ferrari 🇮🇹,1961-06-18,5,+1:26.8,1961,Phil Hill 🇺🇸
1961 British Grand Prix 🇬🇧,5,10,23,Ferrari 🇮🇹,1961-07-15,R,,1961,Wolfgang von Trips 🇩🇪
1961 Dutch Grand Prix 🇳🇱,2,9,75,Ferrari 🇮🇹,1961-05-22,7,+1:26.7,1961,Wolfgang von Trips 🇩🇪
1961 French Grand Prix 🇫🇷,4,7,4,Ferrari 🇮🇹,1961-07-02,R,,1961,Giancarlo Baghetti 🇮🇹
1961 German Grand Prix 🇩🇪,6,10,15,Lotus-Climax 🇬🇧,1961-08-06,5,+1:53.1,1961,Stirling Moss 🇬🇧
1961 Italian Grand Prix 🇮🇹,7,19,2,Ferrari 🇮🇹,1961-09-10,R,,1961,Phil Hill 🇺🇸
1961 Monaco Grand Prix 🇲🇨,1,12,68,Lotus-Climax 🇬🇧,1961-05-14,11,,1961,Stirling Moss 🇬🇧
1961 United States Grand Prix 🇺🇸,8,9,0,Lotus-Climax 🇬🇧,1961-10-08,R,,1961,Innes Ireland 🇬🇧
1962 Belgian Grand Prix 🇧🇪,3,11,31,Lotus-Climax 🇬🇧,1962-06-17,5,,1962,Jim Clark 🇬🇧
1962 British Grand Prix 🇬🇧,5,2,75,Lotus-Climax 🇬🇧,1962-07-21,2,+49.2,1962,Jim Clark 🇬🇧
1962 Dutch Grand Prix 🇳🇱,1,1,8,BRM 🇬🇧,1962-05-20,R,,1962,Graham Hill 🇬🇧
1962 French Grand Prix 🇫🇷,4,5,51,Porsche 🇩🇪,1962-07-08,5,,1962,Dan Gurney 🇺🇸
1962 German Grand Prix 🇩🇪,6,4,15,BRM 🇬🇧,1962-08-05,2,+2.5,1962,Graham Hill 🇬🇧
1962 Italian Grand Prix 🇮🇹,7,8,42,BRM 🇬🇧,1962-09-16,R,,1962,Graham Hill 🇬🇧
1962 Monaco Grand Prix 🇲🇨,2,11,99,Cooper-Climax 🇬🇧,1962-06-03,4,,1962,Bruce McLaren 🇳🇿
1962 South African Grand Prix 🇿🇦,9,5,26,BRM 🇬🇧,1962-12-29,R,,1962,Graham Hill 🇬🇧
1962 United States Grand Prix 🇺🇸,8,20,19,Lotus-Climax 🇬🇧,1962-10-07,R,,1962,Jim Clark 🇬🇧
1963 Belgian Grand Prix 🇧🇪,2,10,19,Lotus-Climax 🇬🇧,1963-06-09,R,,1963,Jim Clark 🇬🇧
1963 British Grand Prix 🇬🇧,5,5,82,Lotus-Climax 🇬🇧,1963-07-20,2,+25.8,1963,Jim Clark 🇬🇧
1963 Dutch Grand Prix 🇳🇱,3,5,79,Lotus-Climax 🇬🇧,1963-06-23,3,,1963,Jim Clark 🇬🇧
1963 French Grand Prix 🇫🇷,4,4,12,Lotus-Climax 🇬🇧,1963-06-30,R,,1963,Jim Clark 🇬🇧
1963 German Grand Prix 🇩🇪,6,2,15,Ferrari 🇮🇹,1963-08-04,1,2:13:06.8,1963,John Surtees 🇬🇧
1963 Italian Grand Prix 🇮🇹,7,1,16,Lotus-Climax 🇬🇧,1963-09-08,R,,1963,Jim Clark 🇬🇧
1963 Mexican Grand Prix 🇲🇽,9,2,19,Lotus-Climax 🇬🇧,1963-10-27,D,,1963,Jim Clark 🇬🇧
1963 Monaco Grand Prix 🇲🇨,1,3,100,BRM 🇬🇧,1963-05-26,4,+14.1,1963,Graham Hill 🇬🇧
1963 South African Grand Prix 🇿🇦,10,4,43,Lotus-Climax 🇬🇧,1963-12-28,R,,1963,Jim Clark 🇬🇧
1963 United States Grand Prix 🇺🇸,8,3,82,BRM 🇬🇧,1963-10-06,9,,1963,Graham Hill 🇬🇧
1964 Austrian Grand Prix 🇦🇹,7,2,9,Ferrari 🇮🇹,1964-08-23,R,,1964,Lorenzo Bandini 🇮🇹
