name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1988 Japanese Grand Prix 🇯🇵,9,20,1988-10-30,16,1988,Philippe Alliot 🇫🇷,Larrousse 🇫🇷,15,19,48,,0.0
1989 Australian Grand Prix 🇦🇺,F,0,1989-11-05,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,16,0,0,,0.0
1989 Belgian Grand Prix 🇧🇪,F,0,1989-08-27,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,11,0,0,,0.0
1989 Brazilian Grand Prix 🇧🇷,R,0,1989-03-26,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,1,25,0,,0.0
1989 British Grand Prix 🇬🇧,F,0,1989-07-16,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,8,0,0,,0.0
1989 Canadian Grand Prix 🇨🇦,F,0,1989-06-18,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,6,0,0,,0.0
1989 French Grand Prix 🇫🇷,F,0,1989-07-09,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,7,0,0,,0.0
1989 Hungarian Grand Prix 🇭🇺,F,0,1989-08-13,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,10,0,0,,0.0
1989 Italian Grand Prix 🇮🇹,F,0,1989-09-10,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,12,0,0,,0.0
1989 Japanese Grand Prix 🇯🇵,R,0,1989-10-22,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,15,21,0,,0.0
1989 Mexican Grand Prix 🇲🇽,F,0,1989-05-28,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,4,0,0,,0.0
1989 Monaco Grand Prix 🇲🇨,F,0,1989-05-07,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,3,0,0,,0.0
1989 Portuguese Grand Prix 🇵🇹,F,0,1989-09-24,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,13,0,0,,0.0
1989 San Marino Grand Prix 🇮🇹,F,0,1989-04-23,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,2,0,0,,0.0
1989 Spanish Grand Prix 🇪🇸,F,0,1989-10-01,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,14,0,0,,0.0
1989 United States Grand Prix 🇺🇸,F,0,1989-06-04,F,1989,Bernd Schneider 🇩🇪,Zakspeed 🇩🇪,5,0,0,,0.0
1990 Australian Grand Prix 🇦🇺,R,24,1990-11-04,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,16,23,6,,0.0
1990 Belgian Grand Prix 🇧🇪,9,11,1990-08-26,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,11,15,0,,0.0
1990 Brazilian Grand Prix 🇧🇷,R,18,1990-03-25,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,2,11,24,,0.0
1990 British Grand Prix 🇬🇧,4,9,1990-07-15,6,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,8,8,63,,1.0
1990 Canadian Grand Prix 🇨🇦,9,18,1990-06-10,12,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,5,23,66,,0.0
1990 French Grand Prix 🇫🇷,8,14,1990-07-08,7,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,7,11,79,,0.0
1990 German Grand Prix 🇩🇪,R,11,1990-07-29,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,9,12,33,,0.0
1990 Hungarian Grand Prix 🇭🇺,6,19,1990-08-12,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,10,12,37,,0.0
1990 Italian Grand Prix 🇮🇹,R,18,1990-09-09,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,12,13,36,,0.0
1990 Japanese Grand Prix 🇯🇵,R,9,1990-10-21,3,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,15,18,53,+22.469,4.0
1990 Mexican Grand Prix 🇲🇽,R,19,1990-06-24,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,6,25,11,,0.0
1990 Monaco Grand Prix 🇲🇨,6,15,1990-05-27,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,4,24,11,,0.0
1990 Portuguese Grand Prix 🇵🇹,R,11,1990-09-23,14,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,13,10,58,,0.0
1990 San Marino Grand Prix 🇮🇹,13,15,1990-05-13,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,3,13,17,,0.0
1990 Spanish Grand Prix 🇪🇸,R,15,1990-09-30,6,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,14,18,73,+1:03.728,1.0
1990 United States Grand Prix 🇺🇸,8,18,1990-03-11,R,1990,Éric Bernard 🇫🇷,Larrousse 🇫🇷,1,15,53,,0.0
1991 Australian Grand Prix 🇦🇺,F,0,1991-11-03,F,1991,Bertrand Gachot 🇧🇪,Larrousse 🇫🇷,16,0,0,,0.0
1991 Belgian Grand Prix 🇧🇪,R,0,1991-08-25,F,1991,Éric Bernard 🇫🇷,Lola 🇬🇧,11,20,0,,0.0
1991 Brazilian Grand Prix 🇧🇷,R,17,1991-03-24,R,1991,Éric Bernard 🇫🇷,Larrousse 🇫🇷,2,11,0,,0.0
1991 British Grand Prix 🇬🇧,R,22,1991-07-14,R,1991,Éric Bernard 🇫🇷,Lola 🇬🇧,8,21,29,,0.0
