name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1987 San Marino Grand Prix 🇮🇹,12,25,1987-05-03T00:00:00.000Z,R,1987,Alex Caffi 🇮🇹,Osella 🇮🇹,2,19,26,,0.0
1989 Australian Grand Prix 🇦🇺,F,0,1989-11-05T00:00:00.000Z,F,1989,Yannick Dalmas 🇫🇷,AGS 🇫🇷,16,0,0,,0.0
1989 Belgian Grand Prix 🇧🇪,F,0,1989-08-27T00:00:00.000Z,F,1989,Yannick Dalmas 🇫🇷,AGS 🇫🇷,11,0,0,,0.0
1989 British Grand Prix 🇬🇧,F,0,1989-07-16T00:00:00.000Z,F,1989,Yannick Dalmas 🇫🇷,AGS 🇫🇷,8,0,0,,0.0
1989 Canadian Grand Prix 🇨🇦,F,25,1989-06-18T00:00:00.000Z,R,1989,Joachim Winkelhock 🇩🇪,AGS 🇫🇷,6,0,6,,0.0
1989 French Grand Prix 🇫🇷,F,21,1989-07-09T00:00:00.000Z,R,1989,Joachim Winkelhock 🇩🇪,AGS 🇫🇷,7,0,30,,0.0
1989 German Grand Prix 🇩🇪,F,0,1989-07-30T00:00:00.000Z,F,1989,Yannick Dalmas 🇫🇷,AGS 🇫🇷,9,0,0,,0.0
1989 Hungarian Grand Prix 🇭🇺,F,0,1989-08-13T00:00:00.000Z,F,1989,Yannick Dalmas 🇫🇷,AGS 🇫🇷,10,0,0,,0.0
1989 Italian Grand Prix 🇮🇹,F,0,1989-09-10T00:00:00.000Z,F,1989,Yannick Dalmas 🇫🇷,AGS 🇫🇷,12,0,0,,0.0
1989 Japanese Grand Prix 🇯🇵,F,0,1989-10-22T00:00:00.000Z,F,1989,Yannick Dalmas 🇫🇷,AGS 🇫🇷,15,0,0,,0.0
1989 Mexican Grand Prix 🇲🇽,F,17,1989-05-28T00:00:00.000Z,6,1989,Joachim Winkelhock 🇩🇪,AGS 🇫🇷,4,0,68,,1.0
1989 Monaco Grand Prix 🇲🇨,F,13,1989-05-07T00:00:00.000Z,R,1989,Joachim Winkelhock 🇩🇪,AGS 🇫🇷,3,0,46,,0.0
1989 Portuguese Grand Prix 🇵🇹,F,0,1989-09-24T00:00:00.000Z,F,1989,Yannick Dalmas 🇫🇷,AGS 🇫🇷,13,0,0,,0.0
1989 San Marino Grand Prix 🇮🇹,F,18,1989-04-23T00:00:00.000Z,8,1989,Joachim Winkelhock 🇩🇪,AGS 🇫🇷,2,0,57,,0.0
1989 Spanish Grand Prix 🇪🇸,F,0,1989-10-01T00:00:00.000Z,F,1989,Yannick Dalmas 🇫🇷,AGS 🇫🇷,14,0,0,,0.0
1989 United States Grand Prix 🇺🇸,F,24,1989-06-04T00:00:00.000Z,7,1989,Joachim Winkelhock 🇩🇪,AGS 🇫🇷,5,0,73,,0.0
1990 Australian Grand Prix 🇦🇺,F,26,1990-11-04T00:00:00.000Z,R,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,16,0,58,,0.0
1990 Belgian Grand Prix 🇧🇪,F,0,1990-08-26T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,11,0,0,,0.0
1990 Brazilian Grand Prix 🇧🇷,R,0,1990-03-25T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,2,26,0,,0.0
1990 British Grand Prix 🇬🇧,F,26,1990-07-15T00:00:00.000Z,R,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,8,0,41,,0.0
1990 Canadian Grand Prix 🇨🇦,F,0,1990-06-10T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,5,0,0,,0.0
1990 French Grand Prix 🇫🇷,17,0,1990-07-08T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,7,26,0,,0.0
1990 German Grand Prix 🇩🇪,F,0,1990-07-29T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,9,0,0,,0.0
1990 Hungarian Grand Prix 🇭🇺,F,24,1990-08-12T00:00:00.000Z,13,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,10,0,74,,0.0
1990 Italian Grand Prix 🇮🇹,N,0,1990-09-09T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,12,24,0,,0.0
1990 Japanese Grand Prix 🇯🇵,F,0,1990-10-21T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,15,0,0,,0.0
1990 Mexican Grand Prix 🇲🇽,F,0,1990-06-24T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,6,0,0,,0.0
1990 Monaco Grand Prix 🇲🇨,F,0,1990-05-27T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,4,0,0,,0.0
1990 Portuguese Grand Prix 🇵🇹,R,0,1990-09-23T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,13,24,0,,0.0
1990 San Marino Grand Prix 🇮🇹,F,0,1990-05-13T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,3,0,0,,0.0
1990 Spanish Grand Prix 🇪🇸,9,22,1990-09-30T00:00:00.000Z,R,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,14,23,5,,0.0
1990 United States Grand Prix 🇺🇸,F,0,1990-03-11T00:00:00.000Z,F,1990,Yannick Dalmas 🇫🇷,AGS 🇫🇷,1,0,0,,0.0
