name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1950 Italian Grand Prix 🇮🇹,7,7,34,Alfa Romeo 🇮🇹,1950-09-03,R,,1950,Nino Farina 🇮🇹
1951 Belgian Grand Prix 🇧🇪,3,5,8,Alfa Romeo 🇮🇹,1951-06-17,R,,1951,Nino Farina 🇮🇹
1951 German Grand Prix 🇩🇪,6,6,20,Ferrari 🇮🇹,1951-07-29,5,+7:49.1,1951,Alberto Ascari 🇮🇹
1951 Italian Grand Prix 🇮🇹,7,6,78,Ferrari 🇮🇹,1951-09-16,5,,1951,Alberto Ascari 🇮🇹
1951 Spanish Grand Prix 🇪🇸,8,7,30,Alfa Romeo 🇮🇹,1951-10-28,R,,1951,Juan Fangio 🇦🇷
1951 Swiss Grand Prix 🇨🇭,1,6,42,Alfa Romeo 🇮🇹,1951-05-27,2,+55.24,1951,Juan Fangio 🇦🇷
1952 Belgian Grand Prix 🇧🇪,3,3,13,Ferrari 🇮🇹,1952-06-22,R,,1952,Alberto Ascari 🇮🇹
1952 British Grand Prix 🇬🇧,5,3,84,Ferrari 🇮🇹,1952-07-19,2,,1952,Alberto Ascari 🇮🇹
1952 French Grand Prix 🇫🇷,4,3,75,Ferrari 🇮🇹,1952-07-06,3,,1952,Alberto Ascari 🇮🇹
1952 German Grand Prix 🇩🇪,6,5,17,Ferrari 🇮🇹,1952-08-03,4,,1952,Alberto Ascari 🇮🇹
1952 Italian Grand Prix 🇮🇹,8,6,77,Ferrari 🇮🇹,1952-09-07,7,,1952,Alberto Ascari 🇮🇹
1952 Swiss Grand Prix 🇨🇭,1,2,62,Ferrari 🇮🇹,1952-05-18,1,3:01:46.1,1952,Piero Taruffi 🇮🇹
1954 German Grand Prix 🇩🇪,6,13,21,Mercedes 🇩🇪,1954-08-01,6,,1954,Juan Fangio 🇦🇷
1955 Belgian Grand Prix 🇧🇪,4,0,0,Mercedes 🇩🇪,1955-06-05,W,,1955,Juan Fangio 🇦🇷
1955 British Grand Prix 🇬🇧,6,5,89,Mercedes 🇩🇪,1955-07-16,4,,1955,Stirling Moss 🇬🇧
1955 Italian Grand Prix 🇮🇹,7,9,50,Mercedes 🇩🇪,1955-09-11,2,+0.7,1955,Juan Fangio 🇦🇷
1955 Monaco Grand Prix 🇲🇨,2,15,86,Ferrari 🇮🇹,1955-05-22,8,,1955,Maurice Trintignant 🇫🇷
1956 Italian Grand Prix 🇮🇹,8,4,12,Maserati 🇮🇹,1956-09-02,R,,1956,Stirling Moss 🇬🇧
