name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1950 Italian Grand Prix 🇮🇹,R,12,1950-09-03,R,1950,Robert Manzon 🇫🇷,Simca 🇫🇷,7,10,13,,0.0
1950 Monaco Grand Prix 🇲🇨,R,13,1950-05-21,R,1950,Robert Manzon 🇫🇷,Simca 🇫🇷,2,11,0,,0.0
1951 French Grand Prix 🇫🇷,R,18,1951-07-01,R,1951,Robert Manzon 🇫🇷,Simca 🇫🇷,4,23,11,,0.0
1951 French Grand Prix 🇫🇷,R,18,1951-07-01,R,1951,André Simon 🇫🇷,Simca 🇫🇷,4,21,11,,0.0
1951 French Grand Prix 🇫🇷,R,18,1951-07-01,R,1951,Aldo Gordini 🇫🇷,Simca 🇫🇷,4,17,11,,0.0
1951 German Grand Prix 🇩🇪,R,14,1951-07-29,R,1951,André Simon 🇫🇷,Simca 🇫🇷,6,12,13,,0.0
1951 German Grand Prix 🇩🇪,7,14,1951-07-29,R,1951,Robert Manzon 🇫🇷,Simca 🇫🇷,6,9,13,,0.0
1951 Italian Grand Prix 🇮🇹,R,12,1951-09-16,R,1951,Robert Manzon 🇫🇷,Simca 🇫🇷,7,13,29,,0.0
1951 Italian Grand Prix 🇮🇹,6,12,1951-09-16,R,1951,André Simon 🇫🇷,Simca 🇫🇷,7,11,29,,0.0
1951 Spanish Grand Prix 🇪🇸,R,11,1951-10-28,R,1951,André Simon 🇫🇷,Simca 🇫🇷,8,10,25,,0.0
1951 Spanish Grand Prix 🇪🇸,9,11,1951-10-28,R,1951,Robert Manzon 🇫🇷,Simca 🇫🇷,8,9,25,,0.0
1952 British Grand Prix 🇬🇧,11,21,1952-07-19,R,1952,Prince Bira 🇹🇭,Gordini 🇫🇷,5,10,21,,0.0
1952 British Grand Prix 🇬🇧,R,21,1952-07-19,R,1952,Robert Manzon 🇫🇷,Gordini 🇫🇷,5,4,21,,0.0
1952 Dutch Grand Prix 🇳🇱,R,5,1952-08-17,6,1952,Jean Behra 🇫🇷,Gordini 🇫🇷,7,6,87,,0.0
1952 Dutch Grand Prix 🇳🇱,5,5,1952-08-17,6,1952,Robert Manzon 🇫🇷,Gordini 🇫🇷,7,6,87,,0.0
1952 French Grand Prix 🇫🇷,R,6,1952-07-06,5,1952,Johnny Claes 🇧🇪,Simca 🇫🇷,4,20,72,,2.0
1952 German Grand Prix 🇩🇪,R,3,1952-08-03,R,1952,Robert Manzon 🇫🇷,Gordini 🇫🇷,6,4,1,,0.0
1952 German Grand Prix 🇩🇪,5,3,1952-08-03,R,1952,Jean Behra 🇫🇷,Gordini 🇫🇷,6,11,1,,0.0
1952 Italian Grand Prix 🇮🇹,14,4,1952-09-07,R,1952,Robert Manzon 🇫🇷,Gordini 🇫🇷,8,7,5,,0.0
1952 Italian Grand Prix 🇮🇹,R,4,1952-09-07,R,1952,Jean Behra 🇫🇷,Gordini 🇫🇷,8,11,5,,0.0
1953 Argentine Grand Prix 🇦🇷,R,7,1953-01-18,7,1953,Carlos Menditeguy 🇦🇷,Gordini 🇫🇷,1,10,91,,0.0
1953 Argentine Grand Prix 🇦🇷,R,7,1953-01-18,7,1953,Robert Manzon 🇫🇷,Gordini 🇫🇷,1,8,91,,0.0
1953 Argentine Grand Prix 🇦🇷,6,7,1953-01-18,7,1953,Jean Behra 🇫🇷,Gordini 🇫🇷,1,11,91,,0.0
1953 Argentine Grand Prix 🇦🇷,7,7,1953-01-18,7,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,1,7,91,,0.0
1953 Belgian Grand Prix 🇧🇪,7,8,1953-06-21,5,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,4,12,35,,2.0
1953 Belgian Grand Prix 🇧🇪,R,8,1953-06-21,5,1953,Jean Behra 🇫🇷,Gordini 🇫🇷,4,14,35,,2.0
1953 Belgian Grand Prix 🇧🇪,9,8,1953-06-21,5,1953,Fred Wacker 🇺🇸,Gordini 🇫🇷,4,15,35,,2.0
1953 British Grand Prix 🇬🇧,R,8,1953-07-18,R,1953,Jean Behra 🇫🇷,Gordini 🇫🇷,6,22,14,,0.0
1953 British Grand Prix 🇬🇧,R,8,1953-07-18,R,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,6,9,14,,0.0
1953 Dutch Grand Prix 🇳🇱,R,12,1953-06-07,6,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,3,10,87,,0.0
1953 Dutch Grand Prix 🇳🇱,R,12,1953-06-07,6,1953,Roberto Mieres 🇦🇷,Gordini 🇫🇷,3,19,87,,0.0
1953 French Grand Prix 🇫🇷,R,23,1953-07-05,R,1953,Roberto Mieres 🇦🇷,Gordini 🇫🇷,5,24,14,,0.0
1953 French Grand Prix 🇫🇷,R,23,1953-07-05,R,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,5,20,14,,0.0
1953 French Grand Prix 🇫🇷,10,23,1953-07-05,R,1953,Jean Behra 🇫🇷,Gordini 🇫🇷,5,22,14,,0.0
1953 German Grand Prix 🇩🇪,R,5,1953-08-02,R,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,7,10,1,,0.0
1953 German Grand Prix 🇩🇪,R,5,1953-08-02,R,1953,Jean Behra 🇫🇷,Gordini 🇫🇷,7,9,1,,0.0
1953 Italian Grand Prix 🇮🇹,9,8,1953-09-13,5,1953,Harry Schell 🇺🇸,Gordini 🇫🇷,9,15,79,,2.0
1953 Italian Grand Prix 🇮🇹,6,8,1953-09-13,5,1953,Roberto Mieres 🇦🇷,Gordini 🇫🇷,9,16,79,,2.0
1953 Swiss Grand Prix 🇨🇭,R,4,1953-08-23,R,1953,Jean Behra 🇫🇷,Gordini 🇫🇷,8,12,43,,0.0
