name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1998 Argentine Grand Prix 🇦🇷,13,20,1998-04-12T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,3,19,63,,0.0
1998 Australian Grand Prix 🇦🇺,R,17,1998-03-08T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,1,22,22,,0.0
1998 Austrian Grand Prix 🇦🇹,11,19,1998-07-26T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,10,21,30,,0.0
1998 Belgian Grand Prix 🇧🇪,8,22,1998-08-30T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,13,21,17,,0.0
1998 Brazilian Grand Prix 🇧🇷,R,19,1998-03-29T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,2,18,44,,0.0
1998 British Grand Prix 🇬🇧,8,18,1998-07-12T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,9,19,29,,0.0
1998 Canadian Grand Prix 🇨🇦,7,21,1998-06-07T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,7,18,53,,0.0
1998 French Grand Prix 🇫🇷,17,22,1998-06-28T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,8,21,41,,0.0
1998 German Grand Prix 🇩🇪,R,21,1998-08-02T00:00:00.000Z,16,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,11,20,43,,0.0
1998 Hungarian Grand Prix 🇭🇺,15,21,1998-08-16T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,12,19,13,,0.0
1998 Italian Grand Prix 🇮🇹,R,22,1998-09-13T00:00:00.000Z,11,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,14,21,51,,0.0
1998 Japanese Grand Prix 🇯🇵,R,21,1998-11-01T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,16,20,28,,0.0
1998 Luxembourg Grand Prix 🇩🇪,15,21,1998-09-27T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,15,20,56,,0.0
1998 Monaco Grand Prix 🇲🇨,9,21,1998-05-24T00:00:00.000Z,R,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,6,19,0,,0.0
1998 San Marino Grand Prix 🇮🇹,R,19,1998-04-26T00:00:00.000Z,8,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,4,21,60,,0.0
1998 Spanish Grand Prix 🇪🇸,14,19,1998-05-10T00:00:00.000Z,15,1998,Shinji Nakano 🇯🇵,Minardi 🇮🇹,5,20,63,,0.0
