name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1956 Indianapolis 500 🇺🇸,2,24,1956-05-30,R,1956,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,3,13,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Eddie Russo 🇺🇸,Kurtis Kraft 🇺🇸,3,14,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,3,8,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,3,11,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Johnny Boyd 🇺🇸,Kurtis Kraft 🇺🇸,3,12,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Ray Crawford 🇺🇸,Kurtis Kraft 🇺🇸,3,17,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Al Herman 🇺🇸,Kurtis Kraft 🇺🇸,3,27,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,3,9,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Keith Andrews 🇺🇸,Kurtis Kraft 🇺🇸,3,20,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Jimmy Daywalt 🇺🇸,Kurtis Kraft 🇺🇸,3,16,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Ed Elisian 🇺🇸,Kurtis Kraft 🇺🇸,3,14,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,5,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Johnnie Tolan 🇺🇸,Kurtis Kraft 🇺🇸,3,31,131,,0.0
1956 Indianapolis 500 🇺🇸,R,24,1956-05-30,R,1956,Jim Rathmann 🇺🇸,Kurtis Kraft 🇺🇸,3,2,131,,0.0
1956 Indianapolis 500 🇺🇸,18,24,1956-05-30,R,1956,Pat O'Connor 🇺🇸,Kurtis Kraft 🇺🇸,3,3,131,,0.0
1956 Indianapolis 500 🇺🇸,17,24,1956-05-30,R,1956,Duke Dinsmore 🇺🇸,Kurtis Kraft 🇺🇸,3,33,131,,0.0
1956 Indianapolis 500 🇺🇸,14,24,1956-05-30,R,1956,Al Keller 🇺🇸,Kurtis Kraft 🇺🇸,3,28,131,,0.0
1956 Indianapolis 500 🇺🇸,13,24,1956-05-30,R,1956,Bob Christie 🇺🇸,Kurtis Kraft 🇺🇸,3,25,131,,0.0
