name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
2012 Abu Dhabi Grand Prix 🇦🇪,18,17,55,Lotus F1 🇬🇧,2012-11-04,12,+34.9,2012,Kimi Räikkönen 🇫🇮
2012 Australian Grand Prix 🇦🇺,1,11,58,McLaren 🇬🇧,2012-03-18,11,+39.848,2012,Jenson Button 🇬🇧
2012 Bahrain Grand Prix 🇧🇭,4,17,57,Red Bull 🇦🇹,2012-04-22,14,+1:33.723,2012,Sebastian Vettel 🇩🇪
2012 Belgian Grand Prix 🇧🇪,12,15,44,McLaren 🇬🇧,2012-09-02,8,+58.865,2012,Jenson Button 🇬🇧
2012 Brazilian Grand Prix 🇧🇷,20,17,71,McLaren 🇬🇧,2012-11-25,8,+28.653,2012,Jenson Button 🇬🇧
2012 British Grand Prix 🇬🇧,9,23,52,Red Bull 🇦🇹,2012-07-08,14,+53.313,2012,Mark Webber 🇦🇺
2012 Canadian Grand Prix 🇨🇦,7,19,69,McLaren 🇬🇧,2012-06-10,15,,2012,Lewis Hamilton 🇬🇧
2012 Chinese Grand Prix 🇨🇳,3,24,56,Mercedes 🇩🇪,2012-04-15,16,+51.756,2012,Nico Rosberg 🇩🇪
2012 European Grand Prix 🇪🇸,8,18,26,Ferrari 🇮🇹,2012-06-24,R,,2012,Fernando Alonso 🇪🇸
2012 German Grand Prix 🇩🇪,10,15,67,Ferrari 🇮🇹,2012-07-22,14,+76.965,2012,Fernando Alonso 🇪🇸
2012 Hungarian Grand Prix 🇭🇺,11,16,68,McLaren 🇬🇧,2012-07-29,16,,2012,Lewis Hamilton 🇬🇧
2012 Indian Grand Prix 🇮🇳,17,18,59,Red Bull 🇦🇹,2012-10-28,15,,2012,Sebastian Vettel 🇩🇪
2012 Italian Grand Prix 🇮🇹,13,16,8,McLaren 🇬🇧,2012-09-09,R,,2012,Lewis Hamilton 🇬🇧
2012 Japanese Grand Prix 🇯🇵,15,19,53,Red Bull 🇦🇹,2012-10-07,13,+88.645,2012,Sebastian Vettel 🇩🇪
2012 Korean Grand Prix 🇰🇷,16,16,55,Red Bull 🇦🇹,2012-10-14,8,+69.589,2012,Sebastian Vettel 🇩🇪
2012 Malaysian Grand Prix 🇲🇾,2,18,56,Ferrari 🇮🇹,2012-03-25,8,+46.985,2012,Fernando Alonso 🇪🇸
2012 Monaco Grand Prix 🇲🇨,6,16,77,Red Bull 🇦🇹,2012-05-27,12,,2012,Mark Webber 🇦🇺
2012 Singapore Grand Prix 🇸🇬,14,16,38,Red Bull 🇦🇹,2012-09-23,R,,2012,Sebastian Vettel 🇩🇪
2012 Spanish Grand Prix 🇪🇸,5,14,65,Williams 🇬🇧,2012-05-13,12,,2012,Pastor Maldonado 🇻🇪
2012 United States Grand Prix 🇺🇸,19,14,14,McLaren 🇬🇧,2012-11-18,R,,2012,Lewis Hamilton 🇬🇧
2013 Abu Dhabi Grand Prix 🇦🇪,17,13,54,Red Bull 🇦🇹,2013-11-03,17,,2013,Sebastian Vettel 🇩🇪
2013 Australian Grand Prix 🇦🇺,1,13,58,Lotus F1 🇬🇧,2013-03-17,12,+1:23.857,2013,Kimi Räikkönen 🇫🇮
2013 Bahrain Grand Prix 🇧🇭,4,16,16,Red Bull 🇦🇹,2013-04-21,R,,2013,Sebastian Vettel 🇩🇪
2013 Belgian Grand Prix 🇧🇪,11,18,44,Red Bull 🇦🇹,2013-08-25,12,+1:26.740,2013,Sebastian Vettel 🇩🇪
2013 Brazilian Grand Prix 🇧🇷,19,8,70,Red Bull 🇦🇹,2013-11-24,15,,2013,Sebastian Vettel 🇩🇪
2013 British Grand Prix 🇬🇧,8,12,35,Mercedes 🇩🇪,2013-06-30,R,,2013,Nico Rosberg 🇩🇪
2013 Canadian Grand Prix 🇨🇦,7,7,69,Red Bull 🇦🇹,2013-06-09,6,,2013,Sebastian Vettel 🇩🇪
2013 Chinese Grand Prix 🇨🇳,3,15,56,Ferrari 🇮🇹,2013-04-14,12,+1:12.604,2013,Fernando Alonso 🇪🇸
2013 German Grand Prix 🇩🇪,9,16,22,Red Bull 🇦🇹,2013-07-07,R,,2013,Sebastian Vettel 🇩🇪
2013 Hungarian Grand Prix 🇭🇺,10,14,69,Mercedes 🇩🇪,2013-07-28,12,,2013,Lewis Hamilton 🇬🇧
2013 Indian Grand Prix 🇮🇳,16,14,59,Red Bull 🇦🇹,2013-10-27,13,,2013,Sebastian Vettel 🇩🇪
2013 Italian Grand Prix 🇮🇹,12,10,14,Red Bull 🇦🇹,2013-09-08,R,,2013,Sebastian Vettel 🇩🇪
2013 Japanese Grand Prix 🇯🇵,15,17,52,Red Bull 🇦🇹,2013-10-13,12,,2013,Sebastian Vettel 🇩🇪
2013 Korean Grand Prix 🇰🇷,14,16,53,Red Bull 🇦🇹,2013-10-06,18,,2013,Sebastian Vettel 🇩🇪
2013 Malaysian Grand Prix 🇲🇾,2,17,56,Red Bull 🇦🇹,2013-03-24,10,+1:27.124,2013,Sebastian Vettel 🇩🇪
2013 Monaco Grand Prix 🇲🇨,6,10,78,Mercedes 🇩🇪,2013-05-26,8,+27.223,2013,Nico Rosberg 🇩🇪
2013 Singapore Grand Prix 🇸🇬,13,12,61,Red Bull 🇦🇹,2013-09-22,14,+1:53.512,2013,Sebastian Vettel 🇩🇪
2013 Spanish Grand Prix 🇪🇸,5,12,52,Ferrari 🇮🇹,2013-05-12,20,,2013,Fernando Alonso 🇪🇸
2013 United States Grand Prix 🇺🇸,18,14,56,Red Bull 🇦🇹,2013-11-17,12,+1:24.574,2013,Sebastian Vettel 🇩🇪
2014 Abu Dhabi Grand Prix 🇦🇪,19,10,55,Mercedes 🇩🇪,2014-11-23,12,+1:31.947,2014,Lewis Hamilton 🇬🇧
2014 Australian Grand Prix 🇦🇺,1,6,57,Mercedes 🇩🇪,2014-03-16,8,+1:00.441,2014,Nico Rosberg 🇩🇪
2014 Austrian Grand Prix 🇦🇹,8,14,59,Mercedes 🇩🇪,2014-06-22,R,,2014,Nico Rosberg 🇩🇪
2014 Bahrain Grand Prix 🇧🇭,3,14,18,Mercedes 🇩🇪,2014-04-06,R,,2014,Lewis Hamilton 🇬🇧
2014 Belgian Grand Prix 🇧🇪,12,12,44,Red Bull 🇦🇹,2014-08-24,11,+1:11.920,2014,Daniel Ricciardo 🇦🇺
2014 Brazilian Grand Prix 🇧🇷,18,15,70,Mercedes 🇩🇪,2014-11-09,13,,2014,Nico Rosberg 🇩🇪
2014 British Grand Prix 🇬🇧,9,10,51,Mercedes 🇩🇪,2014-07-06,10,,2014,Lewis Hamilton 🇬🇧
2014 Canadian Grand Prix 🇨🇦,7,8,70,Red Bull 🇦🇹,2014-06-08,8,+28.026,2014,Daniel Ricciardo 🇦🇺
2014 Chinese Grand Prix 🇨🇳,4,9,53,Mercedes 🇩🇪,2014-04-20,12,,2014,Lewis Hamilton 🇬🇧
2014 German Grand Prix 🇩🇪,10,13,66,Mercedes 🇩🇪,2014-07-20,13,,2014,Nico Rosberg 🇩🇪
2014 Hungarian Grand Prix 🇭🇺,11,8,70,Red Bull 🇦🇹,2014-07-27,9,+58.527,2014,Daniel Ricciardo 🇦🇺
2014 Italian Grand Prix 🇮🇹,13,12,53,Mercedes 🇩🇪,2014-09-07,13,+1:13.093,2014,Lewis Hamilton 🇬🇧
