name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2007 Belgian Grand Prix 🇧🇪,12,16,2007-09-16,R,2007,Vitantonio Liuzzi 🇮🇹,Toro Rosso 🇮🇹,14,13,8,,0.0
2007 Brazilian Grand Prix 🇧🇷,13,13,2007-10-21,R,2007,Vitantonio Liuzzi 🇮🇹,Toro Rosso 🇮🇹,17,14,34,,0.0
2007 Chinese Grand Prix 🇨🇳,6,17,2007-10-07,4,2007,Vitantonio Liuzzi 🇮🇹,Toro Rosso 🇮🇹,16,11,56,+53.509,5.0
2007 Hungarian Grand Prix 🇭🇺,R,20,2007-08-05,16,2007,Vitantonio Liuzzi 🇮🇹,Toro Rosso 🇮🇹,11,16,69,,0.0
2007 Italian Grand Prix 🇮🇹,17,16,2007-09-09,18,2007,Vitantonio Liuzzi 🇮🇹,Toro Rosso 🇮🇹,13,19,52,,0.0
2007 Japanese Grand Prix 🇯🇵,9,8,2007-09-30,R,2007,Vitantonio Liuzzi 🇮🇹,Toro Rosso 🇮🇹,15,14,46,,0.0
2007 Turkish Grand Prix 🇹🇷,15,18,2007-08-26,19,2007,Vitantonio Liuzzi 🇮🇹,Toro Rosso 🇮🇹,12,15,57,,0.0
2007 United States Grand Prix 🇺🇸,R,7,2007-06-17,8,2007,Nick Heidfeld 🇩🇪,BMW Sauber 🇩🇪,7,5,73,+67.7,1.0
2008 Australian Grand Prix 🇦🇺,7,9,2008-03-16,R,2008,Sébastien Bourdais 🇫🇷,Toro Rosso 🇮🇹,1,17,0,,0.0
2008 Bahrain Grand Prix 🇧🇭,15,19,2008-04-06,R,2008,Sébastien Bourdais 🇫🇷,Toro Rosso 🇮🇹,3,15,0,,0.0
2008 Belgian Grand Prix 🇧🇪,7,10,2008-09-07,5,2008,Sébastien Bourdais 🇫🇷,Toro Rosso 🇮🇹,13,9,44,+14.576,4.0
2008 Brazilian Grand Prix 🇧🇷,14,7,2008-11-02,4,2008,Sébastien Bourdais 🇫🇷,Toro Rosso 🇮🇹,18,9,71,+38.011,5.0
