name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1950 Belgian Grand Prix 🇧🇪,5,4,33,Alfa Romeo 🇮🇹,1950-06-18,6,,1950,Juan Fangio 🇦🇷
1950 Monaco Grand Prix 🇲🇨,2,6,63,Alfa Romeo 🇮🇹,1950-05-21,R,,1950,Juan Fangio 🇦🇷
1950 Swiss Grand Prix 🇨🇭,4,4,9,Alfa Romeo 🇮🇹,1950-06-04,R,,1950,Nino Farina 🇮🇹
1951 Belgian Grand Prix 🇧🇪,3,3,36,Alfa Romeo 🇮🇹,1951-06-17,3,+4:21.9,1951,Nino Farina 🇮🇹
1951 British Grand Prix 🇬🇧,5,5,88,Ferrari 🇮🇹,1951-07-14,3,,1951,José Froilán González 🇦🇷
1951 French Grand Prix 🇫🇷,4,4,74,Alfa Romeo 🇮🇹,1951-07-01,3,,1951,Juan Fangio 🇦🇷
1951 German Grand Prix 🇩🇪,6,5,20,Ferrari 🇮🇹,1951-07-29,4,+5:50.2,1951,Alberto Ascari 🇮🇹
1951 Italian Grand Prix 🇮🇹,7,5,79,Ferrari 🇮🇹,1951-09-16,4,,1951,Alberto Ascari 🇮🇹
1951 Spanish Grand Prix 🇪🇸,8,5,48,Alfa Romeo 🇮🇹,1951-10-28,R,,1951,Juan Fangio 🇦🇷
1951 Swiss Grand Prix 🇨🇭,1,3,12,Alfa Romeo 🇮🇹,1951-05-27,R,,1951,Juan Fangio 🇦🇷
1952 Dutch Grand Prix 🇳🇱,7,4,90,Ferrari 🇮🇹,1952-08-17,3,+1:34.4,1952,Alberto Ascari 🇮🇹
1952 Italian Grand Prix 🇮🇹,8,2,80,Ferrari 🇮🇹,1952-09-07,3,+2:04.2,1952,Alberto Ascari 🇮🇹
1953 Argentine Grand Prix 🇦🇷,1,3,96,Ferrari 🇮🇹,1953-01-18,2,,1953,Alberto Ascari 🇮🇹
1953 Belgian Grand Prix 🇧🇪,4,5,36,Ferrari 🇮🇹,1953-06-21,2,+2:48.2,1953,Alberto Ascari 🇮🇹
1953 British Grand Prix 🇬🇧,6,6,65,Ferrari 🇮🇹,1953-07-18,R,,1953,Alberto Ascari 🇮🇹
1953 Dutch Grand Prix 🇳🇱,3,4,67,Ferrari 🇮🇹,1953-06-07,R,,1953,Alberto Ascari 🇮🇹
1953 French Grand Prix 🇫🇷,5,3,60,Ferrari 🇮🇹,1953-07-05,6,+1:15.9,1953,Mike Hawthorn 🇬🇧
1953 German Grand Prix 🇩🇪,7,6,15,Ferrari 🇮🇹,1953-08-02,R,,1953,Nino Farina 🇮🇹
1953 German Grand Prix 🇩🇪,7,1,17,Ferrari 🇮🇹,1953-08-02,8,,1953,Nino Farina 🇮🇹
1953 Italian Grand Prix 🇮🇹,9,5,79,Maserati 🇮🇹,1953-09-13,3,,1953,Juan Fangio 🇦🇷
1953 Swiss Grand Prix 🇨🇭,8,6,62,Ferrari 🇮🇹,1953-08-23,6,,1953,Alberto Ascari 🇮🇹
1954 British Grand Prix 🇬🇧,5,27,40,Ferrari 🇮🇹,1954-07-17,R,,1954,José Froilán González 🇦🇷
1954 French Grand Prix 🇫🇷,4,14,58,Mercedes 🇩🇪,1954-07-04,5,,1954,Juan Fangio 🇦🇷
1954 German Grand Prix 🇩🇪,6,10,0,Mercedes 🇩🇪,1954-08-01,W,,1954,Juan Fangio 🇦🇷
1954 Italian Grand Prix 🇮🇹,8,6,42,Mercedes 🇩🇪,1954-09-05,R,,1954,Juan Fangio 🇦🇷
1954 Spanish Grand Prix 🇪🇸,9,5,2,Ferrari 🇮🇹,1954-10-24,R,,1954,Mike Hawthorn 🇬🇧
1955 Argentine Grand Prix 🇦🇷,1,12,35,Mercedes 🇩🇪,1955-01-16,R,,1955,Juan Fangio 🇦🇷
1955 Argentine Grand Prix 🇦🇷,1,11,2,Mercedes 🇩🇪,1955-01-16,R,,1955,Juan Fangio 🇦🇷
1955 Italian Grand Prix 🇮🇹,7,8,0,Mercedes 🇩🇪,1955-09-11,W,,1955,Juan Fangio 🇦🇷
1955 Monaco Grand Prix 🇲🇨,2,7,99,Ferrari 🇮🇹,1955-05-22,5,,1955,Maurice Trintignant 🇫🇷
1956 Belgian Grand Prix 🇧🇪,4,11,34,Ferrari 🇮🇹,1956-06-03,5,,1956,Peter Collins 🇬🇧
1956 British Grand Prix 🇬🇧,6,19,96,Ferrari 🇮🇹,1956-07-14,6,,1956,Juan Fangio 🇦🇷
1956 French Grand Prix 🇫🇷,5,10,23,Ferrari 🇮🇹,1956-07-01,R,,1956,Peter Collins 🇬🇧
1956 German Grand Prix 🇩🇪,7,20,13,Ferrari 🇮🇹,1956-08-05,R,,1956,Juan Fangio 🇦🇷
1956 Italian Grand Prix 🇮🇹,8,8,7,Maserati 🇮🇹,1956-09-02,R,,1956,Stirling Moss 🇬🇧
