name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1976 Spanish Grand Prix 🇪🇸,F,0,1976-05-02T00:00:00.000Z,F,1976,Loris Kessel 🇨🇭,Brabham-Ford 🇬🇧,4,0,0,,0.0
1977 Austrian Grand Prix 🇦🇹,6,26,1977-08-14T00:00:00.000Z,17,1977,Jochen Mass 🇩🇪,McLaren 🇬🇧,12,9,50,,0.0
1977 Austrian Grand Prix 🇦🇹,R,26,1977-08-14T00:00:00.000Z,17,1977,James Hunt 🇬🇧,McLaren 🇬🇧,12,2,50,,0.0
1977 Austrian Grand Prix 🇦🇹,10,26,1977-08-14T00:00:00.000Z,17,1977,Brett Lunger 🇺🇸,McLaren 🇬🇧,12,17,50,,0.0
1977 Belgian Grand Prix 🇧🇪,R,0,1977-06-05T00:00:00.000Z,F,1977,Jochen Mass 🇩🇪,McLaren 🇬🇧,7,6,0,,0.0
1977 Belgian Grand Prix 🇧🇪,7,0,1977-06-05T00:00:00.000Z,F,1977,James Hunt 🇬🇧,McLaren 🇬🇧,7,9,0,,0.0
1977 British Grand Prix 🇬🇧,13,0,1977-07-16T00:00:00.000Z,F,1977,Brett Lunger 🇺🇸,McLaren 🇬🇧,10,19,0,,0.0
1977 British Grand Prix 🇬🇧,11,0,1977-07-16T00:00:00.000Z,F,1977,Gilles Villeneuve 🇨🇦,McLaren 🇬🇧,10,9,0,,0.0
1977 British Grand Prix 🇬🇧,4,0,1977-07-16T00:00:00.000Z,F,1977,Jochen Mass 🇩🇪,McLaren 🇬🇧,10,11,0,,0.0
1977 British Grand Prix 🇬🇧,1,0,1977-07-16T00:00:00.000Z,F,1977,James Hunt 🇬🇧,McLaren 🇬🇧,10,1,0,,0.0
1977 German Grand Prix 🇩🇪,R,0,1977-07-31T00:00:00.000Z,F,1977,Brett Lunger 🇺🇸,McLaren 🇬🇧,11,21,0,,0.0
1977 German Grand Prix 🇩🇪,R,0,1977-07-31T00:00:00.000Z,F,1977,Jochen Mass 🇩🇪,McLaren 🇬🇧,11,13,0,,0.0
1977 German Grand Prix 🇩🇪,R,0,1977-07-31T00:00:00.000Z,F,1977,James Hunt 🇬🇧,McLaren 🇬🇧,11,4,0,,0.0
