name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1954 Spanish Grand Prix 🇪🇸,R,21,1954-10-24T00:00:00.000Z,R,1954,Stirling Moss 🇬🇧,Maserati 🇮🇹,9,6,57,,0.0
1954 Spanish Grand Prix 🇪🇸,R,21,1954-10-24T00:00:00.000Z,R,1954,Harry Schell 🇺🇸,Maserati 🇮🇹,9,4,57,,0.0
1954 Spanish Grand Prix 🇪🇸,R,21,1954-10-24T00:00:00.000Z,R,1954,Toulo de Graffenried 🇨🇭,Maserati 🇮🇹,9,21,57,,0.0
1954 Spanish Grand Prix 🇪🇸,R,21,1954-10-24T00:00:00.000Z,R,1954,Sergio Mantovani 🇮🇹,Maserati 🇮🇹,9,10,57,,0.0
1954 Spanish Grand Prix 🇪🇸,9,21,1954-10-24T00:00:00.000Z,R,1954,Prince Bira 🇹🇭,Maserati 🇮🇹,9,15,57,,0.0
1954 Spanish Grand Prix 🇪🇸,8,21,1954-10-24T00:00:00.000Z,R,1954,Ken Wharton 🇬🇧,Maserati 🇮🇹,9,14,57,,0.0
1954 Spanish Grand Prix 🇪🇸,7,21,1954-10-24T00:00:00.000Z,R,1954,Louis Rosier 🇫🇷,Maserati 🇮🇹,9,20,57,,0.0
1954 Spanish Grand Prix 🇪🇸,6,21,1954-10-24T00:00:00.000Z,R,1954,Paco Godia 🇪🇸,Maserati 🇮🇹,9,13,57,,0.0
1954 Spanish Grand Prix 🇪🇸,4,21,1954-10-24T00:00:00.000Z,R,1954,Roberto Mieres 🇦🇷,Maserati 🇮🇹,9,11,57,,0.0
1954 Spanish Grand Prix 🇪🇸,2,21,1954-10-24T00:00:00.000Z,R,1954,Luigi Musso 🇮🇹,Maserati 🇮🇹,9,7,57,,0.0
1956 German Grand Prix 🇩🇪,R,19,1956-08-05T00:00:00.000Z,N,1956,Roy Salvadori 🇬🇧,Maserati 🇮🇹,7,9,16,,0.0
1956 German Grand Prix 🇩🇪,W,19,1956-08-05T00:00:00.000Z,N,1956,Luigi Piotti 🇮🇹,Maserati 🇮🇹,7,0,16,,0.0
1956 German Grand Prix 🇩🇪,2,19,1956-08-05T00:00:00.000Z,N,1956,Stirling Moss 🇬🇧,Maserati 🇮🇹,7,4,16,,0.0
1956 German Grand Prix 🇩🇪,3,19,1956-08-05T00:00:00.000Z,N,1956,Jean Behra 🇫🇷,Maserati 🇮🇹,7,8,16,,0.0
1956 German Grand Prix 🇩🇪,4,19,1956-08-05T00:00:00.000Z,N,1956,Paco Godia 🇪🇸,Maserati 🇮🇹,7,16,16,,0.0
1956 German Grand Prix 🇩🇪,5,19,1956-08-05T00:00:00.000Z,N,1956,Louis Rosier 🇫🇷,Maserati 🇮🇹,7,14,16,,0.0
1956 German Grand Prix 🇩🇪,D,19,1956-08-05T00:00:00.000Z,N,1956,Bruce Halford 🇬🇧,Maserati 🇮🇹,7,11,16,,0.0
1956 German Grand Prix 🇩🇪,R,19,1956-08-05T00:00:00.000Z,N,1956,Harry Schell 🇺🇸,Maserati 🇮🇹,7,12,16,,0.0
1956 German Grand Prix 🇩🇪,R,19,1956-08-05T00:00:00.000Z,N,1956,Luigi Villoresi 🇮🇹,Maserati 🇮🇹,7,20,16,,0.0
1956 German Grand Prix 🇩🇪,R,19,1956-08-05T00:00:00.000Z,N,1956,Umberto Maglioli 🇮🇹,Maserati 🇮🇹,7,7,16,,0.0
1956 German Grand Prix 🇩🇪,R,19,1956-08-05T00:00:00.000Z,N,1956,Horace Gould 🇬🇧,Maserati 🇮🇹,7,13,16,,0.0
1956 German Grand Prix 🇩🇪,W,19,1956-08-05T00:00:00.000Z,N,1956,Cesare Perdisa 🇮🇹,Maserati 🇮🇹,7,0,16,,0.0
1957 Italian Grand Prix 🇮🇹,R,16,1957-09-08T00:00:00.000Z,11,1957,Luigi Piotti 🇮🇹,Maserati 🇮🇹,8,17,72,,0.0
1957 Italian Grand Prix 🇮🇹,5,16,1957-09-08T00:00:00.000Z,11,1957,Harry Schell 🇺🇸,Maserati 🇮🇹,8,12,72,,0.0
1957 Italian Grand Prix 🇮🇹,R,16,1957-09-08T00:00:00.000Z,11,1957,Jo Bonnier 🇸🇪,Maserati 🇮🇹,8,13,72,,0.0
1957 Italian Grand Prix 🇮🇹,R,16,1957-09-08T00:00:00.000Z,11,1957,Harry Schell 🇺🇸,Maserati 🇮🇹,8,6,72,,0.0
1957 Italian Grand Prix 🇮🇹,R,16,1957-09-08T00:00:00.000Z,11,1957,Bruce Halford 🇬🇧,Maserati 🇮🇹,8,14,72,,0.0
1957 Italian Grand Prix 🇮🇹,R,16,1957-09-08T00:00:00.000Z,11,1957,Jean Behra 🇫🇷,Maserati 🇮🇹,8,5,72,,0.0
1957 Italian Grand Prix 🇮🇹,11,16,1957-09-08T00:00:00.000Z,11,1957,André Simon 🇫🇷,Maserati 🇮🇹,8,16,72,,0.0
1957 Italian Grand Prix 🇮🇹,10,16,1957-09-08T00:00:00.000Z,11,1957,Horace Gould 🇬🇧,Maserati 🇮🇹,8,18,72,,0.0
1957 Italian Grand Prix 🇮🇹,9,16,1957-09-08T00:00:00.000Z,11,1957,Paco Godia 🇪🇸,Maserati 🇮🇹,8,15,72,,0.0
1957 Italian Grand Prix 🇮🇹,5,16,1957-09-08T00:00:00.000Z,11,1957,Giorgio Scarlatti 🇮🇹,Maserati 🇮🇹,8,12,72,,0.0
1957 Italian Grand Prix 🇮🇹,4,16,1957-09-08T00:00:00.000Z,11,1957,Masten Gregory 🇺🇸,Maserati 🇮🇹,8,11,72,,0.0
1957 Italian Grand Prix 🇮🇹,2,16,1957-09-08T00:00:00.000Z,11,1957,Juan Fangio 🇦🇷,Maserati 🇮🇹,8,4,72,,0.0
