name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1972 Argentine Grand Prix 🇦🇷,R,20,1972-01-23,D,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,1,5,8,,0.0
1972 Austrian Grand Prix 🇦🇹,1,19,1972-08-13,R,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,9,1,6,,0.0
1972 Belgian Grand Prix 🇧🇪,1,12,1972-06-04,14,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,5,1,79,,0.0
1972 British Grand Prix 🇬🇧,1,15,1972-07-15,R,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,7,2,59,,0.0
1972 British Grand Prix 🇬🇧,R,15,1972-07-15,R,1972,Dave Charlton 🇿🇦,Team Lotus 🇬🇧,7,24,59,,0.0
1972 French Grand Prix 🇫🇷,2,22,1972-07-02,18,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,6,8,34,,0.0
1972 French Grand Prix 🇫🇷,F,22,1972-07-02,18,1972,Dave Charlton 🇿🇦,Team Lotus 🇬🇧,6,0,34,,0.0
1972 German Grand Prix 🇩🇪,R,23,1972-07-30,R,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,8,3,6,,0.0
1972 German Grand Prix 🇩🇪,R,23,1972-07-30,R,1972,Dave Charlton 🇿🇦,Team Lotus 🇬🇧,8,26,6,,0.0
1972 Monaco Grand Prix 🇲🇨,3,14,1972-05-14,14,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,4,1,75,,0.0
1972 South African Grand Prix 🇿🇦,2,19,1972-03-04,10,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,2,3,78,,0.0
1972 South African Grand Prix 🇿🇦,R,19,1972-03-04,10,1972,Dave Charlton 🇿🇦,Team Lotus 🇬🇧,2,17,78,,0.0
1972 Spanish Grand Prix 🇪🇸,1,24,1972-05-01,9,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,3,3,87,,0.0
1972 United States Grand Prix 🇺🇸,10,30,1972-10-08,R,1972,Reine Wisell 🇸🇪,Team Lotus 🇬🇧,12,16,44,,0.0
1972 United States Grand Prix 🇺🇸,R,30,1972-10-08,R,1972,Emerson Fittipaldi 🇧🇷,Team Lotus 🇬🇧,12,9,44,,0.0
