name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1951 Indianapolis 500 🇺🇸,2,2,1951-05-30,1,1951,Mike Nazaruk 🇺🇸,Kurtis Kraft 🇺🇸,2,7,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,3,2,1951-05-30,1,1951,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,2,3,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,7,2,1951-05-30,1,1951,Carl Forberg 🇺🇸,Kurtis Kraft 🇺🇸,2,24,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Duke Nalon 🇺🇸,Kurtis Kraft 🇺🇸,2,1,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Gene Force 🇺🇸,Kurtis Kraft 🇺🇸,2,22,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,2,12,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Bill Schindler 🇺🇸,Kurtis Kraft 🇺🇸,2,16,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,2,11,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Carl Scarborough 🇺🇸,Kurtis Kraft 🇺🇸,2,15,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,2,8,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Cecil Green 🇺🇸,Kurtis Kraft 🇺🇸,2,10,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Troy Ruttman 🇺🇸,Kurtis Kraft 🇺🇸,2,6,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Chet Miller 🇺🇸,Kurtis Kraft 🇺🇸,2,28,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Walt Brown 🇺🇸,Kurtis Kraft 🇺🇸,2,13,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,R,2,1951-05-30,1,1951,Cliff Griffith 🇺🇸,Kurtis Kraft 🇺🇸,2,18,200,3:57:38.05,9.0
1951 Indianapolis 500 🇺🇸,3,2,1951-05-30,1,1951,Manny Ayulo 🇺🇸,Kurtis Kraft 🇺🇸,2,3,200,3:57:38.05,9.0
