name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1981 Austrian Grand Prix 🇦🇹,F,0,1981-08-16T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,11,0,0,,0.0
1981 Belgian Grand Prix 🇧🇪,F,0,1981-05-17T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,5,0,0,,0.0
1981 British Grand Prix 🇬🇧,F,0,1981-07-18T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,9,0,0,,0.0
1981 Caesars Palace Grand Prix 🇺🇸,F,22,1981-10-17T00:00:00.000Z,R,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,15,0,43,,0.0
1981 Canadian Grand Prix 🇨🇦,F,0,1981-09-27T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,14,0,0,,0.0
1981 Dutch Grand Prix 🇳🇱,F,0,1981-08-30T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,12,0,0,,0.0
1981 French Grand Prix 🇫🇷,F,0,1981-07-05T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,8,0,0,,0.0
1981 German Grand Prix 🇩🇪,F,0,1981-08-02T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,10,0,0,,0.0
1981 Italian Grand Prix 🇮🇹,10,0,1981-09-13T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,13,23,0,,0.0
1981 Monaco Grand Prix 🇲🇨,F,0,1981-05-31T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,6,0,0,,0.0
1981 San Marino Grand Prix 🇮🇹,F,0,1981-05-03T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,4,0,0,,0.0
1981 Spanish Grand Prix 🇪🇸,F,0,1981-06-21T00:00:00.000Z,F,1981,Brian Henton 🇬🇧,Toleman 🇬🇧,7,0,0,,0.0
1982 Austrian Grand Prix 🇦🇹,R,15,1982-08-15T00:00:00.000Z,R,1982,Teo Fabi 🇮🇹,Toleman 🇬🇧,13,17,7,,0.0
