name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1955 Indianapolis 500 🇺🇸,5,25,1955-05-30,12,1955,Walt Faulkner 🇺🇸,Kurtis Kraft 🇺🇸,3,7,196,,0.0
1955 Indianapolis 500 🇺🇸,6,25,1955-05-30,12,1955,Andy Linden 🇺🇸,Kurtis Kraft 🇺🇸,3,8,196,,0.0
1955 Indianapolis 500 🇺🇸,2,25,1955-05-30,12,1955,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,3,2,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Fred Agabashian 🇺🇸,Kurtis Kraft 🇺🇸,3,4,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Ed Elisian 🇺🇸,Kurtis Kraft 🇺🇸,3,29,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Johnny Boyd 🇺🇸,Kurtis Kraft 🇺🇸,3,26,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Al Keller 🇺🇸,Kurtis Kraft 🇺🇸,3,22,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Jack McGrath 🇺🇸,Kurtis Kraft 🇺🇸,3,3,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Bill Vukovich 🇺🇸,Kurtis Kraft 🇺🇸,3,5,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Ray Crawford 🇺🇸,Kurtis Kraft 🇺🇸,3,23,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Johnnie Parsons 🇺🇸,Kurtis Kraft 🇺🇸,3,27,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Cal Niday 🇺🇸,Kurtis Kraft 🇺🇸,3,9,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Art Cross 🇺🇸,Kurtis Kraft 🇺🇸,3,24,196,,0.0
1955 Indianapolis 500 🇺🇸,10,25,1955-05-30,12,1955,Pat Flaherty 🇺🇸,Kurtis Kraft 🇺🇸,3,12,196,,0.0
1955 Indianapolis 500 🇺🇸,1,25,1955-05-30,12,1955,Bob Sweikert 🇺🇸,Kurtis Kraft 🇺🇸,3,14,196,,0.0
1955 Indianapolis 500 🇺🇸,2,25,1955-05-30,12,1955,Tony Bettenhausen 🇺🇸,Kurtis Kraft 🇺🇸,3,2,196,,0.0
1955 Indianapolis 500 🇺🇸,3,25,1955-05-30,12,1955,Jimmy Davies 🇺🇸,Kurtis Kraft 🇺🇸,3,10,196,,0.0
1955 Indianapolis 500 🇺🇸,5,25,1955-05-30,12,1955,Bill Homeier 🇺🇸,Kurtis Kraft 🇺🇸,3,7,196,,0.0
1955 Indianapolis 500 🇺🇸,R,25,1955-05-30,12,1955,Sam Hanks 🇺🇸,Kurtis Kraft 🇺🇸,3,6,196,,0.0
1955 Indianapolis 500 🇺🇸,7,25,1955-05-30,12,1955,Al Herman 🇺🇸,Kurtis Kraft 🇺🇸,3,16,196,,0.0
1955 Indianapolis 500 🇺🇸,8,25,1955-05-30,12,1955,Pat O'Connor 🇺🇸,Kurtis Kraft 🇺🇸,3,19,196,,0.0
1955 Indianapolis 500 🇺🇸,9,25,1955-05-30,12,1955,Jimmy Daywalt 🇺🇸,Kurtis Kraft 🇺🇸,3,17,196,,0.0
1957 Indianapolis 500 🇺🇸,R,25,1957-05-30,14,1957,Eddie Sachs 🇺🇸,Kuzma 🇺🇸,3,2,196,,0.0
1957 Indianapolis 500 🇺🇸,3,25,1957-05-30,14,1957,Jimmy Bryan 🇺🇸,Kuzma 🇺🇸,3,15,196,,0.0
1957 Indianapolis 500 🇺🇸,12,25,1957-05-30,14,1957,Johnny Thomson 🇺🇸,Kuzma 🇺🇸,3,11,196,,0.0
1959 Indianapolis 500 🇺🇸,8,29,1959-05-30,R,1959,Eddie Johnson 🇺🇸,Kurtis Kraft 🇺🇸,2,8,45,,0.0
1959 Indianapolis 500 🇺🇸,R,29,1959-05-30,R,1959,Red Amick 🇺🇸,Kurtis Kraft 🇺🇸,2,26,45,,0.0
1959 Indianapolis 500 🇺🇸,R,29,1959-05-30,R,1959,Jud Larson 🇺🇸,Kurtis Kraft 🇺🇸,2,19,45,,0.0
1959 Indianapolis 500 🇺🇸,R,29,1959-05-30,R,1959,Bobby Grim 🇺🇸,Kurtis Kraft 🇺🇸,2,5,45,,0.0
1959 Indianapolis 500 🇺🇸,R,29,1959-05-30,R,1959,Bob Christie 🇺🇸,Kurtis Kraft 🇺🇸,2,24,45,,0.0
1959 Indianapolis 500 🇺🇸,R,29,1959-05-30,R,1959,Don Freeland 🇺🇸,Kurtis Kraft 🇺🇸,2,25,45,,0.0
1959 Indianapolis 500 🇺🇸,16,29,1959-05-30,R,1959,Jim McWithey 🇺🇸,Kurtis Kraft 🇺🇸,2,33,45,,0.0
1959 Indianapolis 500 🇺🇸,15,29,1959-05-30,R,1959,Chuck Arnold 🇺🇸,Kurtis Kraft 🇺🇸,2,21,45,,0.0
1959 Indianapolis 500 🇺🇸,14,29,1959-05-30,R,1959,Jimmy Daywalt 🇺🇸,Kurtis Kraft 🇺🇸,2,13,45,,0.0
1959 Indianapolis 500 🇺🇸,9,29,1959-05-30,R,1959,Paul Russo 🇺🇸,Kurtis Kraft 🇺🇸,2,27,45,,0.0
1959 Indianapolis 500 🇺🇸,7,29,1959-05-30,R,1959,Duane Carter 🇺🇸,Kurtis Kraft 🇺🇸,2,12,45,,0.0
