name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1952 Belgian Grand Prix 🇧🇪,3,7,10,Ferrari 🇮🇹,1952-06-22,R,,1952,Alberto Ascari 🇮🇹
1952 Dutch Grand Prix 🇳🇱,7,7,76,Ferrari 🇮🇹,1952-08-17,R,,1952,Alberto Ascari 🇮🇹
1952 Italian Grand Prix 🇮🇹,8,15,76,Ferrari 🇮🇹,1952-09-07,9,,1952,Alberto Ascari 🇮🇹
1952 Swiss Grand Prix 🇨🇭,1,13,60,Ferrari 🇮🇹,1952-05-18,4,,1952,Piero Taruffi 🇮🇹
1953 British Grand Prix 🇬🇧,6,11,80,Ferrari 🇮🇹,1953-07-18,8,,1953,Alberto Ascari 🇮🇹
1953 Dutch Grand Prix 🇳🇱,3,18,19,Ferrari 🇮🇹,1953-06-07,R,,1953,Alberto Ascari 🇮🇹
1953 French Grand Prix 🇫🇷,5,14,17,Ferrari 🇮🇹,1953-07-05,R,,1953,Mike Hawthorn 🇬🇧
1953 Italian Grand Prix 🇮🇹,9,19,57,Maserati 🇮🇹,1953-09-13,N,,1953,Juan Fangio 🇦🇷
1953 Swiss Grand Prix 🇨🇭,8,9,62,Ferrari 🇮🇹,1953-08-23,7,,1953,Alberto Ascari 🇮🇹
1954 British Grand Prix 🇬🇧,5,9,86,Ferrari 🇮🇹,1954-07-17,8,,1954,José Froilán González 🇦🇷
1954 French Grand Prix 🇫🇷,4,16,19,Mercedes 🇩🇪,1954-07-04,R,,1954,Juan Fangio 🇦🇷
1954 German Grand Prix 🇩🇪,6,22,0,Mercedes 🇩🇪,1954-08-01,W,,1954,Juan Fangio 🇦🇷
1954 Spanish Grand Prix 🇪🇸,9,14,74,Ferrari 🇮🇹,1954-10-24,8,,1954,Mike Hawthorn 🇬🇧
1954 Swiss Grand Prix 🇨🇭,7,8,64,Mercedes 🇩🇪,1954-08-22,6,,1954,Juan Fangio 🇦🇷
1955 British Grand Prix 🇬🇧,6,15,72,Mercedes 🇩🇪,1955-07-16,9,,1955,Stirling Moss 🇬🇧
1955 Italian Grand Prix 🇮🇹,7,17,0,Mercedes 🇩🇪,1955-09-11,R,,1955,Juan Fangio 🇦🇷
