name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1997 British Grand Prix 🇬🇧,9,8,59,Williams 🇬🇧,1997-07-13,3,+11.296,1997,Jacques Villeneuve 🇨🇦
1997 Canadian Grand Prix 🇨🇦,7,11,35,Ferrari 🇮🇹,1997-06-15,R,,1997,Michael Schumacher 🇩🇪
1997 French Grand Prix 🇫🇷,8,7,60,Ferrari 🇮🇹,1997-06-29,R,,1997,Michael Schumacher 🇩🇪
1998 Argentine Grand Prix 🇦🇷,3,8,72,Ferrari 🇮🇹,1998-04-12,4,+1:08.134,1998,Michael Schumacher 🇩🇪
1998 Australian Grand Prix 🇦🇺,1,11,57,McLaren 🇬🇧,1998-03-08,7,,1998,Mika Häkkinen 🇫🇮
1998 Austrian Grand Prix 🇦🇹,10,17,70,McLaren 🇬🇧,1998-07-26,9,,1998,Mika Häkkinen 🇫🇮
1998 Belgian Grand Prix 🇧🇪,13,11,0,Jordan 🇮🇪,1998-08-30,R,,1998,Damon Hill 🇬🇧
1998 Brazilian Grand Prix 🇧🇷,2,5,72,McLaren 🇬🇧,1998-03-29,4,+1:07.453,1998,Mika Häkkinen 🇫🇮
1998 British Grand Prix 🇬🇧,9,11,59,Ferrari 🇮🇹,1998-07-12,4,,1998,Michael Schumacher 🇩🇪
1998 Canadian Grand Prix 🇨🇦,7,11,69,Ferrari 🇮🇹,1998-06-07,4,+1:03.232,1998,Michael Schumacher 🇩🇪
1998 French Grand Prix 🇫🇷,8,10,70,Ferrari 🇮🇹,1998-06-28,5,,1998,Michael Schumacher 🇩🇪
1998 German Grand Prix 🇩🇪,11,7,45,McLaren 🇬🇧,1998-08-02,11,+57.994,1998,Mika Häkkinen 🇫🇮
1998 Hungarian Grand Prix 🇭🇺,12,9,69,Ferrari 🇮🇹,1998-08-16,R,,1998,Michael Schumacher 🇩🇪
1998 Italian Grand Prix 🇮🇹,14,7,24,Ferrari 🇮🇹,1998-09-13,R,,1998,Michael Schumacher 🇩🇪
1998 Japanese Grand Prix 🇯🇵,16,9,50,McLaren 🇬🇧,1998-11-01,9,,1998,Mika Häkkinen 🇫🇮
1998 Luxembourg Grand Prix 🇩🇪,15,8,67,McLaren 🇬🇧,1998-09-27,7,+1:04.789,1998,Mika Häkkinen 🇫🇮
1998 Monaco Grand Prix 🇲🇨,6,6,42,McLaren 🇬🇧,1998-05-24,R,,1998,Mika Häkkinen 🇫🇮
