name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1991 Australian Grand Prix 🇦🇺,8,16,1991-11-03,9,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,16,12,14,+1:15.567,0.0
1991 Japanese Grand Prix 🇯🇵,R,13,1991-10-20,R,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,15,11,7,,0.0
1991 Spanish Grand Prix 🇪🇸,R,20,1991-09-29,9,1991,Andrea de Cesaris 🇮🇹,Jordan 🇮🇪,14,17,64,,0.0
1992 British Grand Prix 🇬🇧,17,0,1992-07-12,F,1992,Gianni Morbidelli 🇮🇹,Minardi 🇮🇹,9,25,0,,0.0
1992 German Grand Prix 🇩🇪,12,24,1992-07-26,R,1992,Gianni Morbidelli 🇮🇹,Minardi 🇮🇹,10,26,1,,0.0
1992 Hungarian Grand Prix 🇭🇺,F,0,1992-08-16,F,1992,Gianni Morbidelli 🇮🇹,Minardi 🇮🇹,11,0,0,,0.0
1993 Belgian Grand Prix 🇧🇪,5,26,1993-08-29,W,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,12,10,0,,0.0
1993 Brazilian Grand Prix 🇧🇷,4,15,1993-03-28,6,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,2,12,70,,1.0
1993 British Grand Prix 🇬🇧,4,14,1993-07-11,R,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,9,7,41,,0.0
1993 Canadian Grand Prix 🇨🇦,10,21,1993-06-13,11,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,7,20,67,,0.0
1993 European Grand Prix 🇬🇧,4,13,1993-04-11,8,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,3,11,72,,0.0
1993 French Grand Prix 🇫🇷,R,17,1993-07-04,R,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,8,19,9,,0.0
1993 German Grand Prix 🇩🇪,10,15,1993-07-25,R,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,10,13,19,,0.0
1993 Hungarian Grand Prix 🇭🇺,R,21,1993-08-15,R,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,11,20,45,,0.0
1993 Monaco Grand Prix 🇲🇨,R,20,1993-05-23,7,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,6,14,76,,0.0
1993 San Marino Grand Prix 🇮🇹,8,20,1993-04-25,R,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,4,12,53,,0.0
1993 South African Grand Prix 🇿🇦,R,16,1993-03-14,R,1993,Johnny Herbert 🇬🇧,Team Lotus 🇬🇧,1,17,16,,0.0
