name,race_duration,round,season,laps_completed
Abu Dhabi Grand Prix,,20,2017,
Australian Grand Prix,,1,2017,
Austrian Grand Prix,,9,2017,
Azerbaijan Grand Prix,,8,2017,
Bahrain Grand Prix,,3,2017,
Belgian Grand Prix,,12,2017,
Brazilian Grand Prix,,19,2017,
British Grand Prix,,10,2017,
Canadian Grand Prix,,7,2017,
Chinese Grand Prix,,2,2017,
Hungarian Grand Prix,,11,2017,
Italian Grand Prix,,13,2017,
Japanese Grand Prix,,16,2017,
Malaysian Grand Prix,,15,2017,
Mexican Grand Prix,,18,2017,
Monaco Grand Prix,,6,2017,
Russian Grand Prix,,4,2017,
Singapore Grand Prix,,14,2017,
Spanish Grand Prix,,5,2017,
United States Grand Prix,,17,2017,
