name,race_duration,round,season,laps_completed
Abu Dhabi Grand Prix,1:38:30.175,19,2015,55
Abu Dhabi Grand Prix,1:38:04.013,21,2016,55
Abu Dhabi Grand Prix,1:39:02.619,19,2014,55
Abu Dhabi Grand Prix,1:38:06.106,17,2013,55
Abu Dhabi Grand Prix,1:45:58.667,18,2012,55
Abu Dhabi Grand Prix,1:37:11.886,18,2011,55
Abu Dhabi Grand Prix,1:39:36.837,19,2010,55
Abu Dhabi Grand Prix,1:34:03.414,17,2009,55
Argentine Grand Prix,3:01:04.6,1,1953,97
Argentine Grand Prix,1:56:18.22,1,1973,96
Argentine Grand Prix,1:41:02.01,1,1974,53
Argentine Grand Prix,1:39:26.29,1,1975,53
Argentine Grand Prix,1:40:11.19,1,1977,53
Argentine Grand Prix,1:37:04.47,1,1978,52
Argentine Grand Prix,1:36:03.21,1,1979,53
Argentine Grand Prix,1:43:24.38,1,1980,53
Argentine Grand Prix,1:34:32.74,3,1981,53
Argentine Grand Prix,1:53:14.532,2,1995,72
Argentine Grand Prix,1:54:55.322,3,1996,72
Argentine Grand Prix,1:52:01.715,3,1997,72
Argentine Grand Prix,1:57:59.1,1,1972,95
Argentine Grand Prix,1:48:36.1,3,1998,72
Argentine Grand Prix,2:17:49.5,1,1960,80
Argentine Grand Prix,2:19:33.7,1,1958,80
Argentine Grand Prix,3:00:55.9,1,1957,100
Argentine Grand Prix,3:00:03.7,1,1956,98
Argentine Grand Prix,3:00:38.6,1,1955,96
Argentine Grand Prix,3:00:55.8,1,1954,87
Australian Grand Prix,1:48:15.565,1,2016,57
Australian Grand Prix,1:24:17.336,1,2005,57
Australian Grand Prix,1:32:50.4,1,1996,58
Australian Grand Prix,1:29:30.259,1,2011,58
Australian Grand Prix,1:24:15.757,1,2004,58
Australian Grand Prix,2:00:40.473,16,1985,82
Australian Grand Prix,1:34:42.1,1,2003,58
Australian Grand Prix,1:54:20.388,16,1986,82
Australian Grand Prix,1:33:36.531,2,2010,58
Australian Grand Prix,1:35:36.792,1,2002,58
Australian Grand Prix,1:52:56.144,16,1987,82
Australian Grand Prix,1:53:14.676,16,1988,82
Australian Grand Prix,1:32:58.710,1,2014,57
Australian Grand Prix,1:34:27.870,3,2006,57
Australian Grand Prix,2:00:17.421,16,1989,70
Australian Grand Prix,1:38:26.533,1,2001,58
Australian Grand Prix,1:49:44.570,16,1990,81
Australian Grand Prix,1:34:15.784,1,2009,58
Australian Grand Prix,1:34:01.987,1,2000,58
Australian Grand Prix,1:34:09.565,1,2012,58
Australian Grand Prix,24:34.899,16,1991,14
Australian Grand Prix,1:46:54.786,16,1992,81
Australian Grand Prix,1:35:01.659,1,1999,57
Australian Grand Prix,1:43:27.476,16,1993,79
Australian Grand Prix,1:31:46.0,1,1998,58
Australian Grand Prix,1:47:51.4,16,1994,81
Australian Grand Prix,1:25:28.770,1,2007,58
Australian Grand Prix,1:31:54.067,1,2015,58
Australian Grand Prix,1:34:50.616,1,2008,58
Australian Grand Prix,1:49:15.946,17,1995,81
Australian Grand Prix,1:30:28.718,1,1997,58
Australian Grand Prix,1:30:03.225,1,2013,58
Austrian Grand Prix,1:24:32.745,11,1983,53
Austrian Grand Prix,29:17.3,9,1972,54
Austrian Grand Prix,1:21:22.531,12,1986,52
Austrian Grand Prix,1:27:35.999,14,1997,71
Austrian Grand Prix,1:27:38.107,9,2016,71
Austrian Grand Prix,1:28:48.78,12,1973,54
Austrian Grand Prix,1:30:23.91,8,1971,54
Austrian Grand Prix,1:25:02.212,13,1982,53
Austrian Grand Prix,1:28:44.72,12,1974,54
Austrian Grand Prix,1:30:44.0,10,1998,71
Austrian Grand Prix,1:42:17.3,9,1970,60
