position,driverref,points,round,country_code,championship_position,championship_points,secondary_color,main_color,driver,country_flag,country
,bonnier,0.0,8,it,65,0.0,444444,C0BEC3,Jo Bonnier 🇸🇪,🇮🇹,Italy
,behra,0.0,8,it,4,22.0,444444,C0BEC3,Jean Behra 🇫🇷,🇮🇹,Italy
,trips,0.0,8,it,77,0.0,16191A,EB212E,Wolfgang von Trips 🇩🇪,🇮🇹,Italy
,ramos,0.0,8,it,21,2.0,444444,888888,Hernando da Silva Ramos 🇧🇷,🇮🇹,Italy
,leston,0.0,8,it,71,0.0,444444,888888,Les Leston 🇬🇧,🇮🇹,Italy
,portago,0.0,8,it,15,3.0,16191A,EB212E,Alfonso de Portago 🇪🇸,🇮🇹,Italy
,moss,0.0,1,ar,10,0.0,444444,C0BEC3,Stirling Moss 🇬🇧,🇦🇷,Argentina
,collins,0.0,1,ar,11,0.0,16191A,EB212E,Peter Collins 🇬🇧,🇦🇷,Argentina
,piotti,0.0,1,ar,12,0.0,444444,C0BEC3,Luigi Piotti 🇮🇹,🇦🇷,Argentina
,menditeguy,0.0,1,ar,13,0.0,444444,C0BEC3,Carlos Menditeguy 🇦🇷,🇦🇷,Argentina
,castellotti,0.0,1,ar,14,0.0,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇦🇷,Argentina
,gonzalez,0.0,1,ar,15,0.0,444444,C0BEC3,José Froilán González 🇦🇷,🇦🇷,Argentina
,fangio,0.0,1,ar,2,5.0,16191A,EB212E,Juan Fangio 🇦🇷,🇦🇷,Argentina
,villoresi,0.0,8,it,20,2.0,444444,C0BEC3,Luigi Villoresi 🇮🇹,🇮🇹,Italy
,castellotti,0.0,8,it,6,7.5,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇮🇹,Italy
,taruffi,0.0,8,it,64,0.0,444444,336667,Piero Taruffi 🇮🇹,🇮🇹,Italy
,trintignant,0.0,8,it,54,0.0,444444,336667,Maurice Trintignant 🇫🇷,🇮🇹,Italy
,halford,0.0,8,it,61,0.0,444444,C0BEC3,Bruce Halford 🇬🇧,🇮🇹,Italy
,behra,0.0,8,it,4,22.0,444444,C0BEC3,Jean Behra 🇫🇷,🇮🇹,Italy
,schell,0.0,8,it,17,3.0,444444,336667,Harry Schell 🇺🇸,🇮🇹,Italy
,maglioli,0.0,8,it,57,0.0,444444,C0BEC3,Umberto Maglioli 🇮🇹,🇮🇹,Italy
,musso,0.0,8,it,11,4.0,16191A,EB212E,Luigi Musso 🇮🇹,🇮🇹,Italy
,piotti,0.0,7,de,49,0.0,444444,C0BEC3,Luigi Piotti 🇮🇹,🇩🇪,Germany
,manzon,0.0,2,mc,18,0.0,444444,888888,Robert Manzon 🇫🇷,🇲🇨,Monaco
,rosier,0.0,2,mc,21,0.0,444444,C0BEC3,Louis Rosier 🇫🇷,🇲🇨,Monaco
,castellotti,0.0,2,mc,9,1.5,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇲🇨,Monaco
,trintignant,0.0,2,mc,23,0.0,444444,336667,Maurice Trintignant 🇫🇷,🇲🇨,Monaco
,schell,0.0,2,mc,24,0.0,444444,336667,Harry Schell 🇺🇸,🇲🇨,Monaco
,musso,0.0,2,mc,4,4.0,16191A,EB212E,Luigi Musso 🇮🇹,🇲🇨,Monaco
,scarlatti,0.0,2,mc,25,0.0,16191A,EB212E,Giorgio Scarlatti 🇮🇹,🇲🇨,Monaco
,hawthorn,0.0,2,mc,5,4.0,444444,144D44,Mike Hawthorn 🇬🇧,🇲🇨,Monaco
,brooks,0.0,2,mc,26,0.0,444444,144D44,Tony Brooks 🇬🇧,🇲🇨,Monaco
,chiron,0.0,2,mc,27,0.0,444444,C0BEC3,Louis Chiron 🇲🇨,🇲🇨,Monaco
,andre_pilette,0.0,7,de,27,0.0,444444,888888,André Pilette 🇧🇪,🇩🇪,Germany
,perdisa,0.0,7,de,13,3.0,444444,C0BEC3,Cesare Perdisa 🇮🇹,🇩🇪,Germany
,scarlatti,0.0,7,de,56,0.0,16191A,EB212E,Giorgio Scarlatti 🇮🇹,🇩🇪,Germany
,manzon,0.0,7,de,34,0.0,444444,888888,Robert Manzon 🇫🇷,🇩🇪,Germany
,salvadori,0.0,7,de,58,0.0,444444,C0BEC3,Roy Salvadori 🇬🇧,🇩🇪,Germany
,gould,0.0,7,de,21,2.0,444444,C0BEC3,Horace Gould 🇬🇧,🇩🇪,Germany
,maglioli,0.0,7,de,57,0.0,444444,C0BEC3,Umberto Maglioli 🇮🇹,🇩🇪,Germany
,castellotti,0.0,7,de,6,7.5,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇩🇪,Germany
,collins,0.0,7,de,2,22.0,16191A,EB212E,Peter Collins 🇬🇧,🇩🇪,Germany
,musso,0.0,7,de,9,4.0,16191A,EB212E,Luigi Musso 🇮🇹,🇩🇪,Germany
,villoresi,0.0,7,de,19,2.0,444444,C0BEC3,Luigi Villoresi 🇮🇹,🇩🇪,Germany
,schell,0.0,7,de,15,3.0,444444,C0BEC3,Harry Schell 🇺🇸,🇩🇪,Germany
,portago,0.0,7,de,12,3.0,16191A,EB212E,Alfonso de Portago 🇪🇸,🇩🇪,Germany
,milhoux,0.0,7,de,48,0.0,444444,888888,André Milhoux 🇧🇪,🇩🇪,Germany
,volonterio,0.0,7,de,47,0.0,444444,C0BEC3,Ottorino Volonterio 🇨🇭,🇩🇪,Germany
,halford,0.0,7,de,65,0.0,444444,C0BEC3,Bruce Halford 🇬🇧,🇩🇪,Germany
,gonzalez,0.0,6,gb,50,0.0,444444,336667,José Froilán González 🇦🇷,🇬🇧,UK
,flockhart,0.0,6,gb,72,0.0,444444,144D44,Ron Flockhart 🇬🇧,🇬🇧,UK
,jack_brabham,0.0,6,gb,71,0.0,444444,C0BEC3,Jack Brabham 🇦🇺,🇬🇧,UK
,emery,0.0,6,gb,68,0.0,444444,888888,Paul Emery 🇬🇧,🇬🇧,UK
,scott_Brown,0.0,6,gb,67,0.0,444444,888888,Archie Scott Brown 🇬🇧,🇬🇧,UK
,maglioli,0.0,6,gb,64,0.0,444444,C0BEC3,Umberto Maglioli 🇮🇹,🇬🇧,UK
,rathmann,0.0,3,us,48,0.0,444444,D33949,Jim Rathmann 🇺🇸,🇺🇸,USA
,tolan,0.0,3,us,49,0.0,444444,D33949,Johnnie Tolan 🇺🇸,🇺🇸,USA
,bettenhausen,0.0,3,us,50,0.0,444444,D33949,Tony Bettenhausen 🇺🇸,🇺🇸,USA
,elisian,0.0,3,us,51,0.0,444444,D33949,Ed Elisian 🇺🇸,🇺🇸,USA
,daywalt,0.0,3,us,53,0.0,444444,D33949,Jimmy Daywalt 🇺🇸,🇺🇸,USA
,turner,0.0,3,us,54,0.0,444444,D33949,Jack Turner 🇺🇸,🇺🇸,USA
,andrews,0.0,3,us,55,0.0,444444,D33949,Keith Andrews 🇺🇸,🇺🇸,USA
,linden,0.0,3,us,56,0.0,444444,D33949,Andy Linden 🇺🇸,🇺🇸,USA
,herman,0.0,3,us,57,0.0,444444,D33949,Al Herman 🇺🇸,🇺🇸,USA
,ray_crawford,0.0,3,us,58,0.0,444444,D33949,Ray Crawford 🇺🇸,🇺🇸,USA
,boyd,0.0,3,us,59,0.0,444444,D33949,Johnny Boyd 🇺🇸,🇺🇸,USA
,ruttman,0.0,3,us,60,0.0,444444,D33949,Troy Ruttman 🇺🇸,🇺🇸,USA
,thomson,0.0,3,us,61,0.0,444444,C4333B,Johnny Thomson 🇺🇸,🇺🇸,USA
,paul_russo,1.0,3,us,17,1.0,444444,D33949,Paul Russo 🇺🇸,🇺🇸,USA
,russo,0.0,3,us,52,0.0,444444,D33949,Eddie Russo 🇺🇸,🇺🇸,USA
,halford,0.0,6,gb,62,0.0,444444,C0BEC3,Bruce Halford 🇬🇧,🇬🇧,UK
,rosier,0.0,6,gb,26,0.0,444444,C0BEC3,Louis Rosier 🇫🇷,🇬🇧,UK
,hawthorn,0.0,6,gb,10,4.0,444444,144D44,Mike Hawthorn 🇬🇧,🇬🇧,UK
,brooks,0.0,6,gb,55,0.0,444444,144D44,Tony Brooks 🇬🇧,🇬🇧,UK
,salvadori,0.0,6,gb,57,0.0,444444,C0BEC3,Roy Salvadori 🇬🇧,🇬🇧,UK
,collins,0.0,6,gb,2,22.0,16191A,EB212E,Peter Collins 🇬🇧,🇬🇧,UK
,ramos,0.0,6,gb,18,2.0,444444,888888,Hernando da Silva Ramos 🇧🇷,🇬🇧,UK
,trintignant,0.0,6,gb,48,0.0,444444,336667,Maurice Trintignant 🇫🇷,🇬🇧,UK
,fangio,0.0,4,be,3,10.5,16191A,EB212E,Juan Fangio 🇦🇷,🇧🇪,Belgium
,trintignant,0.0,4,be,44,0.0,444444,336667,Maurice Trintignant 🇫🇷,🇧🇪,Belgium
,moss,0.0,4,be,2,11.0,444444,C0BEC3,Stirling Moss 🇬🇧,🇧🇪,Belgium
,castellotti,0.0,4,be,18,1.5,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇧🇪,Belgium
,scotti,0.0,4,be,47,0.0,444444,888888,Piero Scotti 🇮🇹,🇧🇪,Belgium
,gould,0.0,4,be,29,0.0,444444,C0BEC3,Horace Gould 🇬🇧,🇧🇪,Belgium
,godia,0.0,4,be,48,0.0,444444,C0BEC3,Paco Godia 🇪🇸,🇧🇪,Belgium
,titterington,0.0,6,gb,53,0.0,444444,888888,Desmond Titterington 🇬🇧,🇬🇧,UK
,schell,0.0,6,gb,14,3.0,444444,336667,Harry Schell 🇺🇸,🇬🇧,UK
,moss,1.0,6,gb,4,13.0,444444,C0BEC3,Stirling Moss 🇬🇧,🇬🇧,UK
,chapman,0.0,5,fr,54,0.0,444444,336667,Colin Chapman 🇬🇧,🇫🇷,France
,schell,0.0,5,fr,13,3.0,444444,336667,Harry Schell 🇺🇸,🇫🇷,France
,moss,0.0,5,fr,4,12.0,444444,C0BEC3,Stirling Moss 🇬🇧,🇫🇷,France
,trintignant,0.0,5,fr,45,0.0,444444,888888,Maurice Trintignant 🇫🇷,🇫🇷,France
,portago,0.0,5,fr,51,0.0,16191A,EB212E,Alfonso de Portago 🇪🇸,🇫🇷,France
,villoresi,0.0,5,fr,17,2.0,444444,C0BEC3,Luigi Villoresi 🇮🇹,🇫🇷,France
,gendebien,0.0,5,fr,16,2.0,16191A,EB212E,Olivier Gendebien 🇧🇪,🇫🇷,France
,ramos,0.0,5,fr,15,2.0,444444,C0BEC3,Hernando da Silva Ramos 🇧🇷,🇫🇷,France
,simon,0.0,5,fr,48,0.0,444444,C0BEC3,André Simon 🇫🇷,🇫🇷,France
,manzon,0.0,8,it,37,0.0,444444,888888,Robert Manzon 🇫🇷,🇮🇹,Italy
1,fangio,5.0,1,ar,2,5.0,16191A,EB212E,Juan Fangio 🇦🇷,🇦🇷,Argentina
1,collins,8.0,5,fr,1,19.0,16191A,EB212E,Peter Collins 🇬🇧,🇫🇷,France
1,collins,8.0,4,be,1,11.0,16191A,EB212E,Peter Collins 🇬🇧,🇧🇪,Belgium
1,musso,5.0,1,ar,3,4.0,16191A,EB212E,Luigi Musso 🇮🇹,🇦🇷,Argentina
1,moss,8.0,2,mc,3,8.0,444444,C0BEC3,Stirling Moss 🇬🇧,🇲🇨,Monaco
1,fangio,9.0,7,de,1,30.0,16191A,EB212E,Juan Fangio 🇦🇷,🇩🇪,Germany
1,flaherty,8.0,3,us,4,8.0,444444,FC8881,Pat Flaherty 🇺🇸,🇺🇸,USA
1,fangio,8.0,6,gb,1,22.5,16191A,EB212E,Juan Fangio 🇦🇷,🇬🇧,UK
1,moss,9.0,8,it,2,27.0,444444,C0BEC3,Stirling Moss 🇬🇧,🇮🇹,Italy
10,castellotti,0.0,6,gb,6,7.5,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇬🇧,UK
10,schell,0.0,5,fr,13,3.0,444444,336667,Harry Schell 🇺🇸,🇫🇷,France
10,gerini,0.0,8,it,25,1.5,444444,C0BEC3,Gerino Gerini 🇮🇹,🇮🇹,Italy
10,griffith,0.0,3,us,28,0.0,444444,888888,Cliff Griffith 🇺🇸,🇺🇸,USA
10,portago,0.0,6,gb,12,3.0,16191A,EB212E,Alfonso de Portago 🇪🇸,🇬🇧,UK
10,hawthorn,0.0,5,fr,10,4.0,444444,336667,Mike Hawthorn 🇬🇧,🇫🇷,France
11,salvadori,0.0,8,it,41,0.0,444444,C0BEC3,Roy Salvadori 🇬🇧,🇮🇹,Italy
11,hartley,0.0,3,us,29,0.0,444444,C4333B,Gene Hartley 🇺🇸,🇺🇸,USA
11,gerard,0.0,6,gb,37,0.0,444444,273027,Bob Gerard 🇬🇧,🇬🇧,UK
11,andre_pilette,0.0,5,fr,22,0.0,444444,888888,André Pilette 🇧🇪,🇫🇷,France
12,agabashian,0.0,3,us,30,0.0,444444,D33949,Fred Agabashian 🇺🇸,🇺🇸,USA
13,christie,0.0,3,us,31,0.0,444444,D33949,Bob Christie 🇺🇸,🇺🇸,USA
14,keller,0.0,3,us,32,0.0,444444,D33949,Al Keller 🇺🇸,🇺🇸,USA
15,johnson,0.0,3,us,33,0.0,444444,C4333B,Eddie Johnson 🇺🇸,🇺🇸,USA
16,garrett,0.0,3,us,34,0.0,444444,C4333B,Billy Garrett 🇺🇸,🇺🇸,USA
17,dinsmore,0.0,3,us,35,0.0,444444,D33949,Duke Dinsmore 🇺🇸,🇺🇸,USA
18,connor,0.0,3,us,36,0.0,444444,D33949,Pat O'Connor 🇺🇸,🇺🇸,USA
19,bryan,0.0,3,us,37,0.0,444444,C4333B,Jimmy Bryan 🇺🇸,🇺🇸,USA
2,collins,3.0,8,it,3,25.0,16191A,EB212E,Peter Collins 🇬🇧,🇮🇹,Italy
2,castellotti,6.0,5,fr,6,7.5,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇫🇷,France
2,collins,3.0,2,mc,6,3.0,16191A,EB212E,Peter Collins 🇬🇧,🇲🇨,Monaco
2,moss,6.0,7,de,4,19.0,444444,C0BEC3,Stirling Moss 🇬🇧,🇩🇪,Germany
2,portago,3.0,6,gb,12,3.0,16191A,EB212E,Alfonso de Portago 🇪🇸,🇬🇧,UK
2,fangio,4.0,2,mc,1,10.5,16191A,EB212E,Juan Fangio 🇦🇷,🇲🇨,Monaco
2,hanks,6.0,3,us,5,6.0,444444,D33949,Sam Hanks 🇺🇸,🇺🇸,USA
2,fangio,3.0,8,it,1,30.0,16191A,EB212E,Juan Fangio 🇦🇷,🇮🇹,Italy
2,collins,3.0,6,gb,2,22.0,16191A,EB212E,Peter Collins 🇬🇧,🇬🇧,UK
2,frere,6.0,4,be,6,6.0,16191A,EB212E,Paul Frère 🇧🇪,🇧🇪,Belgium
2,behra,6.0,1,ar,1,6.0,444444,C0BEC3,Jean Behra 🇫🇷,🇦🇷,Argentina
3,perdisa,2.0,4,be,13,2.0,444444,C0BEC3,Cesare Perdisa 🇮🇹,🇧🇪,Belgium
3,flockhart,4.0,8,it,13,4.0,444444,888888,Ron Flockhart 🇬🇧,🇮🇹,Italy
3,moss,3.0,4,be,2,11.0,444444,C0BEC3,Stirling Moss 🇬🇧,🇧🇪,Belgium
3,behra,4.0,7,de,3,22.0,444444,C0BEC3,Jean Behra 🇫🇷,🇩🇪,Germany
3,behra,4.0,2,mc,2,10.0,444444,C0BEC3,Jean Behra 🇫🇷,🇲🇨,Monaco
3,behra,4.0,6,gb,3,18.0,444444,C0BEC3,Jean Behra 🇫🇷,🇬🇧,UK
3,behra,4.0,5,fr,3,14.0,444444,C0BEC3,Jean Behra 🇫🇷,🇫🇷,France
3,hawthorn,4.0,1,ar,4,4.0,444444,C0BEC3,Mike Hawthorn 🇬🇧,🇦🇷,Argentina
3,freeland,4.0,3,us,8,4.0,444444,888888,Don Freeland 🇺🇸,🇺🇸,USA
4,schell,3.0,4,be,11,3.0,444444,336667,Harry Schell 🇺🇸,🇧🇪,Belgium
4,godia,3.0,8,it,9,6.0,444444,C0BEC3,Paco Godia 🇪🇸,🇮🇹,Italy
4,godia,3.0,7,de,14,3.0,444444,C0BEC3,Paco Godia 🇪🇸,🇩🇪,Germany
4,fangio,1.5,2,mc,1,10.5,16191A,EB212E,Juan Fangio 🇦🇷,🇲🇨,Monaco
4,gerini,1.5,1,ar,6,1.5,444444,C0BEC3,Gerino Gerini 🇮🇹,🇦🇷,Argentina
4,fairman,3.0,6,gb,15,3.0,444444,888888,Jack Fairman 🇬🇧,🇬🇧,UK
4,fangio,4.0,5,fr,2,14.5,16191A,EB212E,Juan Fangio 🇦🇷,🇫🇷,France
4,castellotti,1.5,2,mc,9,1.5,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇲🇨,Monaco
4,landi,1.5,1,ar,7,1.5,444444,C0BEC3,Chico Landi 🇧🇷,🇦🇷,Argentina
4,parsons,3.0,3,us,10,3.0,444444,D33949,Johnnie Parsons 🇺🇸,🇺🇸,USA
5,dick_rathmann,2.0,3,us,13,2.0,444444,D33949,Dick Rathmann 🇺🇸,🇺🇸,USA
5,perdisa,1.0,5,fr,12,3.0,444444,C0BEC3,Cesare Perdisa 🇮🇹,🇫🇷,France
5,gendebien,2.0,1,ar,5,2.0,16191A,EB212E,Olivier Gendebien 🇧🇪,🇦🇷,Argentina
5,rosier,2.0,7,de,18,2.0,444444,C0BEC3,Louis Rosier 🇫🇷,🇩🇪,Germany
5,villoresi,2.0,4,be,17,2.0,444444,C0BEC3,Luigi Villoresi 🇮🇹,🇧🇪,Belgium
5,fairman,2.0,8,it,10,5.0,444444,888888,Jack Fairman 🇬🇧,🇮🇹,Italy
5,moss,1.0,5,fr,4,12.0,444444,C0BEC3,Stirling Moss 🇬🇧,🇫🇷,France
5,gould,2.0,6,gb,19,2.0,444444,C0BEC3,Horace Gould 🇬🇧,🇬🇧,UK
5,ramos,2.0,2,mc,7,2.0,444444,888888,Hernando da Silva Ramos 🇧🇷,🇲🇨,Monaco
6,sweikert,0.0,3,us,21,0.0,444444,C4333B,Bob Sweikert 🇺🇸,🇺🇸,USA
6,andre_pilette,0.0,2,mc,14,0.0,444444,888888,André Pilette 🇧🇪,🇲🇨,Monaco
6,rosier,0.0,5,fr,23,0.0,444444,C0BEC3,Louis Rosier 🇫🇷,🇫🇷,France
6,uria,0.0,1,ar,9,0.0,444444,C0BEC3,Alberto Uria 🇺🇾,🇦🇷,Argentina
6,andre_pilette,0.0,4,be,22,0.0,16191A,EB212E,André Pilette 🇧🇪,🇧🇪,Belgium
6,piotti,0.0,8,it,29,0.0,444444,C0BEC3,Luigi Piotti 🇮🇹,🇮🇹,Italy
6,oscar_gonzalez,0.0,1,ar,8,0.0,444444,C0BEC3,Óscar González 🇺🇾,🇦🇷,Argentina
6,villoresi,0.0,6,gb,17,2.0,444444,C0BEC3,Luigi Villoresi 🇮🇹,🇬🇧,UK
6,bayol,0.0,2,mc,12,0.0,444444,888888,Élie Bayol 🇫🇷,🇲🇨,Monaco
7,perdisa,0.0,2,mc,16,0.0,444444,C0BEC3,Cesare Perdisa 🇮🇹,🇲🇨,Monaco
7,perdisa,0.0,6,gb,13,3.0,444444,C0BEC3,Cesare Perdisa 🇮🇹,🇬🇧,UK
7,behra,0.0,4,be,4,10.0,444444,C0BEC3,Jean Behra 🇫🇷,🇧🇪,Belgium
7,graffenried,0.0,8,it,34,0.0,444444,C0BEC3,Toulo de Graffenried 🇨🇭,🇮🇹,Italy
7,veith,0.0,3,us,24,0.0,444444,D33949,Bob Veith 🇺🇸,🇺🇸,USA
7,godia,0.0,5,fr,28,0.0,444444,C0BEC3,Paco Godia 🇪🇸,🇫🇷,France
8,rosier,0.0,4,be,28,0.0,444444,C0BEC3,Louis Rosier 🇫🇷,🇧🇪,Belgium
8,godia,0.0,6,gb,31,0.0,444444,C0BEC3,Paco Godia 🇪🇸,🇬🇧,UK
8,fangio,0.0,8,it,1,30.0,16191A,EB212E,Juan Fangio 🇦🇷,🇮🇹,Italy
8,gould,0.0,2,mc,17,0.0,444444,C0BEC3,Horace Gould 🇬🇧,🇲🇨,Monaco
8,ward,0.0,3,us,26,0.0,444444,D33949,Rodger Ward 🇺🇸,🇺🇸,USA
8,castellotti,0.0,8,it,6,7.5,16191A,EB212E,Eugenio Castellotti 🇮🇹,🇮🇹,Italy
8,ramos,0.0,5,fr,15,2.0,444444,888888,Hernando da Silva Ramos 🇧🇷,🇫🇷,France
9,manzon,0.0,6,gb,34,0.0,444444,888888,Robert Manzon 🇫🇷,🇬🇧,UK
9,simon,0.0,8,it,38,0.0,444444,888888,André Simon 🇫🇷,🇮🇹,Italy
9,reece,0.0,3,us,27,0.0,444444,888888,Jimmy Reece 🇺🇸,🇺🇸,USA
9,manzon,0.0,5,fr,32,0.0,444444,888888,Robert Manzon 🇫🇷,🇫🇷,France
