points,driverref,participations,country,did_not_start,last_win,driverid,podiums,last_race,country_flag,permanent_number,championships,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,dob
0.0,grim,1,USA,0,,522,0,1960-05-30T00:00:00.000Z,🇺🇸,,0,Grim,us,,0,0,,0,1,1960-05-30T00:00:00.000Z,0,0,1960,59,0,Bobby,0,1924-09-04T00:00:00.000Z
0.0,weiler,1,USA,0,,530,0,1960-05-30T00:00:00.000Z,🇺🇸,,0,Weiler,us,,0,0,,0,1,1960-05-30T00:00:00.000Z,0,0,1960,67,0,Wayne,0,1934-12-09T00:00:00.000Z
0.0,vic_wilson,1,UK,0,,398,0,1960-09-04T00:00:00.000Z,🇬🇧,,0,Wilson,gb,,0,1,,0,0,1960-09-04T00:00:00.000Z,0,0,1960,83,0,Vic,0,1931-04-14T00:00:00.000Z
0.0,gamble,1,USA,0,,545,0,1960-09-04T00:00:00.000Z,🇺🇸,,0,Gamble,us,,1,0,,0,1,1960-09-04T00:00:00.000Z,0,0,1960,45,0,Fred,0,1932-03-17T00:00:00.000Z
0.0,veith,1,USA,0,,514,0,1960-05-30T00:00:00.000Z,🇺🇸,,0,Veith,us,,1,0,,0,1,1960-05-30T00:00:00.000Z,0,0,1960,36,0,Bob,0,1926-11-01T00:00:00.000Z
0.0,freeland,1,USA,0,,528,0,1960-05-30T00:00:00.000Z,🇺🇸,,0,Freeland,us,,0,0,,0,1,1960-05-30T00:00:00.000Z,0,0,1960,65,0,Don,0,1925-03-25T00:00:00.000Z
0.0,amick,1,USA,0,,517,0,1960-05-30T00:00:00.000Z,🇺🇸,,0,Amick,us,,0,0,,0,1,1960-05-30T00:00:00.000Z,0,0,1960,47,0,Red,0,1929-01-19T00:00:00.000Z
0.0,barth,1,Germany,0,,431,0,1960-09-04T00:00:00.000Z,🇩🇪,,0,Barth,de,,1,0,,0,1,1960-09-04T00:00:00.000Z,0,0,1960,29,0,Edgar,0,1917-01-26T00:00:00.000Z
0.0,beaufort,1,Netherlands,0,,430,0,1960-06-06T00:00:00.000Z,🇳🇱,,0,de Beaufort,nl,,1,0,,0,1,1960-06-06T00:00:00.000Z,0,0,1960,34,0,Carel Godin,0,1934-04-10T00:00:00.000Z
0.0,bettenhausen,1,USA,0,,529,0,1960-05-30T00:00:00.000Z,🇺🇸,,0,Bettenhausen,us,,0,0,,0,1,1960-05-30T00:00:00.000Z,0,0,1960,66,0,Tony,0,1916-09-12T00:00:00.000Z
0.0,russo,1,USA,0,,532,0,1960-05-30T00:00:00.000Z,🇺🇸,,0,Russo,us,,0,0,,0,1,1960-05-30T00:00:00.000Z,0,0,1960,69,0,Eddie,0,1925-11-19T00:00:00.000Z
0.0,naylor,4,UK,1,,484,0,1960-11-20T00:00:00.000Z,🇬🇧,,0,Naylor,gb,,0,2,,0,1,1960-05-29T00:00:00.000Z,0,0,1960,53,0,Brian,0,1923-03-24T00:00:00.000Z
0.0,boyd,1,USA,0,,533,0,1960-05-30T00:00:00.000Z,🇺🇸,,0,Boyd,us,,0,0,,0,1,1960-05-30T00:00:00.000Z,0,0,1960,70,0,Johnny,0,1926-08-19T00:00:00.000Z
0.0,trintignant,6,France,0,,427,1,1960-11-20T00:00:00.000Z,🇫🇷,,0,Trintignant,fr,,1,3,,0,3,1960-02-07T00:00:00.000Z,0,0,1960,28,0,Maurice,0,1917-10-30T00:00:00.000Z
