participations,driverref,points,dob,did_not_start,last_win,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,fullname,did_not_finish,first_win,fastestlaps,races_finished,fullname_flag,first_race,poles,subchampionships,year,wins,forename,finished_in_points,country
1,jabouille,0.0,1942-10-01,0,,0,1975-07-06,,0,🇫🇷,Jabouille,fr,,0,Jean-Pierre Jabouille,0,,0,1,Jean-Pierre Jabouille 🇫🇷,1975-07-06,0,0,1975,0,Jean-Pierre,0,France
1,zorzi,0.0,1946-12-12,0,,0,1975-09-07,,0,🇮🇹,Zorzi,it,,0,Renzo Zorzi,0,,0,1,Renzo Zorzi 🇮🇹,1975-09-07,0,0,1975,0,Renzo,0,Italy
1,vonlanthen,0.0,1942-05-31,0,,0,1975-08-17,,0,🇨🇭,Vonlanthen,ch,,0,Jo Vonlanthen,1,,0,0,Jo Vonlanthen 🇨🇭,1975-08-17,0,0,1975,0,Jo,0,Switzerland
1,tunmer,0.0,1948-12-01,0,,0,1975-03-01,,0,🇿🇦,Tunmer,za,,0,Guy Tunmer,0,,0,1,Guy Tunmer 🇿🇦,1975-03-01,0,0,1975,0,Guy,0,South Africa
1,schuppan,0.0,1943-03-19,0,,0,1975-06-08,,0,🇦🇺,Schuppan,au,,0,Vern Schuppan,1,,0,0,Vern Schuppan 🇦🇺,1975-06-08,0,0,1975,0,Vern,0,Australia
1,nicholson,0.0,1941-10-06,0,,0,1975-07-19,,0,🇳🇿,Nicholson,nz,,0,John Nicholson,0,,0,1,John Nicholson 🇳🇿,1975-07-19,0,0,1975,0,John,0,New Zealand
1,morgan,0.0,1944-08-07,0,,0,1975-07-19,,0,🇬🇧,Morgan,gb,,0,Dave Morgan,0,,0,1,Dave Morgan 🇬🇧,1975-07-19,0,0,1975,0,Dave,0,UK
1,ashley,0.0,1947-10-26,0,,0,1975-08-03,,0,🇬🇧,Ashley,gb,,0,Ian Ashley,1,,0,0,Ian Ashley 🇬🇧,1975-08-03,0,0,1975,0,Ian,0,UK
1,charlton,0.0,1936-10-27,0,,0,1975-03-01,,0,🇿🇦,Charlton,za,,0,Dave Charlton,0,,0,1,Dave Charlton 🇿🇦,1975-03-01,0,0,1975,0,Dave,0,South Africa
1,magee,0.0,1945-11-17,0,,0,1975-06-08,,0,🇬🇧,Magee,gb,,0,Damien Magee,0,,0,1,Damien Magee 🇬🇧,1975-06-08,0,0,1975,0,Damien,0,UK
1,leclere,0.0,1946-03-18,0,,0,1975-10-05,,0,🇫🇷,Leclère,fr,,0,Michel Leclère,1,,0,0,Michel Leclère 🇫🇷,1975-10-05,0,0,1975,0,Michel,0,France
1,keizan,0.0,1944-09-12,0,,0,1975-03-01,,0,🇿🇦,Keizan,za,,0,Eddie Keizan,0,,0,1,Eddie Keizan 🇿🇦,1975-03-01,0,0,1975,0,Eddie,0,South Africa
10,brise,1.0,1952-03-28,0,,0,1975-10-05,,0,🇬🇧,Brise,gb,,4,Tony Brise,4,,0,6,Tony Brise 🇬🇧,1975-04-27,0,0,1975,0,Tony,1,UK
12,mario_andretti,5.0,1940-02-28,0,,0,1975-10-05,,0,🇺🇸,Andretti,us,,4,Mario Andretti,6,,0,6,Mario Andretti 🇺🇸,1975-01-12,0,0,1975,0,Mario,2,USA
12,lombardi,0.5,1941-03-26,1,,0,1975-10-05,,0,🇮🇹,Lombardi,it,,2,Lella Lombardi,6,,0,5,Lella Lombardi 🇮🇹,1975-03-01,0,0,1975,0,Lella,1,Italy
12,donohue,4.0,1937-03-18,0,,0,1975-08-17,,0,🇺🇸,Donohue,us,,5,Mark Donohue,6,,0,6,Mark Donohue 🇺🇸,1975-01-12,0,0,1975,0,Mark,2,USA
12,laffite,6.0,1943-11-21,1,,1,1975-10-05,,0,🇫🇷,Laffite,fr,,1,Jacques Laffite,8,,0,3,Jacques Laffite 🇫🇷,1975-01-12,0,0,1975,0,Jacques,1,France
13,wilson_fittipaldi,0.0,1943-12-25,3,,0,1975-10-05,,0,🇧🇷,Fittipaldi,br,,1,Wilson Fittipaldi,4,,0,6,Wilson Fittipaldi 🇧🇷,1975-01-12,0,0,1975,0,Wilson,0,Brazil
13,watson,0.0,1946-05-04,0,,0,1975-10-05,,0,🇬🇧,Watson,gb,,5,John Watson,5,,0,8,John Watson 🇬🇧,1975-01-12,0,0,1975,0,John,0,UK
14,lauda,64.5,1949-02-22,0,1975-10-05,8,1975-10-05,,1,🇦🇹,Lauda,at,,13,Niki Lauda,1,1975-05-11,0,13,Niki Lauda 🇦🇹,1975-01-12,9,0,1975,5,Niki,12,Austria
14,reutemann,37.0,1942-04-12,0,1975-08-03,6,1975-10-05,,0,🇦🇷,Reutemann,ar,,10,Carlos Reutemann,2,1975-08-03,0,12,Carlos Reutemann 🇦🇷,1975-01-12,0,0,1975,1,Carlos,8,Argentina
14,pace,24.0,1944-10-06,0,1975-01-26,3,1975-10-05,,0,🇧🇷,Pace,br,,6,Carlos Pace,8,1975-01-26,0,6,Carlos Pace 🇧🇷,1975-01-12,1,0,1975,1,Carlos,5,Brazil
14,emerson_fittipaldi,45.0,1946-12-12,0,1975-07-19,6,1975-10-05,,0,🇧🇷,Fittipaldi,br,,10,Emerson Fittipaldi,4,1975-01-12,0,10,Emerson Fittipaldi 🇧🇷,1975-01-12,0,1,1975,2,Emerson,7,Brazil
14,mass,20.0,1946-09-30,0,1975-04-27,4,1975-10-05,,0,🇩🇪,Mass,de,,8,Jochen Mass,5,1975-04-27,0,9,Jochen Mass 🇩🇪,1975-01-12,0,0,1975,1,Jochen,7,Germany
14,jarier,1.5,1946-07-10,0,,0,1975-10-05,,0,🇫🇷,Jarier,fr,,2,Jean-Pierre Jarier,11,,0,3,Jean-Pierre Jarier 🇫🇷,1975-01-12,2,0,1975,0,Jean-Pierre,1,France
14,brambilla,6.5,1937-11-11,0,1975-08-17,1,1975-10-05,,0,🇮🇹,Brambilla,it,,5,Vittorio Brambilla,9,1975-08-17,0,5,Vittorio Brambilla 🇮🇹,1975-01-12,1,0,1975,1,Vittorio,3,Italy
14,regazzoni,25.0,1939-09-05,0,1975-09-07,3,1975-10-05,,0,🇨🇭,Regazzoni,ch,,7,Clay Regazzoni,5,1975-09-07,0,9,Clay Regazzoni 🇨🇭,1975-01-12,0,0,1975,1,Clay,6,Switzerland
14,pryce,8.0,1949-06-11,0,,1,1975-10-05,,0,🇬🇧,Pryce,gb,,6,Tom Pryce,7,,0,7,Tom Pryce 🇬🇧,1975-01-12,1,0,1975,0,Tom,5,UK
14,depailler,12.0,1944-08-09,0,,1,1975-10-05,,0,🇫🇷,Depailler,fr,,9,Patrick Depailler,3,,0,11,Patrick Depailler 🇫🇷,1975-01-12,0,0,1975,0,Patrick,5,France
14,peterson,6.0,1944-02-14,0,,0,1975-10-05,,0,🇸🇪,Peterson,se,,6,Ronnie Peterson,6,,0,8,Ronnie Peterson 🇸🇪,1975-01-12,0,0,1975,0,Ronnie,3,Sweden
14,hunt,33.0,1947-08-29,0,1975-06-22,4,1975-10-05,,0,🇬🇧,Hunt,gb,,8,James Hunt,6,1975-06-22,0,8,James Hunt 🇬🇧,1975-01-12,0,0,1975,1,James,8,UK
14,scheckter,20.0,1950-01-29,0,1975-03-01,3,1975-10-05,,0,🇿🇦,Scheckter,za,,9,Jody Scheckter,3,1975-03-01,0,11,Jody Scheckter 🇿🇦,1975-01-12,0,0,1975,1,Jody,4,South Africa
2,fushida,0.0,1946-03-10,2,,0,1975-07-19,,0,🇯🇵,Fushida,jp,,0,Hiroshi Fushida,0,,0,0,Hiroshi Fushida 🇯🇵,1975-06-22,0,0,1975,0,Hiroshi,0,Japan
2,wilds,0.0,1946-01-07,0,,0,1975-01-26,,0,🇬🇧,Wilds,gb,,0,Mike Wilds,2,,0,0,Mike Wilds 🇬🇧,1975-01-12,0,0,1975,0,Mike,0,UK
2,crawford,0.0,1948-02-13,0,,0,1975-09-07,,0,🇬🇧,Crawford,gb,,0,Jim Crawford,1,,0,1,Jim Crawford 🇬🇧,1975-07-19,0,0,1975,0,Jim,0,UK
2,amon,0.0,1943-07-20,0,,0,1975-09-07,,0,🇳🇿,Amon,nz,,0,Chris Amon,0,,0,2,Chris Amon 🇳🇿,1975-08-17,0,0,1975,0,Chris,0,New Zealand
2,palm,0.0,1947-07-23,1,,0,1975-06-08,,0,🇸🇪,Palm,se,,1,Torsten Palm,0,,0,1,Torsten Palm 🇸🇪,1975-05-11,0,0,1975,0,Torsten,0,Sweden
3,trimmer,0.0,1943-01-24,3,,0,1975-09-07,,0,🇬🇧,Trimmer,gb,,0,Tony Trimmer,0,,0,0,Tony Trimmer 🇬🇧,1975-08-03,0,0,1975,0,Tony,0,UK
3,migault,0.0,1944-12-04,0,,0,1975-07-06,,0,🇫🇷,Migault,fr,,0,François Migault,3,,0,0,François Migault 🇫🇷,1975-04-27,0,0,1975,0,François,0,France
3,lunger,0.0,1945-11-14,0,,0,1975-10-05,,0,🇺🇸,Lunger,us,,1,Brett Lunger,1,,0,2,Brett Lunger 🇺🇸,1975-08-17,0,0,1975,0,Brett,0,USA
