participations,driverref,points,dob,did_not_start,last_win,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,wins,forename,finished_in_points,country
1,nelleman,0.0,1944-04-19,1,,0,1976-06-13,,0,🇩🇰,Nelleman,dk,,0,0,,0,0,1976-06-13,0,0,1976,0,Jac,0,Denmark
1,magee,0.0,1945-11-17,1,,0,1976-07-04,,0,🇬🇧,Magee,gb,,0,0,,0,0,1976-07-04,0,0,1976,0,Damien,0,UK
1,ian_scheckter,0.0,1947-08-22,0,,0,1976-03-06,,0,🇿🇦,Scheckter,za,,0,1,,0,0,1976-03-06,0,0,1976,0,Ian,0,South Africa
1,zorzi,0.0,1946-12-12,0,,0,1976-01-25,,0,🇮🇹,Zorzi,it,,1,0,,0,1,1976-01-25,0,0,1976,0,Renzo,0,Italy
1,hoshino,0.0,1947-07-01,0,,0,1976-10-24,,0,🇯🇵,Hoshino,jp,,0,1,,0,0,1976-10-24,0,0,1976,0,Kazuyoshi,0,Japan
1,zapico,0.0,1944-05-27,1,,0,1976-05-02,,0,🇪🇸,Zapico,es,,0,0,,0,0,1976-05-02,0,0,1976,0,Emilio,0,Spain
1,wilds,0.0,1946-01-07,1,,0,1976-07-18,,0,🇬🇧,Wilds,gb,,0,0,,0,0,1976-07-18,0,0,1976,0,Mike,0,UK
1,villota,0.0,1946-07-26,1,,0,1976-05-02,,0,🇪🇸,de Villota,es,,0,0,,0,0,1976-05-02,0,0,1976,0,Emilio,0,Spain
1,andersson,0.0,1939-12-28,0,,0,1976-08-29,,0,🇸🇪,Andersson,se,,0,1,,0,0,1976-08-29,0,0,1976,0,Conny,0,Sweden
1,ashley,0.0,1947-10-26,0,,0,1976-01-25,,0,🇬🇧,Ashley,gb,,0,1,,0,0,1976-01-25,0,0,1976,0,Ian,0,UK
1,trimmer,0.0,1943-01-24,1,,0,1976-10-24,,0,🇬🇧,Trimmer,gb,,0,0,,0,0,1976-10-24,0,0,1976,0,Tony,0,UK
1,takahara,0.0,1951-06-06,0,,0,1976-10-24,,0,🇯🇵,Takahara,jp,,1,0,,0,1,1976-10-24,0,0,1976,0,Noritake,0,Japan
1,brown,0.0,1949-12-24,0,,0,1976-10-10,,0,🇦🇺,Brown,au,,0,0,,0,1,1976-10-10,0,0,1976,0,Warwick,0,Australia
1,ribeiro,0.0,1948-11-07,0,,0,1976-10-10,,0,🇧🇷,Ribeiro,br,,0,0,,0,1,1976-10-10,0,0,1976,0,Alex,0,Brazil
1,hayje,0.0,1949-05-03,0,,0,1976-08-29,,0,🇳🇱,Lunger,nl,,0,1,,0,0,1976-08-29,0,0,1976,0,Boy,0,Netherlands
1,hasemi,0.0,1945-11-13,0,,0,1976-10-24,,0,🇯🇵,Hasemi,jp,,0,0,,0,1,1976-10-24,0,0,1976,0,Masahiro,0,Japan
1,galica,0.0,1944-08-13,1,,0,1976-07-18,,0,🇬🇧,Galica,gb,,0,0,,0,0,1976-07-18,0,0,1976,0,Divina,0,UK
12,lunger,0.0,1945-11-14,2,,0,1976-10-10,,0,🇺🇸,Lunger,us,,1,3,,0,7,1976-03-06,0,0,1976,0,Brett,0,USA
12,ickx,0.0,1945-01-01,4,,0,1976-10-10,,0,🇧🇪,Ickx,be,,4,2,,0,6,1976-01-25,0,0,1976,0,Jacky,0,Belgium
13,reutemann,3.0,1942-04-12,0,,0,1976-09-12,,0,🇦🇷,Reutemann,ar,,2,9,,0,4,1976-01-25,0,0,1976,0,Carlos,1,Argentina
14,merzario,0.0,1943-03-11,3,,0,1976-10-24,,0,🇮🇹,Merzario,it,,1,9,,0,2,1976-03-28,0,0,1976,0,Arturo,0,Italy
14,lauda,68.0,1949-02-22,0,1976-07-18,9,1976-10-24,,0,🇦🇹,Lauda,at,,11,3,1976-01-25,0,11,1976-01-25,3,1,1976,5,Niki,10,Austria
14,jones,7.0,1946-11-02,0,,0,1976-10-24,,0,🇦🇺,Jones,au,,7,4,,0,10,1976-03-28,0,0,1976,0,Alan,3,Australia
15,ertl,0.0,1948-08-31,4,,0,1976-10-24,,0,🇦🇹,Ertl,at,,3,5,,0,6,1976-03-06,0,0,1976,0,Harald,0,Austria
15,nilsson,11.0,1948-11-20,0,,2,1976-10-24,,0,🇸🇪,Nilsson,se,,4,9,,0,6,1976-03-06,0,0,1976,0,Gunnar,4,Sweden
15,regazzoni,31.0,1939-09-05,0,1976-03-28,4,1976-10-24,,0,🇨🇭,Regazzoni,ch,,10,3,1976-03-28,0,12,1976-01-25,1,0,1976,1,Clay,7,Switzerland
15,mario_andretti,22.0,1940-02-28,0,1976-10-24,3,1976-10-24,,0,🇺🇸,Andretti,us,,6,8,1976-10-24,0,7,1976-01-25,1,0,1976,1,Mario,6,USA
16,hunt,69.0,1947-08-29,0,1976-10-10,8,1976-10-24,,1,🇬🇧,Hunt,gb,,10,6,1976-05-02,0,10,1976-01-25,8,0,1976,6,James,10,UK
