participations,driverref,points,dob,did_not_start,last_win,driverid,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,standings_position,wins,forename,finished_in_points,country
1,lees,0.0,1951-05-01,0,,209,0,1979-07-29,,0,🇬🇧,Lees,gb,,1,0,,0,1,1979-07-29,0,0,1979,25,0,Geoff,0,UK
10,daly,0.0,1953-03-11,4,,206,0,1979-10-07,,0,🇮🇪,Daly,ie,,1,3,,0,3,1979-01-21,0,0,1979,26,0,Derek,0,Ireland
13,jarier,14.0,1946-07-10,0,,197,2,1979-10-07,,0,🇫🇷,Jarier,fr,,6,6,,0,7,1979-01-21,0,0,1979,11,0,Jean-Pierre,6,France
14,rebaque,0.0,1956-02-05,4,,212,0,1979-10-07,,0,🇲🇽,Rebaque,mx,,2,7,,0,3,1979-01-21,0,0,1979,22,0,Hector,0,Mexico
14,merzario,0.0,1943-03-11,12,,232,0,1979-10-07,,0,🇮🇹,Merzario,it,,0,2,,0,0,1979-01-21,0,0,1979,34,0,Arturo,0,Italy
14,lauda,4.0,1949-02-22,1,,182,0,1979-09-30,,0,🇦🇹,Lauda,at,,2,11,,0,2,1979-01-21,0,0,1979,14,0,Niki,2,Austria
15,regazzoni,32.0,1939-09-05,0,1979-07-14,223,5,1979-10-07,,0,🇨🇭,Regazzoni,ch,,9,5,1979-07-14,0,10,1979-01-21,0,0,1979,5,1,Clay,7,Switzerland
15,angelis,3.0,1958-03-26,1,,173,0,1979-10-07,,0,🇮🇹,de Angelis,it,,3,7,,0,7,1979-01-21,0,0,1979,15,0,Elio,1,Italy
15,arnoux,17.0,1948-07-04,1,,163,3,1979-10-07,,0,🇫🇷,Arnoux,fr,,5,9,,0,5,1979-01-21,2,0,1979,8,0,René,4,France
15,watson,15.0,1946-05-04,0,,187,1,1979-10-07,,0,🇬🇧,Watson,gb,,9,5,,0,10,1979-01-21,0,0,1979,9,0,John,7,UK
15,tambay,0.0,1949-06-25,2,,175,0,1979-10-07,,0,🇫🇷,Tambay,fr,,4,8,,0,5,1979-01-21,0,0,1979,23,0,Patrick,0,France
15,jabouille,9.0,1942-10-01,1,1979-07-01,219,1,1979-10-07,,0,🇫🇷,Jabouille,fr,,2,11,1979-07-01,0,3,1979-01-21,4,0,1979,13,1,Jean-Pierre,1,France
15,emerson_fittipaldi,1.0,1946-12-12,0,,224,0,1979-10-07,,0,🇧🇷,Fittipaldi,br,,5,7,,0,8,1979-01-21,0,0,1979,21,0,Emerson,1,Brazil
15,stuck,2.0,1951-01-01,3,,233,0,1979-10-07,,0,🇩🇪,Stuck,de,,2,8,,0,4,1979-01-21,0,0,1979,19,0,Hans-Joachim,1,Germany
15,reutemann,25.0,1942-04-12,0,,199,4,1979-10-07,,0,🇦🇷,Reutemann,ar,,8,6,,0,9,1979-01-21,0,0,1979,7,0,Carlos,6,Argentina
15,gilles_villeneuve,53.0,1950-01-18,0,1979-10-07,203,7,1979-10-07,,0,🇨🇦,Villeneuve,ca,,11,3,1979-03-03,0,12,1979-01-21,1,1,1979,2,3,Gilles,8,Canada
15,pironi,14.0,1952-03-26,0,,202,2,1979-10-07,,0,🇫🇷,Pironi,fr,,9,6,,0,9,1979-01-21,0,0,1979,10,0,Didier,5,France
15,jones,43.0,1946-11-02,0,1979-09-30,178,5,1979-10-07,,0,🇦🇺,Jones,au,,8,7,1979-07-29,0,8,1979-01-21,3,0,1979,3,4,Alan,6,Australia
15,piquet,3.0,1952-08-17,0,,137,0,1979-10-07,,0,🇧🇷,Piquet,br,,3,11,,0,4,1979-01-21,0,0,1979,16,0,Nelson,1,Brazil
15,lammers,0.0,1956-06-02,3,,136,0,1979-10-07,,0,🇳🇱,Lammers,nl,,3,5,,0,7,1979-01-21,0,0,1979,28,0,Jan,0,Netherlands
