raceref,name,round,country_code,year,date,circuitref,time,country_flag,country
198801,Brazilian Grand Prix,1,br,1988,1988-04-03T00:00:00.000Z,jacarepagua,,🇧🇷,Brazil
198802,San Marino Grand Prix,2,it,1988,1988-05-01T00:00:00.000Z,imola,,🇮🇹,Italy
198803,Monaco Grand Prix,3,mc,1988,1988-05-15T00:00:00.000Z,monaco,,🇲🇨,Monaco
198804,Mexican Grand Prix,4,mx,1988,1988-05-29T00:00:00.000Z,rodriguez,,🇲🇽,Mexico
198805,Canadian Grand Prix,5,ca,1988,1988-06-12T00:00:00.000Z,villeneuve,,🇨🇦,Canada
198806,Detroit Grand Prix,6,us,1988,1988-06-19T00:00:00.000Z,detroit,,🇺🇸,USA
198807,French Grand Prix,7,fr,1988,1988-07-03T00:00:00.000Z,ricard,,🇫🇷,France
198808,British Grand Prix,8,gb,1988,1988-07-10T00:00:00.000Z,silverstone,,🇬🇧,UK
198809,German Grand Prix,9,de,1988,1988-07-24T00:00:00.000Z,hockenheimring,,🇩🇪,Germany
198810,Hungarian Grand Prix,10,hu,1988,1988-08-07T00:00:00.000Z,hungaroring,,🇭🇺,Hungary
198811,Belgian Grand Prix,11,be,1988,1988-08-28T00:00:00.000Z,spa,,🇧🇪,Belgium
198812,Italian Grand Prix,12,it,1988,1988-09-11T00:00:00.000Z,monza,,🇮🇹,Italy
198813,Portuguese Grand Prix,13,pt,1988,1988-09-25T00:00:00.000Z,estoril,,🇵🇹,Portugal
198814,Spanish Grand Prix,14,es,1988,1988-10-02T00:00:00.000Z,jerez,,🇪🇸,Spain
198815,Japanese Grand Prix,15,jp,1988,1988-10-30T00:00:00.000Z,suzuka,,🇯🇵,Japan
198816,Australian Grand Prix,16,au,1988,1988-11-13T00:00:00.000Z,adelaide,,🇦🇺,Australia
