participations,driverref,points,dob,did_not_start,last_win,driverid,podiums,last_race,permanent_number,championships,country_flag,surname,country_code,code,top_ten,did_not_finish,first_win,fastestlaps,races_finished,first_race,poles,subchampionships,year,wins,forename,finished_in_points,country
1,wehrlein,0.0,1994-10-18,0,,836,0,2017-04-16,94,0,🇩🇪,Wehrlein,de,WEH,0,0,,0,1,2017-04-16,0,0,2017,0,Pascal,0,Germany
2,giovinazzi,0.0,1993-12-14,0,,841,0,2017-04-09,36,0,🇮🇹,Giovinazzi,it,GIO,0,1,,0,1,2017-03-26,0,0,2017,0,Antonio,0,Italy
3,alonso,0.0,1981-07-29,0,,4,0,2017-04-16,14,0,🇪🇸,Alonso,es,ALO,0,2,,0,1,2017-03-26,0,0,2017,0,Fernando,0,Spain
3,bottas,38.0,1989-08-29,0,,822,2,2017-04-16,77,0,🇫🇮,Bottas,fi,BOT,3,0,,0,3,2017-03-26,1,0,2017,0,Valtteri,3,Finland
3,ericsson,0.0,1990-09-02,0,,828,0,2017-04-16,9,0,🇸🇪,Ericsson,se,ERI,0,2,,0,1,2017-03-26,0,0,2017,0,Marcus,0,Sweden
3,hamilton,61.0,1985-01-07,0,2017-04-09,1,3,2017-04-16,44,0,🇬🇧,Hamilton,gb,HAM,3,0,2017-04-09,2,3,2017-03-26,2,0,2017,1,Lewis,3,UK
3,grosjean,4.0,1986-04-17,0,,154,0,2017-04-16,8,0,🇫🇷,Grosjean,fr,GRO,1,1,,0,2,2017-03-26,0,0,2017,0,Romain,1,France
3,hulkenberg,2.0,1987-08-19,0,,807,0,2017-04-16,27,0,🇩🇪,Hülkenberg,de,HUL,1,0,,0,3,2017-03-26,0,0,2017,0,Nico,1,Germany
3,jolyon_palmer,0.0,1991-01-20,0,,835,0,2017-04-16,30,0,🇬🇧,Palmer,gb,PAL,0,1,,0,2,2017-03-26,0,0,2017,0,Jolyon,0,UK
3,kevin_magnussen,4.0,1992-10-05,0,,825,0,2017-04-16,20,0,🇩🇰,Magnussen,dk,MAG,1,2,,0,1,2017-03-26,0,0,2017,0,Kevin,1,Denmark
3,vettel,68.0,1987-07-03,0,2017-04-16,20,3,2017-04-16,5,0,🇩🇪,Vettel,de,VET,3,0,2017-03-26,0,3,2017-03-26,0,0,2017,2,Sebastian,3,Germany
3,massa,16.0,1981-04-25,0,,13,0,2017-04-16,19,0,🇧🇷,Massa,br,MAS,2,0,,0,3,2017-03-26,0,0,2017,0,Felipe,2,Brazil
3,max_verstappen,25.0,1997-09-30,0,,830,1,2017-04-16,33,0,🇳🇱,Verstappen,nl,VER,2,1,,0,2,2017-03-26,0,0,2017,0,Max,2,Netherlands
3,ocon,3.0,1996-09-17,0,,839,0,2017-04-16,31,0,🇫🇷,Ocon,fr,OCO,3,0,,0,3,2017-03-26,0,0,2017,0,Esteban,3,France
3,perez,14.0,1990-01-26,0,,815,0,2017-04-16,11,0,🇲🇽,Pérez,mx,PER,3,0,,0,3,2017-03-26,0,0,2017,0,Sergio,3,Mexico
3,raikkonen,34.0,1979-10-17,0,,8,0,2017-04-16,7,0,🇫🇮,Räikkönen,fi,RAI,3,0,,1,3,2017-03-26,0,0,2017,0,Kimi,3,Finland
3,ricciardo,22.0,1989-07-01,1,,817,0,2017-04-16,3,0,🇦🇺,Ricciardo,au,RIC,2,0,,0,2,2017-03-26,0,0,2017,0,Daniel,2,Australia
3,sainz,10.0,1994-09-01,0,,832,0,2017-04-16,55,0,🇪🇸,Sainz,es,SAI,2,1,,0,2,2017-03-26,0,0,2017,0,Carlos,2,Spain
3,stroll,0.0,1998-10-29,0,,840,0,2017-04-16,18,0,🇨🇦,Stroll,ca,STR,0,3,,0,0,2017-03-26,0,0,2017,0,Lance,0,Canada
3,vandoorne,0.0,1992-03-26,0,,838,0,2017-04-16,2,0,🇧🇪,Vandoorne,be,VAN,0,2,,0,1,2017-03-26,0,0,2017,0,Stoffel,0,Belgium
3,kvyat,2.0,1994-04-26,0,,826,0,2017-04-16,26,0,🇷🇺,Kvyat,ru,KVY,1,1,,0,2,2017-03-26,0,0,2017,0,Daniil,1,Russia
