1950,81
1951,84
1952,105
1953,108
1954,97
1955,84
1956,85
1957,76
1958,87
1959,88
1960,91
1961,62
1962,61
1963,62
1964,41
1965,54
1966,33
1967,45
1968,43
1969,31
1970,43
1971,50
1972,42
1973,43
1974,62
1975,52
1976,54
1977,61
1978,46
1979,36
1980,41
1981,39
1982,40
1983,35
1984,35
1985,36
1986,32
1987,32
1988,36
1989,47
1990,40
1991,41
1992,37
1993,35
1994,46
1995,35
1996,24
1997,28
1998,23
1999,24
2000,23
2001,26
2002,23
2003,24
2004,25
2005,27
2006,27
2007,26
2008,22
2009,25
2010,27
2011,28
2012,25
2013,23
2014,24
2015,22
2016,24
2017,20
